virus_clean,family,taxonomic_level,assay_clean,host_species,host_genus,host_family,host_order,n_assayed,n_positive,prop_pos
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Chaetodipus baileyi,Chaetodipus,Heteromyidae,Rodentia,329,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Neotoma albigula,Neotoma,Cricetidae,Rodentia,51,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus eremicus,Peromyscus,Cricetidae,Rodentia,118,1,0.00847457627118644
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus boylii,Peromyscus,Cricetidae,Rodentia,98,13,0.1326530612244898
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,2,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus leucopus,Peromyscus,Cricetidae,Rodentia,21,3,0.14285714285714285
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Reithrodontomys fulvescens,Reithrodontomys,Cricetidae,Rodentia,12,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Sigmodon ochrognathus,Sigmodon,Cricetidae,Rodentia,5,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Chaetodipus penicillatus,Chaetodipus,Heteromyidae,Rodentia,7,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Onychomys torridus,Onychomys,Cricetidae,Rodentia,7,0,0
Orthohantavirus dobravaense,Hantaviridae,species,Serology,Apodemus agrarius,Apodemus,Muridae,Rodentia,306,42,0.13725490196078433
Orthohantavirus dobravaense,Hantaviridae,species,Serology,Apodemus flavicollis,Apodemus,Muridae,Rodentia,55,2,0.03636363636363636
Orthohantavirus dobravaense,Hantaviridae,species,"PCR, culture or sequencing",Apodemus agrarius,Apodemus,Muridae,Rodentia,42,8,0.19047619047619047
Orthohantavirus dobravaense,Hantaviridae,species,"PCR, culture or sequencing",Apodemus flavicollis,Apodemus,Muridae,Rodentia,2,1,0.5
Orthohantavirus puumalaense,Hantaviridae,species,Serology,Myodes glareolus,Myodes,Cricetidae,Rodentia,2173,382,0.1757938334100322
Mammarenavirus choriomeningitidis,Arenaviridae,species,Serology,Apodemus flavicollis,Apodemus,Muridae,Rodentia,3,0,0
