event_date	scientificName	locality	country	verbatim_locality	individual_count	serostatus
2007-06	Myodes glareolus		Sweden	1 fire area	1	0
2007-06	Myodes glareolus		Sweden	1 fire area	1	1
2007-09	Myodes glareolus		Sweden	1 fire area	1	0
2007-09	Myodes glareolus		Sweden	1 fire area	1	0
2007-09	Myodes glareolus		Sweden	1 fire area	1	1
2007-09	Myodes glareolus		Sweden	1 fire area	1	0
2007-09	Myodes glareolus		Sweden	1 fire area	1	0
2007-09	Myodes glareolus		Sweden	1 fire area	1	0
2007-09	Myodes glareolus		Sweden	1 fire area	1	1
2008-06	Myodes glareolus		Sweden	1 fire area	1	1
2009-09	Myodes glareolus		Sweden	1 fire area	1	0
2009-09	Myodes glareolus		Sweden	1 fire area	1	0
2009-09	Myodes glareolus		Sweden	1 fire area	1	0
2009-09	Myodes glareolus		Sweden	1 fire area	1	0
2010-06	Myodes glareolus		Sweden	1 fire area	1	1
2010-06	Myodes glareolus		Sweden	1 fire area	1	1
2010-09	Myodes glareolus		Sweden	1 fire area	1	0
2010-09	Myodes glareolus		Sweden	1 fire area	1	0
2010-09	Myodes glareolus		Sweden	1 fire area	1	0
2010-09	Myodes glareolus		Sweden	1 fire area	1	0
2010-09	Myodes glareolus		Sweden	1 fire area	1	0
2010-09	Myodes glareolus		Sweden	1 fire area	1	1
2010-09	Myodes glareolus		Sweden	1 fire area	1	0
2010-09	Myodes glareolus		Sweden	1 fire area	1	1
2010-09	Myodes glareolus		Sweden	1 fire area	1	0
2010-09	Myodes glareolus		Sweden	1 fire area	1	0
2010-09	Myodes glareolus		Sweden	1 fire area	1	0
2010-09	Myodes glareolus		Sweden	1 fire area	1	0
2010-09	Myodes glareolus		Sweden	1 fire area	1	1
2010-09	Myodes glareolus		Sweden	1 fire area	1	0
2010-09	Myodes glareolus		Sweden	1 fire area	1	0
2010-09	Myodes glareolus		Sweden	1 fire area	1	1
2010-09	Myodes glareolus		Sweden	1 fire area	1	0
2010-09	Myodes glareolus		Sweden	1 fire area	1	0
2015-06	Myodes glareolus		Sweden	1 fire area	1	1
2015-06	Myodes glareolus		Sweden	1 fire area	1	1
2015-06	Myodes glareolus		Sweden	1 fire area	1	1
2015-06	Myodes glareolus		Sweden	1 fire area	1	0
2015-06	Myodes glareolus		Sweden	1 fire area	1	0
2015-06	Myodes glareolus		Sweden	1 fire area	1	1
2015-06	Myodes glareolus		Sweden	1 fire area	1	1
2015-09	Myodes glareolus		Sweden	1 fire area	1	1
2015-09	Myodes glareolus		Sweden	1 fire area	1	0
2015-09	Myodes glareolus		Sweden	1 fire area	1	1
2015-09	Myodes glareolus		Sweden	1 fire area	1	0
2015-09	Myodes glareolus		Sweden	1 fire area	1	0
2015-09	Myodes glareolus		Sweden	1 fire area	1	0
2015-09	Myodes glareolus		Sweden	1 fire area	1	0
2015-09	Myodes glareolus		Sweden	1 fire area	1	1
2007-09	Myodes glareolus		Sweden	2 fire area	1	0
2007-09	Myodes glareolus		Sweden	2 fire area	1	1
2007-09	Myodes glareolus		Sweden	2 fire area	1	0
2007-09	Myodes glareolus		Sweden	2 fire area	1	0
2007-09	Myodes glareolus		Sweden	2 fire area	1	0
2007-09	Myodes glareolus		Sweden	2 fire area	1	0
2007-09	Myodes glareolus		Sweden	2 fire area	1	0
2009-09	Myodes glareolus		Sweden	2 fire area	1	0
2009-09	Myodes glareolus		Sweden	2 fire area	1	0
2009-09	Myodes glareolus		Sweden	2 fire area	1	0
2010-09	Myodes glareolus		Sweden	2 fire area	1	1
2010-09	Myodes glareolus		Sweden	2 fire area	1	0
2010-09	Myodes glareolus		Sweden	2 fire area	1	0
2010-09	Myodes glareolus		Sweden	2 fire area	1	0
2010-09	Myodes glareolus		Sweden	2 fire area	1	0
2010-09	Myodes glareolus		Sweden	2 fire area	1	1
2010-09	Myodes glareolus		Sweden	2 fire area	1	0
2010-09	Myodes glareolus		Sweden	2 fire area	1	0
2010-09	Myodes glareolus		Sweden	2 fire area	1	0
2010-09	Myodes glareolus		Sweden	2 fire area	1	0
2010-09	Myodes glareolus		Sweden	2 fire area	1	0
2010-09	Myodes glareolus		Sweden	2 fire area	1	0
2010-09	Myodes glareolus		Sweden	2 fire area	1	0
2010-09	Myodes glareolus		Sweden	2 fire area	1	0
2015-06	Myodes glareolus		Sweden	2 fire area	1	1
2015-06	Myodes glareolus		Sweden	2 fire area	1	1
2015-09	Myodes glareolus		Sweden	2 fire area	1	0
2015-09	Myodes glareolus		Sweden	2 fire area	1	0
2015-09	Myodes glareolus		Sweden	2 fire area	1	0
2015-09	Myodes glareolus		Sweden	2 fire area	1	0
2015-09	Myodes glareolus		Sweden	2 fire area	1	0
2015-09	Myodes glareolus		Sweden	2 fire area	1	0
2015-09	Myodes glareolus		Sweden	2 fire area	1	0
2015-09	Myodes glareolus		Sweden	2 fire area	1	0
2015-09	Myodes glareolus		Sweden	2 fire area	1	0
2015-09	Myodes glareolus		Sweden	2 fire area	1	0
2015-09	Myodes glareolus		Sweden	2 fire area	1	0
2015-09	Myodes glareolus		Sweden	2 fire area	1	0
2015-09	Myodes glareolus		Sweden	2 fire area	1	0
2015-09	Myodes glareolus		Sweden	2 fire area	1	0
