Year	Provinces	City	Captured	JJUV	...6	location
2003	Jeollanam	Sinan	5	0	NA	Sinan, Jeollanam
2007	Jeju	Seogwipo	2	0	NA	Seogwipo, Jeju
2008	Gyeongsangnam	Geochang	3	0	NA	Geochang, Gyeongsangnam
2008	Jeollanam	Jangseong	3	0	NA	Jangseong, Jeollanam
2009	Chungcheongbuk	Cheongju	1	0	NA	Cheongju, Chungcheongbuk
2009	Gyeongsangbuk	Gyeongju	1	0	NA	Gyeongju, Gyeongsangbuk
2009	Gyeongsangbuk	Ulleung Island	2	0	NA	Ulleung Island, Gyeongsangbuk
2009	Jeju	Seogwipo	2	0	NA	Seogwipo, Jeju
2010	Chungcheongnam	Nonsan	1	0	NA	Nonsan, Chungcheongnam
2010	Gangwon	Gangneung	2	0	NA	Gangneung, Gangwon
2010	Gangwon	Samcheock	1	0	NA	Samcheock, Gangwon
2010	Gangwon	Cheorwon	1	0	NA	Cheorwon, Gangwon
2010	Gyeonggi	Ganghwa	2	0	NA	Ganghwa, Gyeonggi
2010	Gyeonggi	Suwon	1	0	NA	Suwon, Gyeonggi
2010	Gyeongsangbuk	Uljin	3	0	NA	Uljin, Gyeongsangbuk
2011	Gangwon	Wonju	1	0	NA	Wonju, Gangwon
2011	Jeollanam	Goheung	1	0	NA	Goheung, Jeollanam
2011	Jeju	Jeju	2	0	NA	Jeju, Jeju
2011	Chungcheongnam	Geumsan	1	0	NA	Geumsan, Chungcheongnam
2012	Gyeongsangbuk	Uljin	1	0	NA	Uljin, Gyeongsangbuk
2012	Jeollanam	Gurye	2	0	NA	Gurye, Jeollanam
2012	Jeollabuk	Wanju	2	0	NA	Wanju, Jeollabuk
2012	Chungcheongbuk	Jecheon	1	0	NA	Jecheon, Chungcheongbuk
2013	Gyeongsangnam	Changnyeong	1	0	NA	Changnyeong, Gyeongsangnam
2013	Jeollanam	Damyang	2	0	NA	Damyang, Jeollanam
2013	Jeollanam	Seoula	1	0	NA	Seoula, Jeollanam
2014	Gangwon	Hwacheon	1	0	NA	Hwacheon, Gangwon
2014	Gangwon	Yangyang	4	0	NA	Yangyang, Gangwon
2014	Gyeonggi	Paju	1	0	NA	Paju, Gyeonggi
2014	Gyeonggi	Pocheon	7	1	NA	Pocheon, Gyeonggi
2015	Gangwon	Cherowon	1	0	NA	Cherowon, Gangwon
2015	Gangwon	Hongcheon	1	0	NA	Hongcheon, Gangwon
2016	Gangwon	Hwacheon	2	0	NA	Hwacheon, Gangwon
2016	Gyeonggi	Pocheon	1	0	NA	Pocheon, Gyeonggi
2017	Gangwon	Chuncheon	8	3	NA	Chuncheon, Gangwon
2017	Gyeonggi	Paju	2	0	NA	Paju, Gyeonggi
2017	Gyeonggi	Yeoncheon	2	1	NA	Yeoncheon, Gyeonggi
2018	Gangwon	Chucheon	1	1	NA	Chucheon, Gangwon
2018	Gangwon	Pyeongchang	1	1	NA	Pyeongchang, Gangwon
2018	Gyeonggi	Paju	4	0	NA	Paju, Gyeonggi
2018	Gyeonggi	Pocheon	2	0	NA	Pocheon, Gyeonggi
2018	Gyeonggi	Yeoncheon	1	0	NA	Yeoncheon, Gyeonggi
