rodent_record_id	scientificName	eventDate	locality	country	decimalLatitude	decimalLongitude	individualCount
35069	Suncus murinus	2011-05-24	Okinawa prefecture	Japan	24.456806	122.975472	1
35070	Suncus murinus	2011-05-25	Okinawa prefecture	Japan	24.456611	123.010944	1
35071	Suncus murinus	2011-05-25	Okinawa prefecture	Japan	24.456611	123.010944	1
35072	Suncus murinus	2011-05-25	Okinawa prefecture	Japan	24.456611	123.010944	1
35073	Suncus murinus	2011-05-25	Okinawa prefecture	Japan	24.456611	123.010944	1
35074	Suncus murinus	2011-05-25	Okinawa prefecture	Japan	24.456611	123.010944	1
35075	Suncus murinus	2011-05-26	Okinawa prefecture	Japan	24.456611	123.010944	1
35076	Suncus murinus	2011-05-26	Okinawa prefecture	Japan	24.457972	123.002694	1
35077	Suncus murinus	2011-05-26	Okinawa prefecture	Japan	24.457972	123.002694	1
35078	Suncus murinus	2011-05-26	Okinawa prefecture	Japan	24.457972	123.002694	1
35079	Suncus murinus	2011-05-26	Okinawa prefecture	Japan	24.457972	123.002694	1
35080	Suncus murinus	2011-05-26	Okinawa prefecture	Japan	24.457972	123.002694	1
35081	Suncus murinus	2011-05-26	Okinawa prefecture	Japan	24.457972	123.002694	1
35082	Suncus murinus	2011-05-26	Okinawa prefecture	Japan	24.457972	123.002694	1
35083	Suncus murinus	2011-05-26	Okinawa prefecture	Japan	24.457972	123.002694	1
35084	Suncus murinus	2011-05-26	Okinawa prefecture	Japan	24.457972	123.002694	1
35085	Suncus murinus	2011-05-26	Okinawa prefecture	Japan	24.456611	123.010944	1
35086	Suncus murinus	2011-07-16	Okinawa prefecture	Japan	NA	NA	1
35087	Suncus murinus	2011-07-15	Okinawa prefecture	Japan	NA	NA	1
35088	Suncus murinus	2011-11-07	Okinawa prefecture	Japan	24.457972	123.002694	1
35089	Suncus murinus	2011-11-07	Okinawa prefecture	Japan	24.457972	123.002694	1
35090	Suncus murinus	2011-11-07	Okinawa prefecture	Japan	24.457972	123.002694	1
35091	Suncus murinus	2011-11-07	Okinawa prefecture	Japan	24.457972	123.002694	1
35092	Suncus murinus	2011-11-07	Okinawa prefecture	Japan	24.457972	123.002694	1
35093	Suncus murinus	2012-06-25	Qui Hoi district, Nghe An province	Viet Nam	19.356783	105.130799	1
35094	Suncus murinus	2012-06-25	Qui Hoi district, Nghe An province	Viet Nam	19.356783	105.130799	1
35095	Suncus murinus	2012-06-25	Qui Hoi district, Nghe An province	Viet Nam	19.356783	105.130799	1
35096	Suncus murinus	2012-06-25	Qui Hoi district, Nghe An province	Viet Nam	19.356783	105.130799	1
35097	Suncus murinus	2012-06-25	Qui Hoi district, Nghe An province	Viet Nam	19.356783	105.130799	1
35098	Suncus murinus	2012-06-25	Qui Hoi district, Nghe An province	Viet Nam	19.356783	105.130799	1
35099	Suncus murinus	2012-06-25	Qui Hoi district, Nghe An province	Viet Nam	19.356783	105.130799	1
35100	Suncus murinus	2012-06-21	MeLinh, Vich Phuc province	Viet Nam	21.394235	105.727588	1
35101	Suncus murinus	2012-06-21	MeLinh, Vich Phuc province	Viet Nam	21.394235	105.727588	1
35102	Suncus murinus	2012-06-21	MeLinh, Vich Phuc province	Viet Nam	21.394235	105.727588	1
35103	Suncus murinus	2012-06-21	MeLinh, Vich Phuc province	Viet Nam	21.394235	105.727588	1
35104	Suncus murinus	2012-06-21	MeLinh, Vich Phuc province	Viet Nam	21.394235	105.727588	1
35105	Suncus murinus	2012-06-21	MeLinh, Vich Phuc province	Viet Nam	21.394235	105.727588	1
35106	Suncus murinus	2012-06-21	MeLinh, Vich Phuc province	Viet Nam	21.394235	105.727588	1
35107	Suncus murinus	2012-06-21	MeLinh, Vich Phuc province	Viet Nam	21.394235	105.727588	1
35108	Suncus murinus	2012-06-21	MeLinh, Vich Phuc province	Viet Nam	21.394235	105.727588	1
35109	Suncus murinus	2012-06-21	Dong Anla district, Ha Noi province	Viet Nam	21.182686	105.795928	1
35110	Suncus murinus	2012-06-21	Dong Anla district, Ha Noi province	Viet Nam	21.182686	105.795928	1
35111	Suncus murinus	2012-08-17	Le Port, art studio, Ré union island	Réunion	-20.941083	55.309278	1
35112	Suncus murinus	2012-08-17	Le Port, art studio, Ré union island	Réunion	-20.941083	55.309278	1
35113	Suncus murinus	2012-08-18	Le Port, art studio, Ré union island	Réunion	-20.941083	55.309278	1
35114	Suncus murinus	2012-08-18	Le Port, art studio, Ré union island	Réunion	-20.941083	55.309278	1
35115	Suncus murinus	2012-12-06	Chin state	Myanmar	NA	NA	1
35116	Suncus murinus	2012-12-06	Chin state	Myanmar	NA	NA	1
35117	Suncus murinus	2012-12-07	Chin state	Myanmar	NA	NA	1
35118	Suncus murinus	January_2013	Dong Nai Province	Viet Nam	11.383611	107.0625	1
35119	Suncus murinus	January_2013	Dong Nai Province	Viet Nam	11.383611	107.0625	1
35120	Suncus murinus	2013-01-20	Dong Nai Province	Viet Nam	11.383611	107.0625	1
35121	Suncus murinus	2013-01-20	Dong Nai Province	Viet Nam	11.383611	107.0625	1
35122	Suncus murinus	2013-01-20	Dong Nai Province	Viet Nam	11.383611	107.0625	1
35123	Suncus murinus	2013-06-01	Naypyidaw Union Territory	Myanmar	19.839917	96.274667	1
35124	Suncus murinus	2013-06-03	Shan state	Myanmar	20.848389	97.025611	1
35125	Suncus murinus	2013-06-03	Shan state	Myanmar	20.804167	97.060361	1
35126	Suncus murinus	2013-06-03	Shan state	Myanmar	NA	NA	1
35127	Suncus murinus	2013-06-03	Shan state	Myanmar	20.737444	96.893944	1
35128	Suncus murinus	2013-06-05	Shan state	Myanmar	20.662194	96.925222	1
35129	Suncus murinus	2013-06-05	Shan state	Myanmar	NA	NA	1
35130	Suncus murinus	2013-06-05	Shan state	Myanmar	NA	NA	1
35131	Suncus murinus	2013-08-26	Quang Tri province	Viet Nam	16.626028	106.733139	1
35132	Suncus murinus	2013-08-26	Quang Tri province	Viet Nam	16.626028	106.733139	1
35133	Suncus murinus	2013-08-31	Dong Hoi province	Viet Nam	17.471976	106.603193	1
35134	Suncus murinus	2013-09-20	Okinawa prefecture	Japan	24.457972	123.002694	1
35135	Suncus murinus	2013-09-20	Okinawa prefecture	Japan	24.457972	123.002694	1
35136	Suncus murinus	2013-09-20	Okinawa prefecture	Japan	24.457972	123.002694	1
35137	Suncus murinus	2013-10-04	Vinh Phuc province	Viet Nam	21.349083	105.706528	1
35138	Suncus murinus	2013-10-04	Vinh Phuc province	Viet Nam	21.349083	105.706528	1
35139	Suncus murinus	2013-10-04	Vinh Phuc province	Viet Nam	21.349083	105.706528	1
35140	Suncus murinus	2013-10-04	Vinh Phuc province	Viet Nam	21.349083	105.706528	1
35141	Suncus murinus	2013-10-04	Vinh Phuc province	Viet Nam	21.349083	105.706528	1
35142	Suncus murinus	2013-10-04	Vinh Phuc province	Viet Nam	21.349083	105.706528	1
35143	Suncus murinus	2013-10-05	Vinh Phuc province	Viet Nam	21.349083	105.706528	1
35144	Suncus murinus	2013-10-05	Vinh Phuc province	Viet Nam	21.349083	105.706528	1
35145	Suncus murinus	2013-10-05	Vinh Phuc province	Viet Nam	21.349083	105.706528	1
35146	Suncus murinus	2013-10-05	Vinh Phuc province	Viet Nam	21.349083	105.706528	1
35147	Suncus murinus	2013-11-02	Kuala Lumpur	Malaysia	3.288233	101.731717	1
35148	Suncus murinus	2013-11-02	Malacca state	Malaysia	2.217278	102.297306	1
35149	Suncus murinus	2013-11-02	Malacca state	Malaysia	2.216833	102.296028	1
35150	Suncus murinus	2013-11-02	Malacca state	Malaysia	2.216833	102.296028	1
35151	Suncus murinus	2013-11-02	Malacca state	Malaysia	2.217278	102.297306	1
35152	Suncus murinus	2013-11-03	Malacca state	Malaysia	2.216833	102.296028	1
35153	Suncus murinus	2013-11-03	Malacca state	Malaysia	2.217278	102.297306	1
35154	Suncus murinus	2013-11-03	Malacca state	Malaysia	2.216833	102.296028	1
