rodent_record_id	accession_number	note
35084	MT344849	co1_accession
35086	MT344850	co1_accession
35093	MT344851	co1_accession
35094	MT344852	co1_accession
35095	MT344853	co1_accession
35096	MT344854	co1_accession
35097	MT344855	co1_accession
35098	MT344856	co1_accession
35099	MT344857	co1_accession
35100	MT344858	co1_accession
35101	MT344859	co1_accession
35102	MT344860	co1_accession
35103	MT344861	co1_accession
35115	MT344865	co1_accession
35116	MT344866	co1_accession
35117	MT344867	co1_accession
35118	MT344868	co1_accession
35123	MT344869	co1_accession
35124	MT344870	co1_accession
35125	MK410374	co1_accession
35126	MT344871	co1_accession
35127	MT344872	co1_accession
35128	MT344873	co1_accession
35129	MT344874	co1_accession
35130	MT344875	co1_accession
35131	MT344876	co1_accession
35132	MT344877	co1_accession
35133	MT344878	co1_accession
35137	MT344879	co1_accession
35138	MT344880	co1_accession
35139	MT344881	co1_accession
35148	MT344882	co1_accession
35155	MT344883	co1_accession
35156	MT344884	co1_accession
35157	MT344885	co1_accession
35158	MT344886	co1_accession
35159	MT344887	co1_accession
35160	MT344888	co1_accession
35171	MT344889	co1_accession
35172	MT344890	co1_accession
35173	MT344891	co1_accession
35174	MT344892	co1_accession
35175	MT344893	co1_accession
35176	MT344894	co1_accession
35177	MT344895	co1_accession
35178	MT344896	co1_accession
35179	MT344897	co1_accession
35180	MT344898	co1_accession
35181	MT344899	co1_accession
35182	MT344900	co1_accession
35183	MT344901	co1_accession
35184	MT344902	co1_accession
35185	MT344903	co1_accession
35186	MT344904	co1_accession
35187	MT344905	co1_accession
35188	MT344906	co1_accession
35189	MT344907	co1_accession
35190	MT344908	co1_accession
35191	MT344909	co1_accession
35192	MT344910	co1_accession
35193	MT344911	co1_accession
35194	MT344912	co1_accession
35195	MT344913	co1_accession
35196	MT344914	co1_accession
35197	MT344915	co1_accession
35198	MT344916	co1_accession
35199	MT344917	co1_accession
35200	MT344918	co1_accession
35201	MT344919	co1_accession
35202	MT344920	co1_accession
35203	MT344921	co1_accession
35204	MT344922	co1_accession
35206	MT344923	co1_accession
35209	MT344924	co1_accession
35213	MT344925	co1_accession
35216	MT344926	co1_accession
35228	MT344927	co1_accession
35229	MT344928	co1_accession
35230	MT344929	co1_accession
35231	MT344930	co1_accession
35232	MT344931	co1_accession
35233	MT344932	co1_accession
35234	MT344933	co1_accession
35245	MT344934	co1_accession
35264	MT344940	co1_accession
35265	MT344941	co1_accession
35069	LC126450	cyt_b_accession
35070	LC126451	cyt_b_accession
35071	LC126452	cyt_b_accession
35072	LC126453	cyt_b_accession
35073	LC126454	cyt_b_accession
35074	LC126455	cyt_b_accession
35075	LC126456	cyt_b_accession
35076	LC126457	cyt_b_accession
35077	LC126458	cyt_b_accession
35078	LC126459	cyt_b_accession
35079	LC126460	cyt_b_accession
35080	LC126461	cyt_b_accession
35081	LC126462	cyt_b_accession
35082	LC126463	cyt_b_accession
35083	LC126464	cyt_b_accession
35084	LC126465	cyt_b_accession
35085	LC126466	cyt_b_accession
35086	LC126448	cyt_b_accession
35087	LC126449	cyt_b_accession
35088	LC126467	cyt_b_accession
35089	LC126468	cyt_b_accession
35090	LC126469	cyt_b_accession
35091	LC126470	cyt_b_accession
35092	LC126471	cyt_b_accession
35093	LC126496	cyt_b_accession
35094	LC126497	cyt_b_accession
35095	LC126498	cyt_b_accession
35096	LC126499	cyt_b_accession
35097	LC126500	cyt_b_accession
35098	LC126501	cyt_b_accession
35099	LC126502	cyt_b_accession
35100	LC126475	cyt_b_accession
35101	LC126476	cyt_b_accession
35102	LC126477	cyt_b_accession
35103	LC126478	cyt_b_accession
35104	LC126479	cyt_b_accession
35105	LC126480	cyt_b_accession
35106	LC126481	cyt_b_accession
35107	LC126482	cyt_b_accession
35108	LC126483	cyt_b_accession
35109	LC126494	cyt_b_accession
35110	LC126495	cyt_b_accession
35111	LC126567	cyt_b_accession
35112	LC126568	cyt_b_accession
35113	LC126569	cyt_b_accession
35114	LC126570	cyt_b_accession
35115	LC126542	cyt_b_accession
35116	LC126543	cyt_b_accession
35117	LC126544	cyt_b_accession
35118	LC126506	cyt_b_accession
35119	LC126507	cyt_b_accession
35120	LC126508	cyt_b_accession
35121	LC126509	cyt_b_accession
35122	LC126510	cyt_b_accession
35123	LC126530	cyt_b_accession
35124	LC126537	cyt_b_accession
35125	LC126536	cyt_b_accession
35126	LC126534	cyt_b_accession
35127	LC126535	cyt_b_accession
35128	LC126531	cyt_b_accession
35129	LC126532	cyt_b_accession
35130	LC126533	cyt_b_accession
35131	LC126503	cyt_b_accession
35132	LC126504	cyt_b_accession
35133	LC126505	cyt_b_accession
35134	LC126472	cyt_b_accession
35135	LC126473	cyt_b_accession
35136	LC126474	cyt_b_accession
35137	LC126484	cyt_b_accession
35138	LC126485	cyt_b_accession
35139	LC126486	cyt_b_accession
35140	LC126487	cyt_b_accession
35141	LC126488	cyt_b_accession
35142	LC126489	cyt_b_accession
35143	LC126490	cyt_b_accession
35144	LC126491	cyt_b_accession
35145	LC126492	cyt_b_accession
35146	LC126493	cyt_b_accession
35147	LC126511	cyt_b_accession
35148	LC126512	cyt_b_accession
35149	LC126513	cyt_b_accession
35150	LC126514	cyt_b_accession
35151	LC126515	cyt_b_accession
35152	LC126516	cyt_b_accession
35153	LC126517	cyt_b_accession
35154	LC126518	cyt_b_accession
35155	LC126538	cyt_b_accession
35156	LC126539	cyt_b_accession
35157	LC126540	cyt_b_accession
35158	LC126565	cyt_b_accession
35159	LC126566	cyt_b_accession
35160	LC126571	cyt_b_accession
35161	LC126572	cyt_b_accession
35162	LC126573	cyt_b_accession
35163	LC126574	cyt_b_accession
35164	LC126575	cyt_b_accession
35165	LC126576	cyt_b_accession
35166	LC126577	cyt_b_accession
35167	LC126578	cyt_b_accession
35168	LC126579	cyt_b_accession
35169	LC126580	cyt_b_accession
35170	LC126581	cyt_b_accession
35171	LC126541	cyt_b_accession
35172	MT344824	cyt_b_accession
35173	LC126555	cyt_b_accession
35174	LC126556	cyt_b_accession
35175	LC126557	cyt_b_accession
35176	LC126558	cyt_b_accession
35177	LC126559	cyt_b_accession
35178	LC126560	cyt_b_accession
35179	LC126561	cyt_b_accession
35180	LC126562	cyt_b_accession
35181	LC126563	cyt_b_accession
35182	LC126564	cyt_b_accession
35183	LC126590	cyt_b_accession
35184	LC126591	cyt_b_accession
35185	LC126592	cyt_b_accession
35186	LC126593	cyt_b_accession
