pathogen_record_id	associated_rodent_record_id	scientificName	assay	tested	positive
43695	35331		IFA	1	0
43696	35332		IFA	1	0
43697	35333		IFA	1	1
43698	35334		IFA	1	0
43699	35335		IFA	1	0
43700	35336		IFA	1	0
43701	35337		IFA	1	0
43702	35338		IFA	1	0
43703	35339		IFA	1	0
43704	35340		IFA	1	0
43705	35341		IFA	1	0
43706	35342		IFA	1	0
43707	35343		IFA	1	0
43708	35344		IFA	1	0
43709	35345		IFA	1	0
43710	35346		IFA	1	0
43711	35347		IFA	1	0
43712	35348		IFA	1	0
43713	35349		IFA	1	0
43714	35350		IFA	1	0
43715	35351		IFA	1	0
43716	35352		IFA	1	0
43717	35353		IFA	1	0
43718	35354		IFA	1	0
43719	35355		IFA	1	0
43720	35356		IFA	1	0
43721	35357		IFA	1	0
43722	35358		IFA	1	0
43723	35359		IFA	1	0
43724	35360		IFA	1	0
43725	35361		IFA	1	1
43726	35362		IFA	1	0
43727	35363		IFA	1	0
43728	35364		IFA	1	0
43729	35365		IFA	1	0
43730	35366		IFA	1	0
43731	35367		IFA	1	0
43732	35368		IFA	1	0
43733	35369		IFA	1	0
43734	35370		IFA	1	0
43735	35371		IFA	1	0
43736	35372		IFA	1	0
43737	35373		IFA	1	0
43738	35374		IFA	1	0
43739	35375		IFA	1	0
43740	35376		IFA	1	0
43741	35377		IFA	1	0
43742	35378		IFA	1	1
43743	35379		IFA	1	1
43744	35380		IFA	1	0
43745	35381		IFA	1	1
43746	35382		IFA	1	0
43747	35383		IFA	1	1
43748	35384		IFA	1	0
43749	35385		IFA	1	0
43750	35386		IFA	1	0
43751	35387		IFA	1	0
43752	35388		IFA	1	0
43753	35389		IFA	1	1
43754	35390		IFA	1	0
43755	35391		IFA	1	0
43756	35392		IFA	1	0
43757	35393		IFA	1	0
43758	35394		IFA	1	0
43759	35395		IFA	1	1
43760	35396		IFA	1	0
43761	35397		IFA	1	0
43762	35398		IFA	1	0
43763	35399		IFA	1	0
43764	35400		IFA	1	0
43765	35401		IFA	1	0
43766	35402		IFA	1	1
43767	35403		IFA	1	1
43768	35404		IFA	1	0
43769	35405		IFA	1	0
43770	35406		IFA	1	0
43771	35407		IFA	1	0
43772	35408		IFA	1	0
43773	35409		IFA	1	1
43774	35410		IFA	1	0
43775	35411		IFA	1	0
43776	35412		IFA	1	1
43777	35413		IFA	1	0
43778	35414		IFA	1	0
43779	35415		IFA	1	1
43780	35416		IFA	1	1
43781	35417		IFA	1	0
43782	35418		IFA	1	0
43783	35419		IFA	1	0
43784	35420		IFA	1	0
43785	35421		IFA	1	0
43786	35422		IFA	1	1
43787	35423		IFA	1	0
43788	35424		IFA	1	0
43789	35425		IFA	1	0
43790	35426		IFA	1	0
43791	35427		IFA	1	0
43792	35428		IFA	1	0
43793	35429		IFA	1	0
43794	35430		IFA	1	0
43795	35431		IFA	1	0
43796	35432		IFA	1	0
43797	35433		IFA	1	1
43798	35434		IFA	1	0
43799	35435		IFA	1	0
43800	35436		IFA	1	1
43801	35437		IFA	1	0
43802	35438		IFA	1	0
43803	35439		IFA	1	0
43804	35440		IFA	1	1
43805	35441		IFA	1	0
43806	35442		IFA	1	0
43807	35443		IFA	1	0
43808	35444		IFA	1	1
43809	35445		IFA	1	0
43810	35446		IFA	1	0
43811	35447		IFA	1	0
43812	35448		IFA	1	0
43813	35449		IFA	1	1
43814	35450		IFA	1	0
43815	35451		IFA	1	0
43816	35452		IFA	1	0
43817	35453		IFA	1	0
43818	35454		IFA	1	0
43819	35455		IFA	1	0
43820	35456		IFA	1	1
43821	35457		IFA	1	1
43822	35458		IFA	1	1
43823	35459		IFA	1	1
43824	35460		IFA	1	1
43825	35461		IFA	1	1
43826	35462		IFA	1	1
43827	35463		IFA	1	0
43828	35464		IFA	1	0
43829	35465		IFA	1	1
43830	35466		IFA	1	0
43831	35467		IFA	1	0
43832	35468		IFA	1	0
43833	35469		IFA	1	0
43834	35470		IFA	1	0
43835	35471		IFA	1	0
43836	35472		IFA	1	0
43837	35473		IFA	1	0
43838	35474		IFA	1	1
43839	35475		IFA	1	0
43840	35476		IFA	1	1
43841	35477		IFA	1	0
43842	35478		IFA	1	0
43843	35479		IFA	1	0
43844	35480		IFA	1	0
43845	35481		IFA	1	0
43846	35482		IFA	1	0
43847	35483		IFA	1	0
43848	35484		IFA	1	0
43849	35485		IFA	1	0
43850	35486		IFA	1	0
43851	35487		IFA	1	0
43852	35488		IFA	1	0
43853	35489		IFA	1	0
43854	35490		IFA	1	0
43855	35491		IFA	1	0
43856	35492		IFA	1	0
43857	35493		IFA	1	0
43858	35494		IFA	1	0
43859	35495		IFA	1	0
43860	35496		IFA	1	0
43861	35497		IFA	1	0
43862	35498		IFA	1	0
43863	35499		IFA	1	0
43864	35500		IFA	1	1
43865	35501		IFA	1	1
43866	35502		IFA	1	0
43867	35503		IFA	1	0
43868	35504		IFA	1	0
43869	35505		IFA	1	1
43870	35506		IFA	1	0
43871	35507		IFA	1	0
43872	35508		IFA	1	0
43873	35509		IFA	1	0
43874	35510		IFA	1	1
43875	35511		IFA	1	1
43876	35512		IFA	1	0
43877	35513		IFA	1	1
43878	35514		IFA	1	0
43879	35515		IFA	1	0
43880	35516		IFA	1	0
43881	35517		IFA	1	0
43882	35518		IFA	1	1
43883	35519		IFA	1	0
43884	35520		IFA	1	0
43885	35521		IFA	1	0
43886	35522		IFA	1	1
43887	35523		IFA	1	0
43888	35524		IFA	1	0
43889	35525		IFA	1	0
43890	35526		IFA	1	0
43891	35527		IFA	1	1
43892	35528		IFA	1	0
43893	35529		IFA	1	0
43894	35530		IFA	1	1
43895	35531		IFA	1	0
43896	35532		IFA	1	0
43897	35533		IFA	1	0
43898	35534		IFA	1	0
43899	35535		IFA	1	1
43900	35536		IFA	1	1
43901	35537		IFA	1	0
43902	35538		IFA	1	1
43903	35539		IFA	1	0
43904	35540		IFA	1	0
43905	35541		IFA	1	1
43906	35542		IFA	1	0
43907	35543		IFA	1	0
43908	35544		IFA	1	0
43909	35545		IFA	1	0
43910	35546		IFA	1	0
43911	35547		IFA	1	1
43912	35548		IFA	1	0
43913	35549		IFA	1	0
43914	35550		IFA	1	0
43915	35551		IFA	1	0
43916	35552		IFA	1	0
43917	35553		IFA	1	0
43918	35554		IFA	1	0
43919	35555		IFA	1	0
43920	35556		IFA	1	0
43921	35557		IFA	1	0
43922	35558		IFA	1	0
43923	35559		IFA	1	0
43924	35560		IFA	1	0
43925	35561		IFA	1	0
43926	35562		IFA	1	0
43927	35563		IFA	1	0
43928	35564		IFA	1	0
43929	35565		IFA	1	0
43930	35566		IFA	1	0
43931	35567		IFA	1	1
43932	35568		IFA	1	0
43933	35569		IFA	1	1
43934	35570		IFA	1	0
43935	35571		IFA	1	1
43936	35572		IFA	1	0
43937	35573		IFA	1	0
43938	35574		IFA	1	0
43939	35575		IFA	1	0
43940	35576		IFA	1	0
43941	35577		IFA	1	0
43942	35578		IFA	1	1
43943	35579		IFA	1	0
43944	35580		IFA	1	0
43945	35581		IFA	1	1
43946	35582		IFA	1	0
43947	35583		IFA	1	1
43948	35584		IFA	1	0
43949	35585		IFA	1	1
43950	35586		IFA	1	0
43951	35587		IFA	1	0
43952	35588		IFA	1	0
43953	35589		IFA	1	0
43954	35590		IFA	1	0
43955	35591		IFA	1	0
43956	35592		IFA	1	0
43957	35593		IFA	1	0
43958	35594		IFA	1	0
43959	35595		IFA	1	1
43960	35596		IFA	1	0
43961	35597		IFA	1	1
43962	35598		IFA	1	1
43963	35599		IFA	1	1
43964	35600		IFA	1	0
43965	35601		IFA	1	0
43966	35602		IFA	1	0
43967	35603		IFA	1	1
43968	35604		IFA	1	0
43969	35605		IFA	1	0
43970	35606		IFA	1	0
43971	35607		IFA	1	0
43972	35608		IFA	1	0
43973	35609		IFA	1	0
43974	35610		IFA	1	0
43975	35611		IFA	1	1
43976	35612		IFA	1	0
43977	35613		IFA	1	0
43978	35614		IFA	1	0
43979	35615		IFA	1	1
43980	35616		IFA	1	0
43981	35617		IFA	1	0
43982	35618		IFA	1	0
43983	35619		IFA	1	0
43984	35620		IFA	1	0
43985	35621		IFA	1	1
43986	35622		IFA	1	0
43987	35623		IFA	1	1
43988	35624		IFA	1	0
43989	35625		IFA	1	0
43990	35626		IFA	1	0
43991	35627		IFA	1	0
43992	35628		IFA	1	0
43993	35629		IFA	1	0
43994	35630		IFA	1	1
43995	35631		IFA	1	0
43996	35632		IFA	1	0
43997	35633		IFA	1	0
43998	35634		IFA	1	1
43999	35635		IFA	1	0
44000	35636		IFA	1	0
44001	35637		IFA	1	0
44002	35638		IFA	1	0
44003	35639		IFA	1	0
44004	35640		IFA	1	0
44005	35641		IFA	1	0
44006	35642		IFA	1	0
44007	35643		IFA	1	1
44008	35644		IFA	1	1
44009	35645		IFA	1	1
44010	35646		IFA	1	0
44011	35647		IFA	1	0
44012	35648		IFA	1	0
44013	35649		IFA	1	0
44014	35650		IFA	1	0
44015	35651		IFA	1	0
44016	35652		IFA	1	1
44017	35653		IFA	1	1
44018	35654		IFA	1	0
44019	35655		IFA	1	0
44020	35656		IFA	1	0
44021	35657		IFA	1	0
44022	35658		IFA	1	0
44023	35659		IFA	1	0
44024	35660		IFA	1	0
44025	35661		IFA	1	0
44026	35662		IFA	1	0
44027	35663		IFA	1	0
44028	35664		IFA	1	0
44029	35665		IFA	1	0
44030	35666		IFA	1	0
44031	35667		IFA	1	0
44032	35668		IFA	1	0
44033	35669		IFA	1	0
44034	35670		IFA	1	0
44035	35671		IFA	1	0
44036	35672		IFA	1	0
44037	35673		IFA	1	0
44038	35674		IFA	1	0
44039	35675		IFA	1	0
44040	35676		IFA	1	0
44041	35677		IFA	1	0
44042	35678		IFA	1	0
44043	35679		IFA	1	1
44044	35680		IFA	1	0
