pathogen_record_id	associated_rodent_record_id	accession
44499	35711	MZ673485
44485	35697	MZ673486
44483	35695	MZ673487
44472	35684	MZ673488
44433	35645	MZ673489
44399	35611	MZ673490
44391	35603	MZ673491
44387	35599	MZ673492
44385	35597	MZ673493
44371	35583	MZ673494
44369	35581	MZ673495
44335	35547	MZ673496
44324	35536	MZ673497
44323	35535	MZ673498
44310	35522	MZ673499
44306	35518	MZ673500
44289	35501	MZ673501
44264	35476	MZ673502
44262	35474	MZ673503
44250	35462	MZ673504
44244	35456	MZ673505
44232	35444	MZ673506
44228	35440	MZ673507
44197	35409	MZ673508
44499	35711	MZ673509
44485	35697	MZ673510
44483	35695	MZ673511
44472	35684	MZ673512
44433	35645	MZ673513
44399	35611	MZ673514
44391	35603	MZ673515
44387	35599	MZ673516
44385	35597	MZ673517
44371	35583	MZ673518
44369	35581	MZ673519
44324	35536	MZ673520
44323	35535	MZ673521
44310	35522	MZ673522
44306	35518	MZ673523
44298	35510	MZ673524
44289	35501	MZ673525
44250	35462	MZ673526
44244	35456	MZ673527
44232	35444	MZ673528
44228	35440	MZ673529
44499	35711	MZ673530
44485	35697	MZ673531
44483	35695	MZ673532
44472	35684	MZ673533
44433	35645	MZ673534
44399	35611	MZ673535
44391	35603	MZ673536
44387	35599	MZ673537
44385	35597	MZ673538
44371	35583	MZ673539
44369	35581	MZ673540
44324	35536	MZ673541
44323	35535	MZ673542
44310	35522	MZ673543
44298	35510	MZ673544
44289	35501	MZ673545
44264	35476	MZ673546
44262	35474	MZ673547
44250	35462	MZ673548
44244	35456	MZ673549
44232	35444	MZ673550
44228	35440	MZ673551
