ID,Trap number,Latitude ,Longitude,Elevation
1,A0001,51.20326398,24.08905503,155.915863
2,A0002,51.20320899,24.08915897,154.143021
3,A0003,51.20311604,24.08930901,155.244049
4,A0004,51.20300598,24.08946298,155.841217
5,A0005,51.20293097,24.08959701,154.460266
6,A0006,51.20290197,24.08970396,154.217667
7,A0007,51.20284002,24.08979298,155.701248
8,A0008,51.20280197,24.08992801,157.082199
9,A0009,51.202735,24.09005801,156.951569
10,A0010,51.20266903,24.09017603,155.458649
11,A0011,51.202519,24.09029103,156.475708
12,A0012,51.202463,24.09034601,156.680969
13,A0013,51.20239201,24.09045196,155.859879
14,A0014,51.20229101,24.09055699,157.427429
15,A0015,51.20222102,24.09068598,156.587662
16,A0016,51.20216704,24.09081004,157.679367
17,A0017,51.20213804,24.09088799,158.089905
18,A0018,51.20206604,24.09104699,158.388489
19,A0019,51.20200904,24.09119602,156.951569
20,A0020,51.20197602,24.09125201,156.951569
21,A0021,51.20189999,24.09135201,156.951569
22,A0022,51.20183403,24.091466,156.951569
23,A0023,51.20173302,24.091609,156.951569
24,A0024,51.201656,24.09174504,156.951569
25,A0025,51.20156698,24.09183397,156.951569
26,A0026,51.20146899,24.09194402,158.687073
27,A0027,51.20139004,24.09204503,158.827042
28,A0028,51.20131603,24.09211401,158.575104
29,A0029,51.20127303,24.09217402,158.40715
30,A0030,51.20117898,24.092313,158.323181
31,A0031,51.20108502,24.09243302,157.791336
32,A0032,51.200966,24.09243001,157.427429
33,A0033,51.20091302,24.09242598,157.698029
34,A0034,51.20081898,24.09250301,157.670029
35,A0035,51.20070398,24.09252397,157.418106
36,A0036,51.20063198,24.09251802,157.68869
37,A0037,51.20053098,24.09253403,157.166168
38,A0038,51.20041296,24.09254903,154.62822
39,A0039,51.20029,24.09259203,155.999832
40,A0040,51.20018103,24.092674,156.774277
41,A0041,51.20009998,24.09273502,154.115036
42,A0042,51.19999101,24.09276403,155.85054
43,A0043,51.19990904,24.09279303,156.018494
44,A0044,51.19979303,24.09283401,154.768188
45,A0045,51.19967703,24.092846,155.318695
46,A0046,51.19954099,24.09282303,153.191299
47,A0047,51.19944904,24.09280996,154.28299
48,A0048,51.19936002,24.09277199,154.646881
49,A0049,51.199269,24.09270996,155.216064
50,A0050,51.19915601,24.09261198,152.939362
51,B0001,51.20295502,24.08915503,158.509796
52,B0002,51.20293801,24.08907699,158.509796
53,B0003,51.20290297,24.08898999,158.509796
54,B0004,51.20283298,24.08891497,158.509796
55,B0005,51.20274799,24.08881598,158.509796
56,B0006,51.20268596,24.08872303,158.509796
57,B0007,51.20261203,24.08860601,158.509796
58,B0008,51.20246996,24.08850501,158.509796
59,B0009,51.20243199,24.08844399,158.509796
60,B0010,51.20240601,24.08839001,159.172272
61,B0011,51.20227802,24.08824501,160.161331
62,B0012,51.20213997,24.08799799,161.225021
63,B0013,51.202088,24.08791602,161.225021
64,B0014,51.20198398,24.08775802,161.225021
65,B0015,51.20189404,24.08770102,161.225021
66,B0016,51.201829,24.08761703,161.225021
67,B0017,51.20173696,24.08752299,161.225021
68,B0018,51.20164703,24.08736901,161.225021
69,B0019,51.20159699,24.08724102,161.215698
70,B0020,51.20152901,24.08716097,161.215698
71,B0021,51.20143102,24.08709501,155.859879
72,B0022,51.20136598,24.087007,156.923569
73,B0023,51.20127596,24.08706903,158.127228
74,B0024,51.20118904,24.087123,158.472473
75,B0025,51.20113296,24.08704396,158.472473
76,B0026,51.20105803,24.08696601,158.472473
77,B0027,51.20101,24.08694204,158.472473
78,B0028,51.20095904,24.08688496,158.472473
79,B0029,51.20091403,24.08680902,158.472473
80,B0030,51.20087002,24.08677901,158.472473
81,B0031,51.20079702,24.08672403,158.472473
82,B0032,51.20068696,24.08665898,154.180344
83,B0033,51.20056903,24.08660299,156.345078
84,B0034,51.20051103,24.086547,154.646881
85,B0035,51.20044196,24.08649302,153.648499
86,B0036,51.20037097,24.08641004,154.861496
87,B0037,51.20033199,24.08635799,154.404282
88,B0038,51.20026602,24.08626302,155.197403
89,B0039,51.20022101,24.08619798,154.852158
90,B0040,51.20012403,24.08619002,154.143021
91,B0041,51.20005597,24.08620996,155.253387
92,B0042,51.19996704,24.08624299,154.460266
93,B0043,51.19989999,24.08623,154.497589
94,B0044,51.19979697,24.08625497,154.75885
95,B0045,51.19972003,24.08628599,156.186447
96,B0046,51.19969798,24.08626503,156.083817
97,B0047,51.199643,24.08625204,155.570618
98,B0048,51.19953303,24.08627501,155.710587
99,B0049,51.19942004,24.086317,202.905228
100,B0050,51.19936304,24.08630904,204.668716
101,C0001,51.20508797,24.08600897,199.66748
102,C0002,51.20516097,24.08602598,199.66748
103,C0003,51.20520003,24.08606797,199.66748
104,C0004,51.20525502,24.08612598,199.66748
105,C0005,51.20532501,24.08611701,199.66748
106,C0006,51.20534697,24.08616202,199.66748
107,C0007,51.20540698,24.08622203,199.66748
108,C0008,51.20547202,24.08632404,199.66748
109,C0009,51.20550798,24.08636704,199.144958
110,C0010,51.20554503,24.08640099,199.228928
111,C0011,51.20561804,24.08643703,199.452866
112,C0012,51.20564301,24.08651004,199.042313
113,C0013,51.20569096,24.08645304,198.986328
114,C0014,51.20573304,24.08637903,198.687744
115,C0015,51.20578299,24.08629999,198.575775
116,C0016,51.20579196,24.08623897,198.575775
117,C0017,51.20584896,24.08617803,198.575775
118,C0018,51.20583203,24.08613201,198.575775
119,C0019,51.20585198,24.08601701,198.575775
120,C0020,51.20585298,24.08591702,198.575775
121,C0021,51.20583798,24.08586698,198.575775
122,C0022,51.20582096,24.08579498,198.575775
123,C0023,51.20583002,24.08572599,198.575775
124,C0024,51.20583597,24.08567,198.575775
125,C0025,51.20582297,24.08555299,198.575775
126,C0026,51.20583999,24.08541603,198.575775
127,C0027,51.20585801,24.08532098,198.575775
128,C0028,51.20590101,24.08519802,198.575775
129,C0029,51.20592196,24.08514404,198.575775
130,C0030,51.20593898,24.08511001,198.575775
131,C0031,51.20599397,24.08507598,198.575775
132,C0032,51.20605599,24.08508201,198.575775
133,C0033,51.20608902,24.08512803,198.575775
134,C0034,51.20612296,24.08516197,198.575775
135,C0035,51.20613503,24.085195,198.575775
136,C0036,51.20618599,24.08523297,198.575775
137,C0037,51.20624199,24.08518301,198.575775
138,C0038,51.206244,24.085094,198.575775
139,C0039,51.20625699,24.08502703,197.838654
140,C0040,51.20626998,24.08494899,198.183899
141,C0041,51.20630804,24.08485997,198.575775
142,C0042,51.20633704,24.08472897,198.314529
143,C0043,51.20631197,24.08465001,197.680038
144,C0044,51.20629001,24.08458102,197.680038
145,C0045,51.20628297,24.08452604,197.680038
146,C0046,51.20628004,24.084433,197.680038
147,C0047,51.20628197,24.08438397,197.680038
148,C0048,51.20629798,24.08429001,200.115341
149,C0049,51.20632304,24.08413502,198.295868
150,C0050,51.20629697,24.08404601,201.319
151,D0001,51.20464498,24.08684799,195.095428
152,D0002,51.20464498,24.08684799,184.960938
153,D0003,51.20465001,24.08660802,195.851227
154,D0004,51.20462403,24.08652001,195.851227
155,D0005,51.20462,24.086418,195.851227
156,D0006,51.20463903,24.08633603,195.851227
157,D0007,51.20462998,24.08622304,195.851227
158,D0008,51.20462604,24.08611198,195.851227
159,D0009,51.20463501,24.08603202,195.851227
160,D0010,51.20464096,24.08589497,195.851227
161,D0011,51.20463702,24.08582699,195.851227
162,D0012,51.20459704,24.08574896,195.851227
163,D0013,51.20456904,24.08562197,195.851227
164,D0014,51.20455303,24.08551804,195.851227
165,D0015,51.204548,24.08536096,195.851227
166,D0016,51.20455597,24.08524898,195.851227
167,D0017,51.20454004,24.08514303,195.851227
168,D0018,51.20451598,24.08499199,195.851227
169,D0019,51.20451104,24.08488101,195.851227
170,D0020,51.20452101,24.08476199,196.299088
171,D0021,51.20449704,24.08464598,196.01918
172,D0022,51.20449704,24.08454004,195.897873
173,D0023,51.20450098,24.08436997,191.950989
174,D0024,51.20448598,24.08421499,191.950989
175,D0025,51.20448598,24.084116,191.950989
176,D0026,51.20448598,24.08393604,191.950989
177,D0027,51.20446997,24.08374803,191.923004
178,D0028,51.20446997,24.08365399,194.199692
179,D0029,51.20445203,24.08352298,196.289764
180,D0030,51.20445396,24.08337797,196.485703
181,D0031,51.20440702,24.08322399,195.076767
182,D0032,51.20441498,24.08309801,196.728302
183,D0033,51.20443996,24.08296097,196.756302
184,D0034,51.20440702,24.08283901,196.886932
185,D0035,51.20439202,24.08272301,196.569687
186,D0036,51.20437601,24.08258596,196.681656
187,D0037,51.20437902,24.08252402,196.429718
188,D0038,51.20441196,24.082448,194.656891
189,D0039,51.204433,24.08237399,196.961578
190,D0040,51.20446402,24.08227701,196.858932
191,D0041,51.20447399,24.08221297,197.689362
192,D0042,51.20445798,24.08211197,197.586731
193,D0043,51.20445396,24.08200703,197.568069
194,D0044,51.20441096,24.08182698,197.614716
195,D0045,51.20440501,24.08175699,198.146576
196,D0046,51.20440501,24.081615,198.174561
197,D0047,51.20440098,24.08151199,198.305191
198,D0048,51.204403,24.08137696,198.398499
199,D0049,51.20439604,24.08129901,197.549408
200,D0050,51.20436402,24.08122801,198.743729
201,E0001,51.26836002,23.99378498,183.730652
202,E0002,51.26840302,23.99384701,181.780533
203,E0003,51.26849002,23.99400802,181.631241
204,E0004,51.26862103,23.99420701,182.135101
205,E0005,51.268716,23.99412503,182.312393
206,E0006,51.26880099,23.99401699,182.508331
207,E0007,51.26892999,23.99389696,182.209747
208,E0008,51.26899503,23.99383401,182.24707
209,E0009,51.26904096,23.99394298,181.090073
210,E0010,51.26912403,23.99400802,181.453964
211,E0011,51.26909997,23.99412001,180.959442
212,E0012,51.26909704,23.99417298,181.239349
213,E0013,51.26913501,23.99436199,180.978104
214,E0014,51.26917298,23.99451203,180.707504
215,E0015,51.26915697,23.99462099,181.192703
216,E0016,51.26905303,23.99466801,179.55983
217,E0017,51.26895396,23.99472803,181.108734
218,E0018,51.26884701,23.99473297,180.576874
219,E0019,51.26873402,23.99470196,180.828812
220,E0020,51.268615,23.99474303,180.744827
