1_Specimen_Number,2_Ab_or_RNA_pos,3_Date,4_Trap_Line,5_Trap_Number,6_Status,7_Weight,8_Genus,9_Species,10_Male_or_Female,11_Age,12_Blood,13_Heart,14_Lung,15_Kidney,16_Muscle,17_Total_Body_Length,18_Tail_Length,19_Hind_foot_length,20_Ear_length,21_Time_of_day,22_IFA_1:10,23_IFA_1:32,24_IFA_SCORE,25_RTPCR_Status,26_Comments
248,0,26/09/2019,B,12,Dead,16.5,Apodemus,flavicolus,Male,juvenile,No,Yes,Yes,Yes,Yes,754,750,221,168,Am,NEGATIVE,NOT TESTED,0,Not Tested,
312,0,29/09/2019,C,36,Dead,7.6,Sorex,minutus,Female,adult,No,Yes,Yes,Yes,Yes,679,357,121,52,Am,NEGATIVE,NOT TESTED,0,Not Tested,
523,1,02/10/2019,F,17,Dead,23,Apodemus,flavicolus,Male,adult,No,Yes,Yes,Yes,Yes,936,1010,260,194,Am,POSITIVE,POSITIVE,64,NEGATIVE,
522,0,02/10/2019,F,6,Dead,7.8,Sorex,minutus,Male,adult,No,Yes,Yes,Yes,Yes,690,403,135,74,Am,NEGATIVE,NOT TESTED,0,Not Tested,
521,0,02/10/2019,F,5,Dead,11.5,Myodes,glareolus,Male,juvenile,No,Yes,Yes,Yes,Yes,729,357,174,144,Am,NEGATIVE,NOT TESTED,0,Not Tested,
520,0,02/10/2019,F,7,Dead,16.1,Myodes,glareolus,Male,adult,No,Yes,Yes,Yes,Yes,786,405,160,130,Am,NEGATIVE,NOT TESTED,0,Not Tested,
519,0,02/10/2019,I,13,Dead,15.1,Myodes,glareolus,Male,adult,No,Yes,Yes,Yes,Yes,847,360,184,150,Am,NEGATIVE,NOT TESTED,0,Not Tested,
518,0,02/10/2019,F,13,Dead,13.7,Myodes,glareolus,Male,adult,No,Yes,Yes,Yes,Yes,744,414,180,142,Am,NEGATIVE,NOT TESTED,0,Not Tested,
517,0,02/10/2019,F,21,Dead,16.3,Myodes,glareolus,Male,adult,No,Yes,Yes,Yes,Yes,800,391,173,105,Am,NEGATIVE,NOT TESTED,0,Not Tested,
516,0,02/10/2019,I,10,Dead,17.6,Microtus,arvalis,Female,adult,No,Yes,Yes,Yes,Yes,900,446,117,142,Am,NEGATIVE,NOT TESTED,0,,
515,0,02/10/2019,G,8,Dead,7.3,Sorex,minutus,Male,adult,No,Yes,Yes,Yes,Yes,635,405,140,84,Am,NEGATIVE,NOT TESTED,0,Not Tested,
514,0,02/10/2019,E,17,Dead,7.2,Sorex,minutus,Male,adult,No,Yes,Yes,Yes,Yes,650,374,142,63,Am,NEGATIVE,NOT TESTED,0,Not Tested,
513,0,02/10/2019,G,4,Dead,14.1,Apodemus,agrarius,Female,adult,No,Yes,Yes,Yes,Yes,767,651,203,110,Am,NEGATIVE,NOT TESTED,0,Not Tested,
512,0,02/10/2019,G,5,Dead,16.9,Apodemus,agrarius,Female,adult,No,Yes,Yes,Yes,Yes,885,724,207,140,Am,NEGATIVE,NOT TESTED,0,Not Tested,Fleas
511,0,02/10/2019,G,21,Alive,13.2,Microtus,arvalis,Male,adult,Yes,Yes,Yes,Yes,Yes,834,311,179,118,Am,NEGATIVE,NOT TESTED,0,Not Tested,
510,0,02/10/2019,G,11,Alive,13.6,Microtus,arvalis,Male,adult,Yes,Yes,Yes,Yes,Yes,857,310,160,132,Am,NEGATIVE,NOT TESTED,0,Not Tested,
509,0,02/10/2019,G,19,Alive,24.7,Apodemus,flavicolus,Male,adult,Yes,Yes,Yes,Yes,Yes,1019,1010,265,192,Am,NEGATIVE,NOT TESTED,0,Not Tested,
508,0,02/10/2019,E,8,Dead,8.3,Sorex,minutus,Female,adult,No,Yes,Yes,Yes,Yes,603,420,134,75,Am,NEGATIVE,NOT TESTED,,Not Tested,
507,0,02/10/2019,I,9,Alive,23.3,Apodemus,agrarius,Male,adult,Yes,Yes,Yes,Yes,Yes,1004,1000,250,170,Am,NEGATIVE,NOT TESTED,0,Not Tested,
506,0,02/10/2019,I,8,Dead,14.2,Myodes,glareolus,Male,adult,Yes,Yes,Yes,Yes,Yes,772,382,183,117,Am,NEGATIVE,NOT TESTED,0,Not Tested,Small amount of blood taken
505,0,02/10/2019,I,18,Alive,30.8,Apodemus,flavicolus,Female,adult,Yes,Yes,Yes,Yes,Yes,1115,1077,262,212,Am,NEGATIVE,NOT TESTED,0,Not Tested,Lactating
504,0,02/10/2019,E,9,Alive,15.1,Myodes,glareolus,Male,adult,Yes,Yes,Yes,Yes,Yes,870,363,173,115,Am,NEGATIVE,NOT TESTED,0,Not Tested,
503,0,02/10/2019,E,20,Alive,15.5,Myodes,glareolus,Female,adult,Yes,Yes,Yes,Yes,Yes,866,445,162,137,Am,NEGATIVE,NOT TESTED,0,Not Tested,
502,0,02/10/2019,E,14,Alive,15.2,Myodes,glareolus,Female,adult,Yes,Yes,Yes,Yes,Yes,885,406,165,143,Am,NEGATIVE,NOT TESTED,0,Not Tested,
501,0,02/10/2019,I,11,Alive,19.8,Apodemus,flavicolus,Male,adult,Yes,Yes,Yes,Yes,Yes,907,973,245,172,Am,NEGATIVE,NOT TESTED,0,Not Tested,"Moribund, fleas"
500,0,02/10/2019,E,11,Alive,15.6,Myodes,glareolus,Female,adult,Yes,Yes,Yes,Yes,Yes,883,384,165,143,Am,NEGATIVE,NOT TESTED,0,Not Tested,
