rodent_record_id	pathogen_record_id	species	year	s	m
36446	45573	Apodemus agrarius	2008	JQ912697	JQ912803
36446	45573	Apodemus agrarius	2008	JQ912698	JQ912804
36446	45573	Apodemus agrarius	2008	JQ912699	JQ912805
36446	45573	Apodemus agrarius	2008	JQ912700	JQ912806
36446	45573	Apodemus agrarius	2008	JQ912701	JQ912807
36446	45573	Apodemus agrarius	2008	JQ912702	JQ912808
36446	45573	Apodemus agrarius	2008	JQ912703	JQ912809
36446	45573	Apodemus agrarius	2008	JQ912704	JQ912810
36446	45573	Apodemus agrarius	2008	JQ912705	JQ912811
36446	45573	Apodemus agrarius	2008	JQ912706	JQ912812
36446	45573	Apodemus agrarius	2008	JQ912707	JQ912813
36446	45573	Apodemus agrarius	2008	JQ912708	JQ912814
36446	45573	Apodemus agrarius	2008	JQ912709	JQ912815
36446	45573	Apodemus agrarius	2008	JQ912710	JQ912816
36446	45573	Apodemus agrarius	2008	JQ912711	JQ912817
36446	45573	Apodemus agrarius	2008	JQ912712	JQ912818
36446	45573	Apodemus agrarius	2008	JQ912713	JQ912819
36446	45573	Apodemus agrarius	2008	JQ912714	JQ912820
36446	45573	Apodemus agrarius	2008	JQ912715	JQ912821
36472	45599	Apodemus agrarius	2009	JQ912716	JQ912822
36472	45599	Apodemus agrarius	2009	JQ912717	JQ912823
36472	45599	Apodemus agrarius	2009	JQ912718	JQ912824
36472	45599	Apodemus agrarius	2009	JQ912719	JQ912825
36472	45599	Apodemus agrarius	2009	JQ912720	JQ912826
36472	45599	Apodemus agrarius	2009	JQ912721	JQ912827
36472	45599	Apodemus agrarius	2009	JQ912722	JQ912828
36472	45599	Apodemus agrarius	2009	JQ912723	JQ912829
36472	45599	Apodemus agrarius	2009	JQ912724	JQ912830
36472	45599	Apodemus agrarius	2009	JQ912725	JQ912831
36472	45599	Apodemus agrarius	2009	JQ912726	JQ912832
36472	45599	Apodemus agrarius	2009	JQ912727	JQ912833
36472	45599	Apodemus agrarius	2009	JQ912728	JQ912834
36472	45599	Apodemus agrarius	2009	JQ912729	JQ912835
36472	45599	Apodemus agrarius	2009	JQ912730	JQ912836
36472	45599	Apodemus agrarius	2009	JQ912731	JQ912837
36472	45599	Apodemus agrarius	2009	JQ912732	JQ912838
36472	45599	Apodemus agrarius	2009	JQ912733	JQ912839
36472	45599	Apodemus agrarius	2009	JQ912734	JQ912840
36472	45599	Apodemus agrarius	2009	JQ912735	JQ912841
36472	45599	Apodemus agrarius	2009	JQ912736	JQ912842
36472	45599	Apodemus agrarius	2009	JQ912737	JQ912843
36472	45599	Apodemus agrarius	2009	JQ912738	JQ912844
36472	45599	Apodemus agrarius	2009	JQ912739	JQ912845
36472	45599	Apodemus agrarius	2009	JQ912740	JQ912846
36472	45599	Apodemus agrarius	2009	JQ912741	JQ912847
36472	45599	Apodemus agrarius	2009	JQ912742	JQ912848
36472	45599	Apodemus agrarius	2009	JQ912743	JQ912849
36472	45599	Apodemus agrarius	2009	JQ912744	JQ912850
36472	45599	Apodemus agrarius	2009	JQ912745	JQ912851
36472	45599	Apodemus agrarius	2009	JQ912746	JQ912852
36472	45599	Apodemus agrarius	2009	JQ912747	JQ912853
36472	45599	Apodemus agrarius	2009	JQ912748	JQ912854
36472	45599	Apodemus agrarius	2009	JQ912749	JQ912855
36498	45625	Apodemus agrarius	2010	JQ912750	JQ912856
36498	45625	Apodemus agrarius	2010	JQ912751	JQ912857
36498	45625	Apodemus agrarius	2010	JQ912752	JQ912858
36498	45625	Apodemus agrarius	2010	JQ912753	JQ912859
36498	45625	Apodemus agrarius	2010	JQ912754	JQ912860
36498	45625	Apodemus agrarius	2010	JQ912755	JQ912861
36498	45625	Apodemus agrarius	2010	JQ912756	JQ912862
36498	45625	Apodemus agrarius	2010	JQ912757	JQ912863
36498	45625	Apodemus agrarius	2010	JQ912758	JQ912864
36498	45625	Apodemus agrarius	2010	JQ912759	JQ912865
36498	45625	Apodemus agrarius	2010	JQ912760	JQ912866
36524	45651	Apodemus agrarius	2011	KC344241	KC344256
36524	45651	Apodemus agrarius	2011	KC344240	KC344255
36524	45651	Apodemus agrarius	2011	KC344239	KC344254
36524	45651	Apodemus agrarius	2011	KC344236	KC344264
36524	45651	Apodemus agrarius	2011	KC344249	KC344263
36524	45651	Apodemus agrarius	2011	KC344248	KC344253
36524	45651	Apodemus agrarius	2011	KC344238	KC344266
36524	45651	Apodemus agrarius	2011	KC344245	KC344262
36524	45651	Apodemus agrarius	2011	KC344247	KC344261
36524	45651	Apodemus agrarius	2011	KC344244	KC344265
36524	45651	Apodemus agrarius	2011	KC344243	KC344260
36524	45651	Apodemus agrarius	2011	KC344237	KC344259
36524	45651	Apodemus agrarius	2011	KC344246	KC344258
36524	45651	Apodemus agrarius	2011	KC344242	KC344257
NA	NA	Homo sapiens	2009	JQ912761	JQ912867
NA	NA	Homo sapiens	2010	JQ912762	-
NA	NA	Homo sapiens	2010	JQ912763	JQ912868
NA	NA	Homo sapiens	2010	JQ912764	JQ912869
NA	NA	Homo sapiens	2011	JQ912765	JQ912870
36448	45575	Microtus fortis	2008	JQ912766	JQ912871
36474	45601	Microtus fortis	2009	JQ912767	JQ912872
36474	45601	Microtus fortis	2009	JQ912768	JQ912873
36474	45601	Microtus fortis	2009	JQ912769	JQ912874
36474	45601	Microtus fortis	2009	JQ912770	JQ912875
36545	45672	Rattus flavipectus	2011	JQ912771	JQ912876
36545	45672	Rattus flavipectus	2011	JQ912772	JQ912877
36545	45672	Rattus flavipectus	2011	KC344252	KC344269
36470	45597	Rattus norvegicus	2008	JQ912773	JQ912878
36470	45597	Rattus norvegicus	2008	JQ912774	JQ912879
36470	45597	Rattus norvegicus	2008	JQ912775	JQ912880
36470	45597	Rattus norvegicus	2008	JQ912776	JQ912881
36496	45623	Rattus norvegicus	2009	JQ912777	JQ912882
36496	45623	Rattus norvegicus	2009	JQ912778	JQ912883
36496	45623	Rattus norvegicus	2009	JQ912779	JQ912884
36496	45623	Rattus norvegicus	2009	JQ912780	JQ912885
36496	45623	Rattus norvegicus	2009	JQ912781	JQ912886
36548	45675	Rattus norvegicus	2011	JQ912782	JQ912887
36548	45675	Rattus norvegicus	2011	JQ912783	JQ912888
36548	45675	Rattus norvegicus	2011	JQ912784	JQ912889
36548	45675	Rattus norvegicus	2011	JQ912785	JQ912890
36548	45675	Rattus norvegicus	2011	JQ912786	JQ912891
36548	45675	Rattus norvegicus	2011	JQ912787	JQ912892
36548	45675	Rattus norvegicus	2011	JQ912788	JQ912893
36548	45675	Rattus norvegicus	2011	JQ912789	JQ912894
36548	45675	Rattus norvegicus	2011	JQ912790	JQ912895
36548	45675	Rattus norvegicus	2011	JQ912791	JQ912896
