"rodent_record_id"	"date"	"taxonomic_level"	"genus"	"species"	"Locality"	"lat"	"lon"	"n_individuals"	"n_positive"
8302	"2015-06-01"	"species"	"Acomys"	"Acomys percivali"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8303	"2015-06-01"	"species"	"Acomys"	"Acomys muzei"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8304	"2015-06-01"	"species"	"Acomys"	"Acomys ngurui"	"Amboni caves"	"-5.07"	"39.06"	"2"	"0"
8305	"2015-06-01"	"species"	"Acomys"	"Acomys wilsoni"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8306	"2015-06-01"	"genus"	"Acomys"	"Acomys sp."	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8307	"2015-06-01"	"species"	"Aethomys"	"Aethomys chrysophilus"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8308	"2015-06-01"	"species"	"Aethomys"	"Aethomys kaiseri"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8309	"2015-06-01"	"species"	"Aethomys"	"Aethomys silindensis"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8310	"2015-06-01"	"genus"	"Aethomys"	"Aethomys sp."	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8311	"2015-06-01"	"species"	"Arvincanthis"	"Arvincanthis neumanni"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8312	"2015-06-01"	"species"	"Beamys"	"Beamys hindei"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8313	"2015-06-01"	"species"	"Crocidura"	"Crocidura bloyeti"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8314	"2015-06-01"	"species"	"Crocidura"	"Crocidura hirta"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8315	"2015-06-01"	"species"	"Crocidura"	"Crocidura montis"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8316	"2015-06-01"	"species"	"Crocidura"	"Crocidura olivieri"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8317	"2015-06-01"	"species"	"Crocidura"	"Crocidura turba"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8318	"2015-06-01"	"genus"	"Crocidura"	"Crocidura sp."	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8319	"2015-06-01"	"species"	"Dasymys"	"Dasymys incomtus"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8320	"2015-06-01"	"species"	"Dendromus"	"Dendromus nyasae"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8321	"2015-06-01"	"species"	"Gerbilliscus"	"Gerbilliscus boehmi"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8322	"2015-06-01"	"species"	"Gerbilliscus"	"Gerbilliscus taborae"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8323	"2015-06-01"	"species"	"Gerbilliscus"	"Gerbilliscus leucogaster"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8324	"2015-06-01"	"species"	"Gerbilliscus"	"Gerbilliscus taborae"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8325	"2015-06-01"	"species"	"Gerbilliscus"	"Gerbilliscus vicinus"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8326	"2015-06-01"	"genus"	"Gerbilliscus"	"Gerbilliscus sp."	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8327	"2015-06-01"	"species"	"Gerbillus"	"Gerbillus pusillus"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
8328	"2015-06-01"	"species"	"Grammomys"	"Grammomys macmillani"	"Amboni caves"	"-5.07"	"39.06"	"0"	"0"
