Pathogen	Positive
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	1
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Asikkala virus	0
Kurkino virus	0
Kurkino virus	1
Kurkino virus	0
Kurkino virus	1
Kurkino virus	0
Kurkino virus	1
Kurkino virus	0
Kurkino virus	1
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	1
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	1
Kurkino virus	0
Kurkino virus	0
Kurkino virus	1
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	1
Kurkino virus	0
Kurkino virus	0
Kurkino virus	1
Kurkino virus	0
Kurkino virus	1
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
