genus	species	site	lat	lon	n
Apodemus	Apodemus flavicollis	Berat	40.7022	19.9583	0
Apodemus	Apodemus sylvaticus	Berat	40.7022	19.9583	0
Apodemus	Apodemus mystacinus	Berat	40.7022	19.9583	0
Rattus	Rattus rattus	Berat	40.7022	19.9583	0
Rattus	Rattus norvegicus	Berat	40.7022	19.9583	1
Mus	Mus domesticus	Berat	40.7022	19.9583	0
Myodes	Myodes glareolus	Berat	40.7022	19.9583	0
Microtus	Microtus felteni	Berat	40.7022	19.9583	0
Muscardinus	Muscardinus avellanarius	Berat	40.7022	19.9583	0
Dryomys	Dryomys nitedula	Berat	40.7022	19.9583	0
Crocidura	Crocidura suaveolens	Berat	40.7022	19.9583	1
Crocidura	Crocidura leucodon	Berat	40.7022	19.9583	0
Talpa	Talpa stankovici	Berat	40.7022	19.9583	0
Apodemus	Apodemus flavicollis	Delvine	39.95	20.1	3
Apodemus	Apodemus sylvaticus	Delvine	39.95	20.1	0
Apodemus	Apodemus mystacinus	Delvine	39.95	20.1	0
Rattus	Rattus rattus	Delvine	39.95	20.1	0
Rattus	Rattus norvegicus	Delvine	39.95	20.1	0
Mus	Mus domesticus	Delvine	39.95	20.1	0
Myodes	Myodes glareolus	Delvine	39.95	20.1	0
Microtus	Microtus felteni	Delvine	39.95	20.1	0
Muscardinus	Muscardinus avellanarius	Delvine	39.95	20.1	0
Dryomys	Dryomys nitedula	Delvine	39.95	20.1	0
Crocidura	Crocidura suaveolens	Delvine	39.95	20.1	0
Crocidura	Crocidura leucodon	Delvine	39.95	20.1	0
Talpa	Talpa stankovici	Delvine	39.95	20.1	0
Apodemus	Apodemus flavicollis	Devoll	40.6211	20.988	11
Apodemus	Apodemus sylvaticus	Devoll	40.6211	20.988	0
Apodemus	Apodemus mystacinus	Devoll	40.6211	20.988	0
Rattus	Rattus rattus	Devoll	40.6211	20.988	0
Rattus	Rattus norvegicus	Devoll	40.6211	20.988	0
Mus	Mus domesticus	Devoll	40.6211	20.988	0
Myodes	Myodes glareolus	Devoll	40.6211	20.988	0
Microtus	Microtus felteni	Devoll	40.6211	20.988	0
Muscardinus	Muscardinus avellanarius	Devoll	40.6211	20.988	0
Dryomys	Dryomys nitedula	Devoll	40.6211	20.988	0
Crocidura	Crocidura suaveolens	Devoll	40.6211	20.988	1
Crocidura	Crocidura leucodon	Devoll	40.6211	20.988	0
Talpa	Talpa stankovici	Devoll	40.6211	20.988	0
Apodemus	Apodemus flavicollis	Diber	41.691	20.4628	19
Apodemus	Apodemus sylvaticus	Diber	41.691	20.4628	3
Apodemus	Apodemus mystacinus	Diber	41.691	20.4628	0
Rattus	Rattus rattus	Diber	41.691	20.4628	0
Rattus	Rattus norvegicus	Diber	41.691	20.4628	0
Mus	Mus domesticus	Diber	41.691	20.4628	0
Myodes	Myodes glareolus	Diber	41.691	20.4628	0
Microtus	Microtus felteni	Diber	41.691	20.4628	0
Muscardinus	Muscardinus avellanarius	Diber	41.691	20.4628	0
Dryomys	Dryomys nitedula	Diber	41.691	20.4628	0
Crocidura	Crocidura suaveolens	Diber	41.691	20.4628	0
Crocidura	Crocidura leucodon	Diber	41.691	20.4628	0
Talpa	Talpa stankovici	Diber	41.691	20.4628	0
