rodent_record_id	year	species	site	lat	lon	assay	pathogen	tested	positive
19292	2010-04	Microtus agrestis	Billerbeck	51.993	7.316	ELISA	TULV	0	0
19293	2010-04	Microtus agrestis	Gotha	50.956	10.6521	ELISA	TULV	0	0
19294	2010-04	Microtus agrestis	Jeeser	54.1625	13.2591	ELISA	TULV	6	0
19295	2010-04	Microtus agrestis	Weissach	48.8313	8.961	ELISA	TULV	4	2
19296	2010-04	Microtus arvalis	Billerbeck	51.993	7.316	ELISA	TULV	0	0
19297	2010-04	Microtus arvalis	Gotha	50.956	10.6521	ELISA	TULV	12	0
19298	2010-04	Microtus arvalis	Jeeser	54.1625	13.2591	ELISA	TULV	13	0
19299	2010-04	Microtus arvalis	Weissach	48.8313	8.961	ELISA	TULV	11	1
19300	2010-07	Microtus agrestis	Billerbeck	51.993	7.316	ELISA	TULV	0	0
19301	2010-07	Microtus agrestis	Gotha	50.956	10.6521	ELISA	TULV	12	0
19302	2010-07	Microtus agrestis	Jeeser	54.1625	13.2591	ELISA	TULV	7	0
19303	2010-07	Microtus agrestis	Weissach	48.8313	8.961	ELISA	TULV	2	1
19304	2010-07	Microtus arvalis	Billerbeck	51.993	7.316	ELISA	TULV	6	0
19305	2010-07	Microtus arvalis	Gotha	50.956	10.6521	ELISA	TULV	65	6
19306	2010-07	Microtus arvalis	Jeeser	54.1625	13.2591	ELISA	TULV	120	23
19307	2010-07	Microtus arvalis	Weissach	48.8313	8.961	ELISA	TULV	78	9
19308	2010-10	Microtus agrestis	Billerbeck	51.993	7.316	ELISA	TULV	0	0
19309	2010-10	Microtus agrestis	Gotha	50.956	10.6521	ELISA	TULV	24	1
19310	2010-10	Microtus agrestis	Jeeser	54.1625	13.2591	ELISA	TULV	1	0
19311	2010-10	Microtus agrestis	Weissach	48.8313	8.961	ELISA	TULV	0	0
19312	2010-10	Microtus arvalis	Billerbeck	51.993	7.316	ELISA	TULV	20	2
19313	2010-10	Microtus arvalis	Gotha	50.956	10.6521	ELISA	TULV	125	10
19314	2010-10	Microtus arvalis	Jeeser	54.1625	13.2591	ELISA	TULV	67	8
19315	2010-10	Microtus arvalis	Weissach	48.8313	8.961	ELISA	TULV	19	4
19316	2011-04	Microtus agrestis	Billerbeck	51.993	7.316	ELISA	TULV	0	0
19317	2011-04	Microtus agrestis	Gotha	50.956	10.6521	ELISA	TULV	4	0
19318	2011-04	Microtus agrestis	Jeeser	54.1625	13.2591	ELISA	TULV	2	0
19319	2011-04	Microtus agrestis	Weissach	48.8313	8.961	ELISA	TULV	0	0
19320	2011-04	Microtus arvalis	Billerbeck	51.993	7.316	ELISA	TULV	1	0
19321	2011-04	Microtus arvalis	Gotha	50.956	10.6521	ELISA	TULV	29	3
19322	2011-04	Microtus arvalis	Jeeser	54.1625	13.2591	ELISA	TULV	2	1
19323	2011-04	Microtus arvalis	Weissach	48.8313	8.961	ELISA	TULV	0	0
19324	2011-07	Microtus agrestis	Billerbeck	51.993	7.316	ELISA	TULV	0	0
19325	2011-07	Microtus agrestis	Gotha	50.956	10.6521	ELISA	TULV	15	0
19326	2011-07	Microtus agrestis	Jeeser	54.1625	13.2591	ELISA	TULV	0	0
19327	2011-07	Microtus agrestis	Weissach	48.8313	8.961	ELISA	TULV	1	0
19328	2011-07	Microtus arvalis	Billerbeck	51.993	7.316	ELISA	TULV	1	0
19329	2011-07	Microtus arvalis	Gotha	50.956	10.6521	ELISA	TULV	49	0
19330	2011-07	Microtus arvalis	Jeeser	54.1625	13.2591	ELISA	TULV	0	0
