year	season	species	site	lat	lon	n	te	rodent_record_id
2010-04	spring	Microtus agrestis	Billerbeck	51.993	7.316	0	882	19292
2010-04	spring	Microtus agrestis	Gotha	50.956	10.6521	0	882	19293
2010-04	spring	Microtus agrestis	Jeeser	54.1625	13.2591	9	882	19294
2010-04	spring	Microtus agrestis	Weissach	48.8313	8.961	4	882	19295
2010-07	summer	Microtus agrestis	Billerbeck	51.993	7.316	0	882	19300
2010-07	summer	Microtus agrestis	Gotha	50.956	10.6521	14	882	19301
2010-07	summer	Microtus agrestis	Jeeser	54.1625	13.2591	7	882	19302
2010-07	summer	Microtus agrestis	Weissach	48.8313	8.961	2	882	19303
2010-10	autumn	Microtus agrestis	Billerbeck	51.993	7.316	0	882	19308
2010-10	autumn	Microtus agrestis	Gotha	50.956	10.6521	36	882	19309
2010-10	autumn	Microtus agrestis	Jeeser	54.1625	13.2591	1	882	19310
2010-10	autumn	Microtus agrestis	Weissach	48.8313	8.961	0	882	19311
2011-04	spring	Microtus agrestis	Billerbeck	51.993	7.316	0	882	19316
2011-04	spring	Microtus agrestis	Gotha	50.956	10.6521	4	882	19317
2011-04	spring	Microtus agrestis	Jeeser	54.1625	13.2591	2	882	19318
2011-04	spring	Microtus agrestis	Weissach	48.8313	8.961	0	882	19319
2011-07	summer	Microtus agrestis	Billerbeck	51.993	7.316	0	882	19324
2011-07	summer	Microtus agrestis	Gotha	50.956	10.6521	17	882	19325
2011-07	summer	Microtus agrestis	Jeeser	54.1625	13.2591	1	882	19326
2011-07	summer	Microtus agrestis	Weissach	48.8313	8.961	1	882	19327
2011-10	autumn	Microtus agrestis	Billerbeck	51.993	7.316	1	882	19332
2011-10	autumn	Microtus agrestis	Gotha	50.956	10.6521	16	882	19333
2011-10	autumn	Microtus agrestis	Jeeser	54.1625	13.2591	6	882	19334
2011-10	autumn	Microtus agrestis	Weissach	48.8313	8.961	1	882	19335
2012-04	spring	Microtus agrestis	Billerbeck	51.993	7.316	0	882	19340
2012-04	spring	Microtus agrestis	Gotha	50.956	10.6521	1	882	19341
2012-04	spring	Microtus agrestis	Jeeser	54.1625	13.2591	1	882	19342
2012-04	spring	Microtus agrestis	Weissach	48.8313	8.961	1	882	19343
2012-07	summer	Microtus agrestis	Billerbeck	51.993	7.316	0	882	19348
2012-07	summer	Microtus agrestis	Gotha	50.956	10.6521	15	882	19349
2012-07	summer	Microtus agrestis	Jeeser	54.1625	13.2591	2	882	19350
2012-07	summer	Microtus agrestis	Weissach	48.8313	8.961	0	882	19351
2012-10	autumn	Microtus agrestis	Gotha	50.956	10.6521	20	882	19356
