year,season,species,site,locality,lat,lon,lt,st,tn,assay,pathogen,tested,positive
2010,spring,Microtus arvalis,Weissach,1,48.8313,8.961,0,6,294,ELISA,TULV,6,1
2010,spring,Microtus arvalis,Weissach,2,48.8313,8.961,2,0,294,ELISA,TULV,0,0
2010,spring,Microtus arvalis,Weissach,3,48.8313,8.961,0,5,294,ELISA,TULV,5,0
2010,summer,Microtus arvalis,Weissach,1,48.8313,8.961,35,14,294,ELISA,TULV,47,6
2010,summer,Microtus arvalis,Weissach,2,48.8313,8.961,13,5,294,ELISA,TULV,18,3
2010,summer,Microtus arvalis,Weissach,3,48.8313,8.961,30,11,294,ELISA,TULV,13,0
2010,autumn,Microtus arvalis,Weissach,1,48.8313,8.961,0,0,294,ELISA,TULV,0,0
2010,autumn,Microtus arvalis,Weissach,2,48.8313,8.961,1,1,294,ELISA,TULV,2,0
2010,autumn,Microtus arvalis,Weissach,3,48.8313,8.961,17,2,294,ELISA,TULV,17,4
2011,spring,Microtus arvalis,Weissach,1,48.8313,8.961,0,0,294,ELISA,TULV,0,0
2011,spring,Microtus arvalis,Weissach,2,48.8313,8.961,0,0,294,ELISA,TULV,0,0
2011,spring,Microtus arvalis,Weissach,3,48.8313,8.961,0,0,294,ELISA,TULV,0,0
2011,summer,Microtus arvalis,Weissach,1,48.8313,8.961,11,4,294,ELISA,TULV,16,0
2011,summer,Microtus arvalis,Weissach,2,48.8313,8.961,22,0,294,ELISA,TULV,17,0
2011,summer,Microtus arvalis,Weissach,3,48.8313,8.961,116,20,294,ELISA,TULV,103,0
2011,autumn,Microtus arvalis,Weissach,1,48.8313,8.961,3,1,294,ELISA,TULV,4,0
2011,autumn,Microtus arvalis,Weissach,2,48.8313,8.961,0,0,294,ELISA,TULV,0,0
2011,autumn,Microtus arvalis,Weissach,3,48.8313,8.961,78,36,294,ELISA,TULV,110,12
2012,spring,Microtus arvalis,Weissach,1,48.8313,8.961,0,0,294,ELISA,TULV,0,0
2012,spring,Microtus arvalis,Weissach,2,48.8313,8.961,0,0,294,ELISA,TULV,0,0
2012,spring,Microtus arvalis,Weissach,3,48.8313,8.961,0,0,294,ELISA,TULV,0,0
2012,summer,Microtus arvalis,Weissach,1,48.8313,8.961,20,5,294,ELISA,TULV,21,2
2012,summer,Microtus arvalis,Weissach,2,48.8313,8.961,1,1,294,ELISA,TULV,2,0
2012,summer,Microtus arvalis,Weissach,3,48.8313,8.961,0,0,294,ELISA,TULV,0,0
2012,autumn,Microtus arvalis,Weissach,1,48.8313,8.961,0,0,294,ELISA,TULV,0,0
2012,autumn,Microtus arvalis,Weissach,2,48.8313,8.961,0,0,294,ELISA,TULV,0,0
2012,autumn,Microtus arvalis,Weissach,3,48.8313,8.961,3,0,294,ELISA,TULV,3,0
2010,spring,Microtus arvalis,Jeeser,1,54.1625,13.2591,12,0,294,ELISA,TULV,9,0
2010,spring,Microtus arvalis,Jeeser,2,54.1625,13.2591,3,0,294,ELISA,TULV,1,0
2010,spring,Microtus arvalis,Jeeser,3,54.1625,13.2591,3,0,294,ELISA,TULV,3,0
2010,summer,Microtus arvalis,Jeeser,1,54.1625,13.2591,4,4,294,ELISA,TULV,12,1
2010,summer,Microtus arvalis,Jeeser,2,54.1625,13.2591,15,10,294,ELISA,TULV,24,6
2010,summer,Microtus arvalis,Jeeser,3,54.1625,13.2591,85,10,294,ELISA,TULV,84,16
2010,autumn,Microtus arvalis,Jeeser,1,54.1625,13.2591,14,1,294,ELISA,TULV,15,0
2010,autumn,Microtus arvalis,Jeeser,2,54.1625,13.2591,23,1,294,ELISA,TULV,22,3
2010,autumn,Microtus arvalis,Jeeser,3,54.1625,13.2591,29,3,294,ELISA,TULV,30,5
2011,spring,Microtus arvalis,Jeeser,1,54.1625,13.2591,0,0,294,ELISA,TULV,0,0
2011,spring,Microtus arvalis,Jeeser,2,54.1625,13.2591,0,0,294,ELISA,TULV,0,0
2011,spring,Microtus arvalis,Jeeser,3,54.1625,13.2591,2,0,294,ELISA,TULV,2,1
2011,summer,Microtus arvalis,Jeeser,1,54.1625,13.2591,0,0,294,ELISA,TULV,0,0
2011,summer,Microtus arvalis,Jeeser,2,54.1625,13.2591,0,0,294,ELISA,TULV,0,0
2011,summer,Microtus arvalis,Jeeser,3,54.1625,13.2591,0,1,294,ELISA,TULV,0,0
2011,autumn,Microtus arvalis,Jeeser,1,54.1625,13.2591,8,3,294,ELISA,TULV,10,1
2011,autumn,Microtus arvalis,Jeeser,2,54.1625,13.2591,15,0,294,ELISA,TULV,14,0
2011,autumn,Microtus arvalis,Jeeser,3,54.1625,13.2591,5,0,294,ELISA,TULV,4,0
2012,spring,Microtus arvalis,Jeeser,1,54.1625,13.2591,5,0,294,ELISA,TULV,5,0
2012,spring,Microtus arvalis,Jeeser,2,54.1625,13.2591,0,0,294,ELISA,TULV,0,0
2012,spring,Microtus arvalis,Jeeser,3,54.1625,13.2591,2,0,294,ELISA,TULV,2,0
