year,species,season,site,lat,lon,n,assay,pathogen,tested,positive,te
2010,Microtus arvalis,spring,Weissach,48.8313,8.961,,PCR,TULV,11,0,882
2010,Microtus arvalis,summer,Weissach,48.8313,8.961,,PCR,TULV,28,9,882
2010,Microtus arvalis,autumn,Weissach,48.8313,8.961,,PCR,TULV,3,1,882
2011,Microtus arvalis,spring,Weissach,48.8313,8.961,,PCR,TULV,0,0,882
2011,Microtus arvalis,summer,Weissach,48.8313,8.961,,PCR,TULV,40,3,882
2011,Microtus arvalis,autumn,Weissach,48.8313,8.961,,PCR,TULV,40,9,882
2012,Microtus arvalis,spring,Weissach,48.8313,8.961,,PCR,TULV,0,0,882
2012,Microtus arvalis,summer,Weissach,48.8313,8.961,,PCR,TULV,8,2,882
2012,Microtus arvalis,autumn,Weissach,48.8313,8.961,,PCR,TULV,0,0,882
2010,Microtus arvalis,spring,Jeeser,54.1625,13.2591,,PCR,TULV,0,0,882
2010,Microtus arvalis,summer,Jeeser,54.1625,13.2591,,PCR,TULV,40,15,882
2010,Microtus arvalis,autumn,Jeeser,54.1625,13.2591,,PCR,TULV,12,2,882
2011,Microtus arvalis,spring,Jeeser,54.1625,13.2591,,PCR,TULV,0,0,882
2011,Microtus arvalis,summer,Jeeser,54.1625,13.2591,,PCR,TULV,0,0,882
2011,Microtus arvalis,autumn,Jeeser,54.1625,13.2591,,PCR,TULV,4,0,882
2012,Microtus arvalis,spring,Jeeser,54.1625,13.2591,,PCR,TULV,0,0,882
2012,Microtus arvalis,summer,Jeeser,54.1625,13.2591,,PCR,TULV,1,0,882
2012,Microtus arvalis,autumn,Jeeser,54.1625,13.2591,,PCR,TULV,3,0,882
2013,Microtus arvalis,spring,Jeeser,54.1625,13.2591,,PCR,TULV,0,0,882
2013,Microtus arvalis,summer,Jeeser,54.1625,13.2591,,PCR,TULV,0,0,882
2013,Microtus arvalis,autumn,Jeeser,54.1625,13.2591,,PCR,TULV,2,0,882
2010,Microtus arvalis,spring,Billerbeck,51.993,7.316,,PCR,TULV,0,0,882
2010,Microtus arvalis,summer,Billerbeck,51.993,7.316,,PCR,TULV,3,0,882
2010,Microtus arvalis,autumn,Billerbeck,51.993,7.316,,PCR,TULV,6,2,882
2011,Microtus arvalis,spring,Billerbeck,51.993,7.316,,PCR,TULV,0,0,882
2011,Microtus arvalis,summer,Billerbeck,51.993,7.316,,PCR,TULV,1,0,882
2011,Microtus arvalis,autumn,Billerbeck,51.993,7.316,,PCR,TULV,5,0,882
2012,Microtus arvalis,spring,Billerbeck,51.993,7.316,,PCR,TULV,3,0,882
2012,Microtus arvalis,summer,Billerbeck,51.993,7.316,,PCR,TULV,0,0,882
2010,Microtus arvalis,spring,Gotha,50.956,10.6521,,PCR,TULV,7,1,882
2010,Microtus arvalis,summer,Gotha,50.956,10.6521,,PCR,TULV,19,1,882
2010,Microtus arvalis,autumn,Gotha,50.956,10.6521,,PCR,TULV,26,1,882
2011,Microtus arvalis,spring,Gotha,50.956,10.6521,,PCR,TULV,2,0,882
2011,Microtus arvalis,summer,Gotha,50.956,10.6521,,PCR,TULV,17,2,882
2011,Microtus arvalis,autumn,Gotha,50.956,10.6521,,PCR,TULV,28,3,882
2012,Microtus arvalis,spring,Gotha,50.956,10.6521,,PCR,TULV,4,0,882
2012,Microtus arvalis,summer,Gotha,50.956,10.6521,,PCR,TULV,9,0,882
2012,Microtus arvalis,autumn,Gotha,50.956,10.6521,,PCR,TULV,9,1,882
2013,Microtus arvalis,spring,Gotha,50.956,10.6521,,PCR,TULV,0,0,882
2013,Microtus arvalis,autumn,Gotha,50.956,10.6521,,PCR,TULV,2,0,882
2010,Microtus agrestis,spring,Weissach,48.8313,8.961,4,ELISA,TULV,4,2,882
2010,Microtus agrestis,summer,Weissach,48.8313,8.961,2,ELISA,TULV,2,1,882
2010,Microtus agrestis,autumn,Weissach,48.8313,8.961,0,ELISA,TULV,0,0,882
2011,Microtus agrestis,spring,Weissach,48.8313,8.961,0,ELISA,TULV,0,0,882
2011,Microtus agrestis,summer,Weissach,48.8313,8.961,1,ELISA,TULV,1,0,882
2011,Microtus agrestis,autumn,Weissach,48.8313,8.961,1,ELISA,TULV,1,0,882
2012,Microtus agrestis,spring,Weissach,48.8313,8.961,1,ELISA,TULV,1,0,882
2012,Microtus agrestis,summer,Weissach,48.8313,8.961,0,ELISA,TULV,0,0,882
2012,Microtus agrestis,autumn,Weissach,48.8313,8.961,0,ELISA,TULV,0,0,882
2010,Microtus agrestis,spring,Jeeser,54.1625,13.2591,9,ELISA,TULV,6,0,882
2010,Microtus agrestis,summer,Jeeser,54.1625,13.2591,7,ELISA,TULV,7,0,882
2010,Microtus agrestis,autumn,Jeeser,54.1625,13.2591,1,ELISA,TULV,1,0,882
2011,Microtus agrestis,spring,Jeeser,54.1625,13.2591,2,ELISA,TULV,2,0,882
2011,Microtus agrestis,summer,Jeeser,54.1625,13.2591,1,ELISA,TULV,0,0,882
2011,Microtus agrestis,autumn,Jeeser,54.1625,13.2591,6,ELISA,TULV,6,0,882
2012,Microtus agrestis,spring,Jeeser,54.1625,13.2591,1,ELISA,TULV,0,0,882
2012,Microtus agrestis,summer,Jeeser,54.1625,13.2591,2,ELISA,TULV,0,0,882
2012,Microtus agrestis,autumn,Jeeser,54.1625,13.2591,8,ELISA,TULV,6,0,882
2013,Microtus agrestis,spring,Jeeser,54.1625,13.2591,0,ELISA,TULV,0,0,882
2013,Microtus agrestis,summer,Jeeser,54.1625,13.2591,6,ELISA,TULV,6,2,882
2013,Microtus agrestis,autumn,Jeeser,54.1625,13.2591,0,ELISA,TULV,0,0,882
2010,Microtus agrestis,spring,Billerbeck,51.993,7.316,0,ELISA,TULV,0,0,882
2010,Microtus agrestis,summer,Billerbeck,51.993,7.316,0,ELISA,TULV,0,0,882
2010,Microtus agrestis,autumn,Billerbeck,51.993,7.316,0,ELISA,TULV,0,0,882
2011,Microtus agrestis,spring,Billerbeck,51.993,7.316,0,ELISA,TULV,0,0,882
2011,Microtus agrestis,summer,Billerbeck,51.993,7.316,0,ELISA,TULV,0,0,882
2011,Microtus agrestis,autumn,Billerbeck,51.993,7.316,1,ELISA,TULV,1,0,882
2012,Microtus agrestis,spring,Billerbeck,51.993,7.316,0,ELISA,TULV,0,0,882
