rodent_record_id	date	taxa	genus	clean_species	province	lat	long	family	result	lab_id
19393	2015-02-27	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 4961
19394	2015-02-27	species	Gerbilliscus	Gerbilliscus leucogaster	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 4962
19395	2015-02-27	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 4963
19396	2015-02-27	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 4967
19397	2015-02-27	species	Saccostomus	Saccostomus campestris	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 4968
19398	2015-02-27	species	Graphiurus	Graphiurus murinus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 4973
19399	2015-03-01	species	Mastomys	Mastomys natalensis	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 4995
19400	2015-03-01	genus	Steatomys	Steatomys spp.	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 5011
19401	2015-03-01	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 5012
19402	2015-03-01	genus	Steatomys	Steatomys spp.	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 5015
19403	2015-05-12	species	Elephantulus	Elephantulus brachyrhynchus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 5353
19404	2015-05-12	species	Mastomys	Mastomys natalensis	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 5354
19405	2015-05-12	species	Elephantulus	Elephantulus brachyrhynchus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 5355
19406	2015-05-12	species	Mastomys	Mastomys natalensis	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 5356
19407	2015-07-12	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 5525
19408	2015-09-15	genus	Mus	Mus spp.	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 5934
19409	2015-09-15	species	Micaelamys	Micaelamys namaquensis	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 5935
19410	2015-09-15	genus	Mus	Mus spp.	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 5939
19411	2015-11-13	species	Mastomys	Mastomys natalensis	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12001
19412	2015-11-13	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12002
19413	2015-11-13	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12003
19414	2015-11-13	genus	Steatomys	Steatomys spp.	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12004
19415	2015-11-13	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12005
19416	2015-11-13	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12006
19417	2015-11-13	genus	Steatomys	Steatomys spp.	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12007
19418	2015-11-13	genus	Mus	Mus spp.	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12008
19419	2015-11-13	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12009
19420	2016-01-19	species	Mastomys	Mastomys natalensis	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12010
19421	2016-01-19	genus	Steatomys	Steatomys spp.	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12011
19422	2016-01-19	species	Gerbilliscus	Gerbilliscus leucogaster	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12012
19423	2016-01-19	species	Mastomys	Mastomys natalensis	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12013
19424	2016-01-19	species	Mastomys	Mastomys natalensis	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12014
19425	2016-01-20	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12016
19426	2016-01-20	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12017
19427	2016-01-20	species	Mastomys	Mastomys natalensis	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12018
19428	2016-01-20	species	Saccostomus	Saccostomus campestris	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12019
19429	2016-01-20	species	Mastomys	Mastomys natalensis	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12020
19430	2016-01-20	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12021
19431	2016-01-20	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12022
19432	2016-01-21	species	Saccostomus	Saccostomus campestris	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12023
19433	2016-01-21	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12024
19434	2016-04-05	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12061
19435	2016-04-05	species	Saccostomus	Saccostomus campestris	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12062
19436	2016-04-06	species	Saccostomus	Saccostomus campestris	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12065
19437	2016-04-06	species	Graphiurus	Graphiurus murinus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12066
19438	2016-04-06	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12067
19439	2016-04-07	species	Saccostomus	Saccostomus campestris	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12068
19440	2016-04-08	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12071
19441	2016-04-08	species	Gerbilliscus	Gerbilliscus leucogaster	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12072
19442	2016-04-08	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12073
19443	2016-04-08	species	Aethomys	Aethomys ineptus	Limpopo	-24.5914	27.6258	Arenaviridae	0	UP 12074
