"",,,,,,,,,
UP 4961,UP 4961,TM49121,27-Feb-15,Aethomys ineptus s.l.,Limpopo,F,Fe,Neg,Neg
UP 4962,UP 4962,TM49197,27-Feb-15,Gerbilliscus leucogaster,Limpopo,M,Fe,Neg,Neg
UP 4963,UP 4963,TM49122,27-Feb-15,Aethomys ineptus s.l.,Limpopo,M,Fe,Neg,Neg
UP 4967,UP 4967,TM49137,27-Feb-15,Aethomys ineptus s.l.,Limpopo,F,Fe,Neg,Neg
UP 4968,UP 4968,TM49210,27-Feb-15,Saccostomus campestris,Limpopo,F,Fe,Neg,Neg
UP 4973,UP 4973,TM49216,27-Feb-15,Graphiurus murinus,Limpopo,M,Fe,Neg,Neg
UP 4995,UP 4995,TM49199,01-Mar-15,Mastomys natalensis s.l.,Limpopo,M,Fe,Neg,Neg
UP 5011,UP 5011,TM49140,01-Mar-15,Steatomys sp.,Limpopo,M,Fe,Neg,Neg
UP 5012,UP 5012,TM49124,01-Mar-15,Aethomys ineptus s.l.,Limpopo,M,Fe,Neg,Neg
UP 5015,UP 5015,TM49141,01-Mar-15,Steatomys sp.,Limpopo,F,Fe,Neg,Neg
UP 5353,UPR 003,TM49208,12-May-15,"Elephantulusbrachyrhynchus",Limpopo,M,Fe,Neg,Neg
UP 5354,UPR 004,TM49200,12-May-15,Mastomys natalensis s.l.,Limpopo,M,Fe,Neg,Neg
UP 5355,UPR 005,TM49209,12-May-15,"Elephantulusbrachyrhynchus",Limpopo,M,Fe,Neg,Neg
UP 5356,UPR 006,TM49201,12-May-15,Mastomys natalensis s.l.,Limpopo,M,Fe,Neg,Neg
UP 5525,UPR 086,TM49126,12-July-15,Aethomys ineptus s.l.,Limpopo,M,Fe,Neg,Neg
UP 5934,UPR 091,TM49220,15-Sep-15,Mus (Nannomys) sp.,Limpopo,F,Fe,Neg,Neg
UP 5935,UPR 092,TM49215,15-Sep-15,Micaelamys namaquensis,Limpopo,M,Fe,Neg,Neg
UP 5939,UPR 096,TM49221,15-Sep-15,Mus (Nannomys) sp.,Limpopo,M,Fe,Neg,Neg
UP 12001,UPR 141,TM49202,13-Nov-15,Mastomys natalensis s.l.,Limpopo,M,Ki,Neg,Neg
UP 12002,UPR 142,TM49138,13-Nov-15,Aethomys ineptus s.l.,Limpopo,F,Ki,Neg,Neg
UP 12003,UPR 143,TM49131,13-Nov-15,Aethomys ineptus s.l.,Limpopo,F,Ki,Neg,Neg
UP 12004,UPR 144,TM49143,13-Nov-15,Steatomys sp.,Limpopo,F,Ki,Neg,Neg
UP 12005,UPR 145,TM49129,13-Nov-15,Aethomys ineptus s.l.,Limpopo,F,Ki,Neg,Neg
UP 12006,UPR 146,TM49130,13-Nov-15,Aethomys ineptus s.l.,Limpopo,F,Ki,Neg,Neg
UP 12007,UPR 147,TM49144,13-Nov-15,Steatomys sp.,Limpopo,M,Ki,Neg,Neg
UP 12008,UPR 148,TM49222,13-Nov-15,Mus (Nannomys) sp.,Limpopo,M,Ki,Neg,Neg
UP 12009,UPR 149,TM49132,13-Nov-15,Aethomys ineptus s.l.,Limpopo,F,Ki,Neg,Neg
UP 12010,UPR 150,TM49203,19-Jan-16,Mastomys natalensis s.l.,Limpopo,F,Fe /Ki,Neg,Neg
UP 12011,UPR 151,TM49145,19-Jan-16,Steatomys sp.,Limpopo,F,Fe/ Ki,Neg,Neg
UP 12012,UPR 152,TM49198,19-Jan-16,Gerbilliscus leucogaster,Limpopo,F,Fe/ Ki,Neg,Neg
UP 12013,UPR 153,TM49204,19-Jan-16,Mastomys natalensis s.l.,Limpopo,F,Ki,Neg,Neg
UP 12014,UPR 154,TM49205,19-Jan-16,Mastomys natalensis s.l.,Limpopo,F,Ki,Neg,Neg
UP 12016,UPR 156,TM49139,20-Jan-16,Aethomys ineptus s.l.,Limpopo,M,Ki,Neg,Neg
UP 12017,UPR 157,TM49133,20-Jan-16,Aethomys ineptus s.l.,Limpopo,M,Fe/ Ki,Neg,Neg
UP 12018,UPR 158,TM49206,20-Jan-16,Mastomys natalensis s.l.,Limpopo,M,Ki,Neg,Neg
UP 12019,UPR 159,TM49211,20-Jan-16,Saccostomus campestris,Limpopo,M,Ki,Neg,Neg
UP 12020,UPR 160,TM49207,20-Jan-16,Mastomys natalensis s.l.,Limpopo,F,Ki,Neg,Neg
UP 12021,UPR 161,TM49134,20-Jan-16,Aethomys ineptus s.l.,Limpopo,M,Ki,Neg,Neg
UP 12022,UPR 162,TM49135,20-Jan-16,Aethomys ineptus s.l.,Limpopo,F,Ki,Neg,Neg
UP 12023,UPR 163,TM49212,21-Jan-16,Saccostomus campestris,Limpopo,F,Fe/ Ki,Neg,Neg
UP 12024,UPR 164,TM49136,21-Jan-16,Aethomys ineptus s.l.,Limpopo,F,Fe/ Ki,Neg,Neg
UP 12061,UPR 201,TM49242,05-Apr-16,Aethomys ineptus s.l.,Limpopo,F,Ki,Neg,Neg
UP 12062,UPR 202,"Released; novoucher",05-Apr-16,Saccostomus campestris,Limpopo,M,Fe,Neg,Neg
UP 12065,UPR 203,TM49243,06-Apr-16,Saccostomus campestris,Limpopo,M,Fe/ Ki,Neg,Neg
UP 12066,UPR 204,TM49224,06-Apr-16,Graphiurus murinus,Limpopo,F,Fe/ Ki,Neg,Neg
UP 12067,UPR 205,TM49225,06-Apr-16,Aethomys ineptus s.l.,Limpopo,F,Fe/ Ki,Neg,Neg
UP 12068,UPR 206,"Released; novoucher",07-Apr-16,Saccostomus campestris,Limpopo,F,Fe,Neg,Neg
UP 12071,UPR 208,TM49227,08-Apr-16,Aethomys ineptus s.l.,Limpopo,F,Fe/ Ki,Neg,Neg
UP 12072,UPR 209,TM49244,08-Apr-16,Gerbilliscus leucogaster,Limpopo,F,Ki,Neg,Neg
UP 12073,UPR 210,TM49228,08-Apr-16,Aethomys ineptus s.l.,Limpopo,M,Fe/ Ki,Neg,Neg
