event_date	genus	species	name	lat	lon	MNA	MNI	traps
1994-06-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	11	0	300
1994-07-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	19	0	300
1994-08-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	22	2	300
1994-09-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	16	0	300
1995-05-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	1	0	300
1995-06-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	5	1	300
1995-07-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	2	0	300
1995-08-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	4	0	300
1995-09-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	1	0	300
1995-10-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	2	0	300
1996-05-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	5	4	300
1996-06-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	2	0	300
1996-07-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	8	0	300
1996-08-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	7	0	300
1996-09-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	8	0	300
1996-10-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	7	0	300
1997-05-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	5	0	300
1997-06-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	2	0	300
1997-07-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	3	0	300
1997-08-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	4	0	300
1997-09-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	11	0	300
1997-10-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	11	0	300
1998-05-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	4	0	300
1998-06-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	5	0	300
1998-07-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	5	0	300
1998-08-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	6	0	300
1998-09-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	8	0	300
1999-05-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	8	0	300
1999-06-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	6	0	300
1999-07-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	7	0	300
1999-08-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	11	0	300
1999-09-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	15	0	300
1999-10-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	6	0	300
2000-05-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	5	0	300
2000-06-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	12	0	300
2000-07-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	10	0	300
2000-08-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	13	0	300
2000-09-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	13	0	300
2000-10-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	12	1	300
2001-05-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	3	0	300
2001-06-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	6	2	300
2001-07-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	4	0	300
2001-08-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	2	0	300
2001-09-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	2	0	300
2001-10-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	1	0	300
2002-05-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	6	0	300
2002-06-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	11	0	300
2002-07-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	9	0	300
2002-08-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	12	0	300
2002-09-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	8	0	300
2002-10-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	9	0	300
2003-05-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	13	1	300
2003-06-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	7	1	300
2003-07-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	12	1	300
2003-08-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	23	1	300
2003-09-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	27	4	300
2003-10-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	29	3	300
2004-05-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	14	1	300
2004-06-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	3	1	300
2004-07-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	7	1	300
2004-08-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	8	1	300
2004-09-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	15	1	300
2004-10-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	1	0	300
2005-05-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	8	0	300
2005-06-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	6	0	300
2005-07-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	8	0	300
2005-08-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	17	1	300
2005-09-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	15	1	300
2005-10-01	Peromyscus	Peromyscus maniculatus	CMR 18, Montana	47.623	-108.5813333	12	1	300
1994-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	39	4	300
1994-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	51	3	300
1994-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	38	0	300
1994-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	36	0	300
1994-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	30	0	300
1994-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	21	0	300
1994-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	36	1	300
1995-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	25	0	300
1995-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	27	0	300
1995-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	32	0	300
1995-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	32	1	300
1995-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	33	2	300
1995-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	27	1	300
1995-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	15	1	300
1995-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	17	1	300
1995-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	12	0	300
1995-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	10	1	300
1995-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	16	0	300
1995-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	16	1	300
1996-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	14	0	300
1996-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	28	0	300
1996-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	18	0	300
1996-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	24	0	300
1996-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	28	0	300
1996-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	29	0	300
1996-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	25	0	300
1996-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	37	0	300
1996-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	37	0	300
1996-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	23	0	300
1996-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	9	0	300
1996-12-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	9	0	300
1997-01-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	11	0	300
1997-02-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	11	0	300
1997-03-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	28	4	300
1997-04-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	20	4	300
1997-05-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	24	7	300
1997-06-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	23	4	300
1997-07-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	18	2	300
1997-08-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	20	2	300
1997-09-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	17	2	300
1997-10-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	24	3	300
1997-11-01	Peromyscus	Peromyscus maniculatus	Cascade 11, Montana	46.98972222	-111.5844444	21	2	300
