Session,C11.MNA,C11.MNI,CMR18.MNA,CMR18.MNI,Cut15.MNA,Cut15.MNI,GC8.MNA,GC8.MNI,GC9.MNA,GC9.MNI,GU.MNA,GU.MNI,GL.MNA,GL.MNI,P5.MNA,P5.MNI,P6.MNA,P6.MNI
199406,39,4,11,0,12,0,10,3,1,0,,,,,,,36,5
199407,51,3,19,0,15,4,9,1,8,0,,,,,53,5,19,3
199408,38,0,22,2,27,1,14,0,16,1,,,,,73,6,26,5
199409,36,0,16,0,8,1,16,1,17,0,,,,,81,9,23,7
199410,30,0,,,,,,,,,,,,,,,,
199411,21,0,,,,,,,,,,,,,,,,
199412,36,1,,,,,,,,,,,,,,,,
199501,25,0,,,,,,,,,,,,,,,,
199502,27,0,,,,,,,,,,,,,,,,
199503,32,0,,,,,,,,,,,,,3,1,8,1
199504,32,1,,,,,,,,,,,,,9,4,15,4
199505,33,2,1,0,4,0,2,1,1,0,,,,,6,3,11,5
199506,27,1,5,1,4,0,3,1,1,0,,,,,3,1,10,3
199507,15,1,2,0,2,0,2,1,1,0,,,,,3,0,7,2
199508,17,1,4,0,4,0,7,3,2,0,,,,,5,1,12,3
199509,12,0,1,0,6,0,3,0,3,0,,,,,8,2,13,4
199510,10,1,2,0,1,0,5,2,3,0,,,,,12,2,14,2
199511,16,0,,,,,,,,,,,,,,,,
199512,16,1,,,,,,,,,,,,,,,,
199601,14,0,,,,,,,,,,,,,,,,
199602,28,0,,,,,,,,,,,,,,,,
199603,18,0,,,,,,,,,,,,,,,,
199604,24,0,,,,,,,,,,,,,,,,
199605,28,0,5,4,6,0,2,1,1,0,,,,,6,4,14,4
199606,29,0,2,0,4,0,1,0,1,0,,,,,6,4,17,4
199607,25,0,8,0,9,0,4,1,16,0,,,,,36,13,23,8
199608,37,0,7,0,11,0,14,0,25,0,,,,,63,14,36,8
199609,37,0,8,0,10,0,14,0,21,0,,,,,89,4,35,8
199610,23,0,7,0,10,0,16,0,24,0,,,,,118,4,34,5
199611,9,0,,,,,,,,,,,,,,,,
199612,9,0,,,,,,,,,,,,,,,,
199701,11,0,,,,,,,,,,,,,,,,
199702,11,0,,,,,,,,,,,,,,,,
199703,28,4,,,,,,,,,,,,,,,,
199704,20,4,,,,,,,,,,,,,,,,
199705,24,7,5,0,6,2,0,0,2,0,,,,,49,22,18,3
199706,23,4,2,0,4,0,2,0,3,0,,,,,74,26,14,2
199707,18,2,3,0,6,1,4,0,2,0,,,,,88,25,16,2
199708,20,2,4,0,11,2,11,0,4,0,,,,,88,20,14,1
199709,17,2,11,0,10,1,11,0,6,0,,,,,81,19,25,1
199710,24,3,11,0,13,1,13,0,10,0,,,,,98,22,14,1
199711,21,2,,,,,,,,,,,,,,,,
199712,36,2,,,,,,,,,,,,,,,,
199801,38,1,,,,,,,,,,,,,,,,
199802,29,0,,,,,,,,,,,,,,,,
199803,22,1,,,,,,,,,,,,,,,,
199804,34,1,,,,,,,,,,,,,,,,
199805,36,3,4,0,9,2,4,1,6,4,,,,,117,51,32,1
199806,35,1,5,0,6,1,20,3,15,3,,,,,133,53,19,1
199807,29,2,5,0,4,0,33,3,21,4,,,,,134,53,26,2
199808,30,1,6,0,2,0,66,2,31,6,,,,,151,51,33,4
199809,27,1,8,0,4,0,65,1,33,4,,,,,124,44,17,2
199810,29,1,,,7,0,43,2,29,1,,,,,94,35,22,4
199811,20,0,,,,,,,,,,,,,,,,
199812,11,0,,,,,,,,,,,,,,,,
199901,11,0,,,,,,,,,,,,,,,,
199902,23,0,,,,,,,,,,,,,,,,
199903,15,0,,,,,,,,,,,,,,,,
199904,18,0,,,,,,,,,,,,,,,,
199905,23,2,8,0,12,2,8,3,3,0,,,,,27,7,6,2
199906,16,2,6,0,13,1,7,1,4,0,,,,,26,5,9,3
199907,18,1,7,0,8,0,4,1,4,1,,,,,25,5,7,3
199908,17,0,11,0,16,0,8,2,5,0,,,,,30,12,11,2
199909,18,0,15,0,8,0,11,3,4,0,,,,,32,15,11,2
199910,12,0,6,0,16,1,8,1,7,0,,,,,42,20,11,1
199911,13,0,,,,,,,,,,,,,,,,
199912,16,0,,,,,,,,,,,,,,,,
200001,10,0,,,,,,,,,,,,,,,,
