Session,GCE.MNA,GCE.MNI,GCM.MNA,GCM.MNI,GCT.MNA,GCT.MNI,HA.MNA,HA.MNI,HB.MNA,HB.MNI,MA.MNA,MA.MNI,MB.MNA,MB.MNI,N1.MNA,N1.MNI,Z2.MNA,Z2.MNI
199406,,,,,,,6,0,15,5,,,,,,,,
199407,,,,,,,35,5,24,0,,,,,,,,
199408,,,,,,,,,,,,,,,,,,
199409,,,,,,,33,4,24,0,,,,,,,,
199410,,,,,,,15,0,7,0,9,0,,,,,,
199411,,,,,,,,,,,,,,,,,,
199412,,,,,,,9,1,8,0,,,,,,,,
199501,,,,,,,,,,,,,,,,,,
199502,,,,,,,,,,,,,,,,,,
199503,,,,,,,,,,,,,,,,,,
199504,,,,,,,,,,,,,,,,,,
199505,,,,,,,5,2,7,0,12,1,,,,,,
199506,,,,,,,2,1,8,0,8,2,,,,,,
199507,,,,,,,11,1,13,0,21,5,,,,,,
199508,,,,,,,,,,,,,,,,,,
199509,,,,,,,24,2,14,0,35,7,,,,,,
199510,,,,,,,18,2,20,0,47,2,,,,,,
199511,,,,,,,11,1,17,0,,,,,,,,
199512,,,,,,,,,7,0,44,2,,,,,,
199601,,,,,,,,,,,,,,,,,,
199602,,,,,,,,,,,,,,,,,,
199603,,,,,,,,,,,,,,,,,,
199604,,,,,,,8,0,14,0,27,5,,,,,,
199605,,,,,,,,,,,,,,,,,,
199606,,,,,,,8,0,11,0,21,6,,,,,,
199607,,,,,,,24,0,22,0,18,3,,,,,,
199608,,,,,,,13,0,21,0,8,0,,,,,,
199609,,,,,,,,,,,,,,,,,,
199610,,,,,,,12,0,14,0,18,0,7,0,,,,
199611,,,,,,,,,,,,,,,,,,
199612,,,,,,,,,,,,,,,,,,
199701,,,,,,,,,,,,,,,,,,
199702,,,,,,,,,,,,,,,,,,
199703,,,,,,,,,,,,,,,,,,
199704,,,,,,,,,,,,,,,,,,
199705,,,,,,,3,0,6,1,4,0,8,0,,,,
199706,,,,,,,2,0,8,3,4,1,5,0,,,,
199707,,,,,,,9,0,15,0,,,,,,,,
199708,,,,,,,,,,,7,0,5,0,,,,
199709,,,,,,,10,0,20,4,23,1,11,0,21,0,9,0
199710,,,,,,,7,0,14,3,30,0,34,2,25,0,15,0
199711,,,,,,,,,,,,,,,22,0,17,0
199712,,,,,,,,,,,,,,,,,,
199801,,,,,,,,,,,,,,,26,0,23,0
199802,,,,,,,,,,,,,,,19,0,9,0
199803,,,,,,,,,,,,,,,29,0,21,0
199804,,,,,,,11,0,25,6,,,,,31,2,24,0
199805,,,,,,,18,1,25,8,30,0,27,11,28,2,22,1
199806,,,,,,,,,,,,,,,25,2,14,0
199807,,,,,,,17,3,28,8,32,0,19,5,21,2,10,0
199808,,,,,,,33,5,39,9,23,2,24,3,25,1,9,1
199809,,,,,,,22,4,33,12,,,,,10,0,7,1
199810,,,,,,,,,,,21,1,27,5,17,3,16,0
199811,,,,,,,,,,,,,,,9,0,15,4
199812,,,,,,,,,,,,,,,,,,
199901,,,,,,,,,,,,,,,12,2,19,3
199902,,,,,,,,,,,,,,,10,3,18,4
199903,,,,,,,,,,,,,,,16,6,12,4
199904,,,,,,,20,5,39,18,,,,,,,,
199905,,,,,,,,,,,,,,,23,5,16,7
199906,,,,,,,18,8,42,14,8,0,18,1,17,8,11,3
199907,,,,,,,46,8,65,19,8,0,17,2,16,7,4,3
199908,,,,,,,,,,,,,,,27,5,8,5
199909,,,,,,,58,10,59,13,13,3,13,3,21,3,6,4
199910,,,,,,,82,15,72,19,14,1,16,4,12,2,6,2
199911,,,,,,,,,,,,,,,10,1,12,2
199912,,,,,,,,,,,,,,,,,,
200001,,,,,,,,,,,,,,,10,1,8,1
200002,,,,,,,,,,,,,,,13,2,10,2
200003,,,,,,,,,,,,,,,9,1,9,1
200004,,,,,,,8,2,30,3,9,2,10,0,9,1,5,1
200005,,,,,,,13,3,15,4,,,,,,,,
200006,,,,,,,,,,,1,0,10,0,7,0,7,0
200007,,,,,,,19,2,21,4,9,0,8,0,7,0,6,1
200008,,,,,,,11,1,31,1,10,0,8,1,5,2,4,1
200009,,,,,,,,,,,,,,,6,2,7,2
200010,,,,,,,9,1,16,1,15,0,8,0,11,2,14,1
200011,,,,,,,,,,,,,,,,,,
200012,,,,,,,,,,,,,,,8,2,7,1
200101,,,,,,,,,,,,,,,10,1,4,1
200102,,,,,,,,,,,,,,,11,2,2,1
200103,,,,,,,,,,,,,,,6,1,7,0
200104,,,,,,,3,1,7,2,,,,,,,,
200105,,,,,,,4,1,7,1,3,0,5,0,5,1,3,0
200106,,,,,,,,,,,,,,,5,0,2,1
200107,,,,,,,16,2,17,1,4,0,3,0,10,0,4,1
200108,,,,,,,29,4,23,6,2,0,4,0,18,0,6,0
200109,,,,,,,25,1,29,5,15,0,7,0,15,1,3,0
200110,,,,,,,,,,,,,,,20,0,5,0
200111,,,,,,,17,1,19,4,14,0,19,2,,,,
200112,,,,,,,,,,,,,,,9,0,2,0
200201,,,,,,,,,,,,,,,18,1,7,0
200202,,,,,,,,,,,,,,,15,1,4,0
200203,,,,,,,,,,,,,,,10,1,2,0
200204,,,10,2,11,6,13,3,22,6,11,0,11,0,,,,
200205,,,19,5,20,3,10,3,23,8,4,0,6,0,10,1,1,0
200206,,,,,,,,,,,3,0,9,0,10,1,1,0
200207,,,23,7,15,2,11,2,18,4,5,0,11,0,5,0,1,0
200208,41,5,20,7,17,3,13,6,19,3,9,0,6,0,5,0,1,0
200209,52,15,11,4,11,2,,,,,,,,,3,0,2,0
200210,48,10,5,2,11,2,21,4,20,3,16,0,22,0,10,0,2,0
200211,41,8,6,1,6,1,7,3,10,2,,,,,,,,
200212,32,10,6,2,4,1,,,,,,,,,6,0,2,0
200301,30,10,4,1,5,1,,,,,,,,,5,0,2,0
200302,33,12,4,2,7,1,,,,,,,,,2,0,3,0
200303,,,,,,,,,,,,,,,4,0,2,0
200304,21,9,4,2,5,0,,,,,,,,,4,0,4,0
200305,25,10,11,3,12,1,4,1,5,2,,,,,5,0,3,0
200306,37,20,16,4,17,5,10,1,11,2,3,0,5,0,6,0,2,0
200307,36,14,21,4,18,3,31,4,30,2,,,,,9,1,4,0
200308,37,12,27,5,10,1,,,,,8,0,8,0,2,0,5,0
200309,64,14,35,6,17,2,65,2,52,4,7,0,9,0,8,0,2,0
200310,79,11,18,2,6,2,71,6,67,5,5,0,11,1,3,0,1,0
200311,117,10,26,4,23,0,,,,,,,,,1,0,1,0
200312,117,10,20,4,12,0,,,,,,,,,5,0,2,0
200401,113,14,15,6,8,0,,,,,,,,,4,0,4,0
200402,,,,,,,,,,,,,,,7,0,8,2
200403,88,15,14,4,15,0,,,,,,,,,6,0,5,0
200404,64,14,22,6,22,0,,,,,,,,,,,,
200405,73,14,30,2,34,0,52,18,32,12,13,0,23,0,9,0,6,0
200406,81,20,32,6,27,0,49,13,50,24,,,,,10,0,2,0
200407,71,16,34,8,22,0,,,,,15,0,21,1,8,0,1,0
200408,73,17,28,7,29,2,67,14,69,22,47,5,36,4,6,0,3,0
200409,72,17,25,10,23,1,115,28,108,25,52,6,72,3,7,0,1,0
200410,72,18,23,14,23,2,91,25,94,22,,,,,1,0,2,0
200411,65,18,40,20,26,4,,,,,,,,,1,0,1,0
200412,67,25,28,12,25,2,,,,,,,,,,,,
200501,,,,,,,,,,,,,,,3,0,1,0
200502,50,22,25,19,23,4,,,,,,,,,3,0,2,0
200503,47,23,28,14,25,3,,,,,,,,,6,0,3,0
200504,35,14,26,12,24,4,,,,,,,,,4,0,6,1
200505,51,22,28,12,27,6,,,,,,,,,5,0,5,1
200506,50,15,45,13,50,8,31,15,21,10,14,1,9,3,4,0,4,0
200507,71,18,73,17,57,17,44,15,30,11,8,0,7,4,5,0,3,0
200508,96,22,80,14,89,13,53,14,37,10,,,,,7,0,3,0
200509,95,29,70,16,88,17,,,,,12,0,15,2,6,0,1,0
200510,94,24,73,16,77,12,60,15,59,12,15,0,14,2,8,0,6,0
200511,69,18,66,15,49,8,,,,,,,,,5,0,9,0
200512,57,16,56,16,42,9,,,,,,,,,4,0,8,0
200601,53,15,47,19,43,10,,,,,,,,,3,0,6,0
200602,64,17,43,17,51,14,,,,,,,,,5,0,8,0
200603,70,15,41,13,44,14,,,,,,,,,3,0,3,0
200604,97,21,53,19,45,12,35,10,41,13,16,3,13,4,4,0,1,0
200605,72,21,51,12,46,10,,,,,,,,,,,,
200606,,,,,,,33,8,61,20,11,1,4,0,,,,
200607,,,,,,,45,12,54,11,14,1,11,2,,,,
200608,,,,,,,76,11,61,8,,,,,,,,
200609,,,,,,,,,,,10,2,9,3,,,,
200610,,,,,,,23,8,36,10,17,5,17,7,,,,
