taxid	name_txt	name_class	name_norm	sci_name	rank	lineage_taxids	lineage_names	lineage_ranks
11617	Arenaviridae	scientific name	arenaviridae	Arenaviridae	family	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae	;;;;;;;;family
51317	Pampa virus	scientific name	pampa virus	Pampa virus	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;208898;51317	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;unclassified Arenaviridae;Pampa virus	;;;;;;;;family;;species
434491	Kodoko virus	scientific name	kodoko virus	Kodoko virus	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;208898;434491	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;unclassified Arenaviridae;Kodoko virus	;;;;;;;;family;;species
641384	Arenavirus sp. 9408800235/ZAF	scientific name	arenavirus sp. 9408800235/zaf	Arenavirus sp. 9408800235/ZAF	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;208898;641384	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;unclassified Arenaviridae;Arenavirus sp. 9408800235/ZAF	;;;;;;;;family;;species
767474	Arenavirus H0030026	scientific name	arenavirus h0030026	Arenavirus H0030026	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;208898;767474	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;unclassified Arenaviridae;Arenavirus H0030026	;;;;;;;;family;;species
767475	Arenavirus H0030028	scientific name	arenavirus h0030028	Arenavirus H0030028	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;208898;767475	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;unclassified Arenaviridae;Arenavirus H0030028	;;;;;;;;family;;species
913013	Arenavirus Mus/TZ22285/TZA/2008	scientific name	arenavirus mus/tz22285/tza/2008	Arenavirus Mus/TZ22285/TZA/2008	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;208898;913013	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;unclassified Arenaviridae;Arenavirus Mus/TZ22285/TZA/2008	;;;;;;;;family;;species
1237118	Middle Pease River virus	scientific name	middle pease river virus	Middle Pease River virus	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;208898;1237118	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;unclassified Arenaviridae;Middle Pease River virus	;;;;;;;;family;;species
1357966	Natorduori virus	scientific name	natorduori virus	Natorduori virus	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;208898;1357966	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;unclassified Arenaviridae;Natorduori virus	;;;;;;;;family;;species
1392101	Boid arenavirus	scientific name	boid arenavirus	Boid arenavirus	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;208898;1392101	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;unclassified Arenaviridae;Boid arenavirus	;;;;;;;;family;;species
