taxid	name_txt	name_class	name_norm	sci_name	rank	lineage_taxids	lineage_names	lineage_ranks
1980413	Hantaviridae	scientific name	hantaviridae	Hantaviridae	family	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae	;;;;;;;;family
2421283	Dode virus	scientific name	dode virus	Dode virus	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2116433;2421283	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;unclassified Hantaviridae;Dode virus	;;;;;;;;family;;species
2746358	Coleopteran hanta-related virus OKIAV221	scientific name	coleopteran hanta-related virus okiav221	Coleopteran hanta-related virus OKIAV221	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2116433;2746358	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;unclassified Hantaviridae;Coleopteran hanta-related virus OKIAV221	;;;;;;;;family;;species
2746359	Plecopteran hanta-related virus OKIAV215	scientific name	plecopteran hanta-related virus okiav215	Plecopteran hanta-related virus OKIAV215	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2116433;2746359	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;unclassified Hantaviridae;Plecopteran hanta-related virus OKIAV215	;;;;;;;;family;;species
2809448	Hantaviridae sp.	scientific name	hantaviridae sp.	Hantaviridae sp.	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2116433;2809448	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;unclassified Hantaviridae;Hantaviridae sp.	;;;;;;;;family;;species
2813194	Pygmy goby hantavirus FL16	scientific name	pygmy goby hantavirus fl16	Pygmy goby hantavirus FL16	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2116433;2813194	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;unclassified Hantaviridae;Pygmy goby hantavirus FL16	;;;;;;;;family;;species
2830714	Murray-Darling rainbowfish hantavirus	scientific name	murray-darling rainbowfish hantavirus	Murray-Darling rainbowfish hantavirus	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2116433;2830714	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;unclassified Hantaviridae;Murray-Darling rainbowfish hantavirus	;;;;;;;;family;;species
2877493	Wenzhou Pipistrellus abramus hantavirus 1	scientific name	wenzhou pipistrellus abramus hantavirus 1	Wenzhou Pipistrellus abramus hantavirus 1	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2116433;2877493	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;unclassified Hantaviridae;Wenzhou Pipistrellus abramus hantavirus 1	;;;;;;;;family;;species
2929003	Longquan Rhinolophus affinis hantavirus 1	scientific name	longquan rhinolophus affinis hantavirus 1	Longquan Rhinolophus affinis hantavirus 1	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2116433;2929003	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;unclassified Hantaviridae;Longquan Rhinolophus affinis hantavirus 1	;;;;;;;;family;;species
3064110	Retropinna hantavirus	scientific name	retropinna hantavirus	Retropinna hantavirus	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2116433;3064110	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;unclassified Hantaviridae;Retropinna hantavirus	;;;;;;;;family;;species
