virus;virus_clean;matched_virus;taxonomic_level;family_clean;ncbi_id;family;subfamily;genus;ncbi_species
1 Guanarito virus/1 Pirital virus;Mammarenavirus;Guanarito virus;genus;Arenaviridae;3052307;Arenaviridae;NA;Mammarenavirus;Mammarenavirus guanaritoense
1 Guanarito virus/1 Pirital virus;Mammarenavirus;Pirital virus;genus;Arenaviridae;3052324;Arenaviridae;NA;Mammarenavirus;Mammarenavirus piritalense
AMRV (Amur Virus);Orthohantavirus hantanense;Amur virus;species;Hantaviridae;86782;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
ANDV;Orthohantavirus andesense;Orthohantavirus andesense;species;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
ANDV/SNV;Orthohantavirus;Orthohantavirus andesense;genus;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
ANDV/SNV;Orthohantavirus;Orthohantavirus sinnombreense;genus;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
Adler virus;Orthohantavirus tulaense;Adler hantavirus;species;Hantaviridae;1578833;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tulaense
Allpahuayo Virus;Mammarenavirus allpahuayoense;Mammarenavirus allpahuayoense;species;Arenaviridae;144752;Arenaviridae;NA;Mammarenavirus;Mammarenavirus allpahuayoense
Altai orthohantavirus;Altai virus;Altai virus;species;Hantaviridae;517361;Hantaviridae;Mammantavirinae;Orthohantavirus;Altai virus
Alto Paraguay Strain SNV;Alto Paraguay hantavirus;Alto Paraguay hantavirus;species;Hantaviridae;261202;Hantaviridae;Mammantavirinae;Orthohantavirus;Alto Paraguay hantavirus
Alto Paraguay Strain SNV;Alto Paraguay hantavirus;Orthohantavirus sinnombreense;species;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
Amga orthohantvirus;Orthohantavirus seewisense;Orthohantavirus seewisense;species;Hantaviridae;2560748;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sp. 'seewisense'
Amga virus;Orthohantavirus seewisense;Orthohantavirus seewisense;species;Hantaviridae;2560748;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sp. 'seewisense'
Amur virus;Orthohantavirus hantanense;Amur virus;species;Hantaviridae;86782;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
Andes Virus;Orthohantavirus andesense;Orthohantavirus andesense;species;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Andes hantavirus;Orthohantavirus andesense;Orthohantavirus andesense;species;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Andes orthohantavirus;Orthohantavirus andesense;Orthohantavirus andesense;species;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Andes virus;Orthohantavirus andesense;Orthohantavirus andesense;species;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Andes/SNV;Orthohantavirus;Orthohantavirus andesense;genus;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Andes/SNV;Orthohantavirus;Orthohantavirus sinnombreense;genus;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
Anjozorobe virus;Orthohantavirus thailandense;Orthohantavirus thailandense;species;Hantaviridae;3052501;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus thailandense
Anjozorobe†virus;Orthohantavirus thailandense;Orthohantavirus thailandense;species;Hantaviridae;3052501;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus thailandense
Ape Aime-Itapua Strain SNV;Ape Aime-Itapua virus;Ape Aime-Itapua virus;species;Hantaviridae;700375;Hantaviridae;Mammantavirinae;Orthohantavirus;Ape Aime-Itapua virus
Ape Aime-Itapua Strain SNV;Ape Aime-Itapua virus;Orthohantavirus sinnombreense;species;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
Ape Aime-Itapua virus;Ape Aime-Itapua virus;Ape Aime-Itapua virus;species;Hantaviridae;700375;Hantaviridae;Mammantavirinae;Orthohantavirus;Ape Aime-Itapua virus
Apore Virus;Mammarenavirus aporeense;Mammarenavirus aporeense;species;Arenaviridae;3052297;Arenaviridae;NA;Mammarenavirus;Mammarenavirus aporeense
