Host,Species,count
Abrothrix longipilis,Orthohantavirus andesense,2
Akodon,Orthohantavirus andesense,2
Akodon azarae,Orthohantavirus andesense,14
Akodon montensis,Orthohantavirus andesense,3
Apodemus agrarius,Orthohantavirus dobravaense,172
Apodemus agrarius,Orthohantavirus hantanense,922
Apodemus agrarius,Orthohantavirus puumalaense,1
Apodemus agrarius,Orthohantavirus seoulense,16
Apodemus agrarius,Orthohantavirus tulaense,5
Apodemus argenteus,Orthohantavirus puumalaense,2
Apodemus chejuensis,Orthohantavirus hantanense,18
Apodemus chevrieri,Orthohantavirus seoulense,5
Apodemus flavicollis,Orthohantavirus dobravaense,219
Apodemus flavicollis,Orthohantavirus puumalaense,2
Apodemus flavicollis,Orthohantavirus tulaense,3
Apodemus peninsulae,Orthohantavirus hantanense,28
Apodemus ponticus,Orthohantavirus dobravaense,12
Apodemus speciosus,Orthohantavirus puumalaense,4
Apodemus sylvaticus,Orthohantavirus dobravaense,8
Apodemus sylvaticus,Orthohantavirus tulaense,4
Arvicola amphibius,Orthohantavirus tulaense,22
Calomys laucha,Orthohantavirus andesense,1
Carollia perspicillata,Orthohantavirus andesense,2
Cricetidae,Orthohantavirus hantanense,1
Cricetulus barabensis,Orthohantavirus seoulense,3
Cricetulus griseus,Orthohantavirus hantanense,3
Cricetulus migratorius,Orthohantavirus seoulense,1
Crocidura lasiura,Orthohantavirus seoulense,2
Crocidura russula,Orthohantavirus hantanense,2
Desmodus rotundus,Orthohantavirus andesense,1
Dryomys nitedula,Orthohantavirus tulaense,3
Felis catus,Orthohantavirus seoulense,2
Glis glis,Orthohantavirus dobravaense,2
Hipposideros armiger,Orthohantavirus seoulense,3
Hipposideros larvatus,Orthohantavirus seoulense,1
Hipposideros pomona,Orthohantavirus seoulense,3
Homo sapiens,Orthohantavirus andesense,196
Homo sapiens,Orthohantavirus chocloense,27
Homo sapiens,Orthohantavirus dobravaense,197
Homo sapiens,Orthohantavirus hantanense,427
Homo sapiens,Orthohantavirus puumalaense,706
Homo sapiens,Orthohantavirus seoulense,101
Homo sapiens,Orthohantavirus sinnombreense,45
Homo sapiens,Orthohantavirus tulaense,5
Lagurus lagurus,Orthohantavirus tulaense,5
Lasiopodomys gregalis,Orthohantavirus tulaense,8
Loxodontomys micropus,Orthohantavirus andesense,1
Meriones libycus,Orthohantavirus seoulense,1
Meriones meridianus,Orthohantavirus seoulense,2
Meriones tamariscinus,Orthohantavirus dobravaense,1
Meriones tamariscinus,Orthohantavirus puumalaense,1
Meriones tamariscinus,Orthohantavirus seoulense,1
Mesocricetus auratus,Orthohantavirus andesense,3
Microtus agrestis,Orthohantavirus tulaense,46
Microtus arvalis,Orthohantavirus dobravaense,7
Microtus arvalis,Orthohantavirus tulaense,1280
Microtus dogramacii,Orthohantavirus tulaense,3
Microtus fortis,Orthohantavirus hantanense,27
Microtus fortis,Orthohantavirus seoulense,2
Microtus guentheri,Orthohantavirus tulaense,1
Microtus majori,Orthohantavirus tulaense,25
Microtus obscurus,Orthohantavirus tulaense,22
Microtus subterraneus,Orthohantavirus tulaense,3
Mus musculus,Orthohantavirus dobravaense,4
Mus musculus,Orthohantavirus hantanense,13
Mus musculus,Orthohantavirus puumalaense,3
Mus musculus,Orthohantavirus seoulense,33
Mus musculus,Orthohantavirus sinnombreense,3
Myodes glareolus,Orthohantavirus dobravaense,2
Myodes glareolus,Orthohantavirus puumalaense,2438
Myodes glareolus,Orthohantavirus tulaense,2
Myodes regulus,Orthohantavirus puumalaense,38
Myodes rufocanus,Orthohantavirus puumalaense,41
Myodes rufocanus bedfordiae,Orthohantavirus puumalaense,20
Myodes rutilus,Orthohantavirus hantanense,4
Myospalax psilurus,Orthohantavirus hantanense,1
Neacomys spinosus,Orthohantavirus andesense,4
Necromys benefactus,Orthohantavirus andesense,1
Necromys lasiurus,Orthohantavirus andesense,32
Necromys obscurus,Orthohantavirus andesense,2
Necromys sp.,Orthohantavirus andesense,2
Niviventer confucianus,Orthohantavirus hantanense,5
Niviventer confucianus,Orthohantavirus seoulense,1
Niviventer sp.,Orthohantavirus hantanense,6
Oligoryzomys chacoensis,Orthohantavirus andesense,7
Oligoryzomys costaricensis,Orthohantavirus chocloense,30
Oligoryzomys flavescens,Orthohantavirus andesense,23
Oligoryzomys fulvescens,Orthohantavirus chocloense,8
Oligoryzomys longicaudatus,Orthohantavirus andesense,77
Oligoryzomys nigripes,Orthohantavirus andesense,11
Oxymycterus nasutus,Orthohantavirus andesense,3
Oxymycterus rufus,Orthohantavirus andesense,1
Peromyscus attwateri,Orthohantavirus sinnombreense,5
Peromyscus aztecus evides,Orthohantavirus montanoense,2
Peromyscus beatae,Orthohantavirus montanoense,58
Peromyscus boylii,Orthohantavirus sinnombreense,3
Peromyscus californicus,Orthohantavirus sinnombreense,1
Peromyscus eremicus,Orthohantavirus sinnombreense,49
Peromyscus leucopus,Orthohantavirus sinnombreense,22
Peromyscus maniculatus,Orthohantavirus sinnombreense,120
Peromyscus pectoralis,Orthohantavirus sinnombreense,1
Peromyscus truei,Orthohantavirus sinnombreense,3
Rattus,Orthohantavirus seoulense,68
Rattus argentiventer,Orthohantavirus seoulense,9
Rattus flavipectus,Orthohantavirus seoulense,52
Rattus losea,Orthohantavirus hantanense,2
Rattus losea,Orthohantavirus seoulense,3
Rattus nitidus,Orthohantavirus hantanense,3
Rattus nitidus,Orthohantavirus seoulense,3
Rattus norvegicus,Orthohantavirus andesense,1
Rattus norvegicus,Orthohantavirus dobravaense,1
Rattus norvegicus,Orthohantavirus hantanense,46
Rattus norvegicus,Orthohantavirus seoulense,1450
Rattus rattus,Orthohantavirus andesense,1
Rattus rattus,Orthohantavirus seoulense,34
Rattus sp.,Orthohantavirus seoulense,6
Rattus tanezumi,Orthohantavirus dobravaense,1
Rattus tanezumi,Orthohantavirus hantanense,10
Rattus tanezumi,Orthohantavirus seoulense,10
Reithrodontomys fulvescens,Orthohantavirus sinnombreense,1
Reithrodontomys megalotis,Orthohantavirus sinnombreense,1
Rhinolophus pusillus,Orthohantavirus seoulense,2
Rhombomys opimus,Orthohantavirus seoulense,5
Rodentia,Orthohantavirus dobravaense,21
Rodentia,Orthohantavirus hantanense,3
Rodentia,Orthohantavirus seoulense,1
Rodentia,Orthohantavirus tulaense,24
Sorex araneus,Orthohantavirus dobravaense,2
Sorex araneus,Orthohantavirus puumalaense,1
Sorex araneus,Orthohantavirus seoulense,2
Suncus murinus,Orthohantavirus seoulense,8
Tamias minimus,Orthohantavirus sinnombreense,3
Tscherskia triton,Orthohantavirus hantanense,2
Tscherskia triton,Orthohantavirus seoulense,8
