#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:hanta_S_aligned" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:hanta_S_aligned" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:hanta_S_aligned" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:hanta_S_aligned" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:hanta_S_aligned" spec="beast.base.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.hanta_S_aligned" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="FrequenciesPrior.s:hanta_S_aligned" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:hanta_S_aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.7" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="KappaPrior.s:hanta_S_aligned" name="distribution">
#            <parameter id="kappa.s:hanta_S_aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:hanta_S_aligned" name="distribution" x="@popSize.t:hanta_S_aligned">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@hanta_S_aligned" id="treeLikelihood.hanta_S_aligned" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:hanta_S_aligned">
#            <siteModel id="SiteModel.s:hanta_S_aligned" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:hanta_S_aligned" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:hanta_S_aligned" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:hanta_S_aligned" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:hanta_S_aligned" kappa="@kappa.s:hanta_S_aligned" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:hanta_S_aligned" id="estimatedFreqs.s:hanta_S_aligned" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:hanta_S_aligned" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:hanta_S_aligned" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	popSize	CoalescentConstant
0	-362220.9305866504	-362089.02185531834	-131.90873133207438	-362089.02185531834	0.8033013981522719	6.696298472131005	2.0	0.25	0.25	0.25	0.25	0.3	-135.344045275916
1000	-219857.53525376186	-219492.79282985674	-364.7424239051205	-219492.79282985674	30.55321443556284	297.1356781762909	2.0	0.25	0.25	0.25	0.25	91.81103973462137	-362.4540324956932
2000	-148920.8828362481	-148405.95012491135	-514.9327113367553	-148405.95012491135	136.71998869084473	1765.2043253278782	2.0	0.26043135685652125	0.23956864314347878	0.25	0.25	253.90682321714493	-511.62185752843544
3000	-118792.7181785772	-118216.91683014827	-575.8013484289268	-118216.91683014827	242.92582737675625	4582.430318582724	2.0	0.26043135685652125	0.23956864314347878	0.25	0.25	1824.8743853170827	-570.5181955489116
4000	-102189.64929304944	-101520.82470383236	-668.8245892170802	-101520.82470383236	527.7051696844474	16608.248300616604	2.0	0.26043135685652125	0.23956864314347878	0.25	0.25	6100.2140381121235	-662.3346236329886
5000	-99231.79133081554	-98563.1946833093	-668.5966475062487	-98563.1946833093	508.56078056187874	16224.820095569146	2.0	0.26043135685652125	0.23956864314347878	0.25	0.25	6100.2140381121235	-662.1066819221571
6000	-96682.07885906927	-96013.19165746482	-668.887201604443	-96013.19165746482	494.6500276559871	15600.710400755628	1.856998564477558	0.26043135685652125	0.23956864314347878	0.25	0.25	4319.7421333728635	-662.8002197040856
7000	-95461.97510552083	-94792.57601603646	-669.3990894843711	-94792.57601603646	547.0308455414122	15944.576381513767	1.856998564477558	0.26043135685652125	0.23956864314347878	0.25	0.25	6594.095874402034	-662.889128608953
8000	-93947.8420107906	-93283.22298596267	-664.6190248279343	-93283.22298596267	536.5063533014486	15140.137122551347	1.856998564477558	0.26043135685652125	0.23956864314347878	0.25	0.25	5332.949524202476	-658.3213341699324
9000	-92383.27631279013	-91717.03522519297	-666.2410875971603	-91717.03522519297	528.2872470840925	15232.240818435832	1.856998564477558	0.26043135685652125	0.23956864314347878	0.25	0.25	5968.832224857623	-659.8307501048841
10000	-90661.7692255279	-89997.80013361559	-663.9690919123065	-89997.80013361559	508.37794898889615	14743.40672339114	1.856998564477558	0.26043135685652125	0.23956864314347878	0.25	0.25	6166.048290524914	-657.5262475598987
11000	-89860.74574677252	-89197.67163992049	-663.0741068520233	-89197.67163992049	776.6850158341749	15025.886772386462	1.856998564477558	0.26043135685652125	0.23956864314347878	0.25	0.25	3597.7532507942365	-657.1700111071606
12000	-88985.0005084586	-88324.62631814102	-660.3741903175819	-88324.62631814102	787.0131338103934	15253.841882820436	1.602515093833059	0.28351447001362723	0.2258211495598426	0.22634741409868755	0.2643169663278427	5559.382789363211	-654.0857865225557
13000	-88399.33603968246	-87740.03327285193	-659.3027668305359	-87740.03327285193	792.2918260686914	15110.239603677508	1.602515093833059	0.28351447001362723	0.2258211495598426	0.22634741409868755	0.2643169663278427	4021.382290257001	-653.3382244316783
14000	-88115.87263590889	-87457.99806885987	-657.8745670490224	-87457.99806885987	754.2980826763373	14917.206104083572	1.602515093833059	0.28351447001362723	0.2258211495598426	0.22634741409868755	0.2643169663278427	5181.701694029322	-651.6565168323056
15000	-87726.87984116758	-87070.6996430517	-656.1801981158753	-87070.6996430517	763.0574281149908	14936.742326214457	1.602515093833059	0.28351447001362723	0.2258211495598426	0.22634741409868755	0.2643169663278427	4302.391827015722	-650.1481103069455
16000	-87257.09047744198	-86602.22569964954	-654.8647777924394	-86602.22569964954	805.1098811563802	14832.105550034616	1.602515093833059	0.28351447001362723	0.2258211495598426	0.22634741409868755	0.2643169663278427	3733.985002785466	-648.9743850616888
