study_id,full_text_id,identifiedBy,datasetName,publication_year,data,sampling_effort,data_access,linked_manuscripts,data_extractor,data_checker,notes
1,ft_377,Amy J. Kuenzi,"A longitudinal study of Sin Nombre virus prevalence in rodents, southeastern Arizona",1999,prospective rodent sampling,monthly for 29 months,summarised data,https://doi.org/10.3201/eid0501.990111,David,NA,NA
2,ft_246,S. G. Bennett,"Hantavirus (Bunyaviridae) infections in rodents from Orange and San Diego counties, California.",1999,prospective rodent sampling,between 31 and 98 sample dates,summarised data,https://doi.org/10.4269/ajtmh.2000.62.626,David,NA,NA
3,ft_504,Claus Sibold,Dobrava hantavirus causes hemorrhagic fever with renal syndrome in central Europe and is carried by two different Apodemus mice species,2001,purposeful rodent sampling,"regularly in West of country at three locations, tree times in a single season in the East",summarised data,https://doi.org/10.1128/JCM.43.6.2756-2763.2005,David,NA,NA
4,ft_630,Gert Olsson,Habitat factors associated with bank voles (Clethrionomys glareolus) and concomitant hantavirus in northern Sweden,2006,sampling around cases and control locations,15048 trapping nights,summarised data,NA,David,NA,NA
5,ft_123,Juha Laakkonen,Serological survey for viral pathogens in Turkish rodents,2006,not described,600-900 trap nights,summarised data,NA,David,NA,NA
6,ft_612,Satoru Arai,Molecular phylogeny of a newfound hantavirus in the Japanese shrew mole (Urotrichus talpoides),2008,prospective rodent sampling,19 months of trapping,summarised data,NA,David,NA,NA
7,ft_458,Monica L. O'Guinn,"Ecological surveillance of small mammals at Firing Points 10 and 60, Gyeonggi Province, Republic of Korea, 2001-2005.",2008,prospective rodent sampling,5700 trap nights,summarised data,https://doi.org/10.1089/vbz.2011.0618,David,NA,NA
8,ft_273,Chelsea G. Himsworth,"An investigation of Bartonella spp., Rickettsia typhi, and Seoul hantavirus in rats (Rattus spp.) from an inner-city neighborhood of Vancouver, Canada: is pathogen presence a reflection of global and local rat population structure?",2015,prospective rodent sampling,3 week period per site,summarised data,https://doi.org/10.1371/journal.pone.0091654,David,NA,NA
9,ft_59,Umaru Bangura,"Lassa Virus Circulation in Small Mammal Populations in Bo District, Sierra Leone",2021,prospective rodent sampling,33354 trap nights,summarised data,NA,David,NA,NA
10,ft_m_5,Fernando Torres-Perez,A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,2019,prospective purposeful rodent sampling around human HCPS cases,19 years of sampling at 92 sites,summarised data,NA,David,NA,NA
11,ft_m_6,James Mills,A Longitudinal Study of Hantavirus Infection in Three Sympatric Reservoir Species in Agroecosystems on the Argentine Pampa,2007,prospective rodent sampling,"81,434 trap nights",summarised data,https://doi.org/10.4269/ajtmh.1994.51.554; https://doi.org/10.4269/ajtmh.1992.47.749,David,NA,NA
12,ft_222,Nancy McIntyre,"A longitudinal study of Bayou virus, hosts, and habitat.",2005,prospective rodent sampling,11200-18984 trap nights,summarised data,NA,David,NA,NA
13,ft_1,Zhiqiang Wu,Comparative analysis of rodent and small mammal viromes to better understand the wildlife origin of emerging infectious diseases.,2018,"prospective rodent sampling, pooled metagenomics of rodent samples for viral detection",July 2013-July 2016 trapping effort not reported,summarised data,NA,David,NA,NA
14,ft_2,Mónika Madai,Effectiveness Regarding Hantavirus Detection in Rodent Tissue Samples and Urine.,NA,NA,NA,NA,NA,NA,NA,requested data
15,ft_3,Fuka Kikuchi,"Rodent-Borne Orthohantaviruses in Vietnam, Madagascar and Japan.",2021,prospective rodent sampling,2011-2017 effort not described,summarised data,NA,David,NA,requested data
16,ft_4,Nathaniel Mull,"Effects of habitat management on rodent diversity, abundance, and virus infection dynamics.",2023,prospective rodent sampling with serology for antibodies to hantaviridae and arenaviridae,5953 trap nights,individual data,NA,David,NA,requested coordinates
NA,ft_5,Serge Morand,Changing landscapes of Southeast Asia and rodent-borne diseases: decreased diversity but increased transmission risks.,2019,modelling from previous prospective sampling study,NA,summarised data,ft_438,NA,NA,linked manuscript has more data
