rodent_record_id,study_id,scientificName,eventDate,locality,country,verbatimLocality,coordinate_resolution,decimalLatitude,decimalLongitude,individualCount,trapEffort,trapEffortResolution
21382,81,Bandicota indica,2018,Conghua District,China,residential areas,district,23.65,113.67,4,NA,NA
21383,81,Rattus flavipectus,2018,Conghua District,China,residential areas,district,23.65,113.67,3,NA,NA
21384,81,Rattus losea,2018,Conghua District,China,residential areas,district,23.65,113.67,1,NA,NA
21385,81,Rattus norvegicus,2018,Conghua District,China,residential areas,district,23.65,113.67,20,NA,NA
21386,81,Suncus murinus,2018,Conghua District,China,residential areas,district,23.65,113.67,22,NA,NA
21387,81,Rattus norvegicus,2018,Haizhu District,China,residential areas,district,23.09,113.35,50,NA,NA
21388,82,Peromyscus maniculatus,2013-09/2018-10,Yosemite Valley,USA,peridomestic,site,37.746,-119.594,148,1574,site
21389,82,Peromyscus boylii,2013-09/2018-10,Yosemite Valley,USA,peridomestic,site,37.746,-119.594,70,1574,site
21390,82,Sorex spp.,2013-09/2018-10,Yosemite Valley,USA,peridomestic,site,37.746,-119.594,2,1574,site
21391,82,Mus musculus,2013-09/2018-10,Yosemite Valley,USA,peridomestic,site,37.746,-119.594,5,1574,site
21392,82,Rattus rattus,2013-09/2018-10,Yosemite Valley,USA,peridomestic,site,37.746,-119.594,2,1574,site
21393,82,Peromyscus spp.,2013-09/2018-10,Yosemite Valley,USA,peridomestic,site,37.746,-119.594,4,1574,site
21394,82,Peromyscus maniculatus,2014-11/2018-10,Yosemite Valley,USA,natural area,site,37.746,-119.594,7,223,site
21395,82,Peromyscus boylii,2014-11/2018-10,Yosemite Valley,USA,natural area,site,37.746,-119.594,26,223,site
21396,82,Sorex spp.,2014-11/2018-10,Yosemite Valley,USA,natural area,site,37.746,-119.594,1,223,site
21397,82,Peromyscus maniculatus,2013-09/2018-10,Tuolumne Meadows,USA,developed area,site,37.873,-119.436,179,534,site
21398,82,Neotoma cinerea,2013-09/2018-10,Tuolumne Meadows,USA,developed area,site,37.873,-119.436,8,534,site
21399,82,Tamias spp.,2013-09/2018-10,Tuolumne Meadows,USA,developed area,site,37.873,-119.436,3,534,site
21400,82,Callospermophilus lateralis,2013-09/2018-10,Tuolumne Meadows,USA,developed area,site,37.873,-119.436,4,534,site
21401,82,Microtus longicaudus,2013-09/2018-10,Tuolumne Meadows,USA,developed area,site,37.873,-119.436,1,534,site
21402,83,Apodemus agrarius,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,408,10575,study
21403,83,Apodemus flavicollis,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,23,10575,study
21404,83,Apodemus sylvaticus,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,146,10575,study
21405,83,Dryomys nitedula,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,1,10575,study
21406,83,Micromys minutus,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,1,10575,study
21407,83,Microtus arvalis,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,78,10575,study
21408,83,Microtus oeconomus,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,18,10575,study
21409,83,Mus domesticus,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,3,10575,study
21410,83,Mus musculus,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,3,10575,study
21411,83,Muscardinus avellinarius,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,1,10575,study
21412,83,Myodes glareolus,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,434,10575,study
21413,83,Neomys anomalus,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,1,10575,study
21414,83,Rattus norvegicus,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,2,10575,study
21415,83,Sicista betulina,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,4,10575,study
21416,83,Mustela nivalus,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,3,10575,study
21417,83,Sorex spp.,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,1,10575,study
21418,83,Sorex araneus,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,66,10575,study
21419,83,Sorex minutus,2012/2013,Volyn Province,Ukraine,NA,province,50.741,25.354,63,10575,study
21420,84,Microtus agrestis,2015-03/09,Cheese Sike,UK,"grass, clear-cut",site,55.2189972,-2.5406944,18,NA,NA
21421,84,Microtus agrestis,2015-03/09,Coal Sike,UK,"grass, clear-cut",site,55.2356528,-2.6046306,2,NA,NA
21422,84,Microtus agrestis,2015-03/09,Geordies Knowe,UK,"grass, clear-cut",site,55.1848917,-2.5841806,12,NA,NA
21423,84,Microtus agrestis,2015-03/09,Ravenshill,UK,"grass, clear-cut",site,55.2418194,-2.5917806,4,NA,NA
21424,84,Microtus agrestis,2015-03/09,Scaup,UK,"grass, clear-cut",site,55.2622722,-2.5447361,12,NA,NA
21425,85,Mus minutoides,2019-05/2020-03,Lamberene,Gabon,NA,town,-0.688,10.23,41,NA,NA
21426,85,Mus musculus,2019-05/2020-03,Lamberene,Gabon,NA,town,-0.688,10.23,3,NA,NA
21427,85,Praomys missonei,2019-05/2020-03,Lamberene,Gabon,NA,town,-0.688,10.23,65,NA,NA
21428,85,Lophuromys sikapusi,2019-05/2020-03,Lamberene,Gabon,NA,town,-0.688,10.23,6,NA,NA
21429,85,Lemniscomys striatus,2019-05/2020-03,Lamberene,Gabon,NA,town,-0.688,10.23,3,NA,NA
21430,85,Lophuromys sabuni,2019-05/2020-03,Lamberene,Gabon,NA,town,-0.688,10.23,1,NA,NA
21431,85,Hybomys univittatus,2019-05/2020-03,Lamberene,Gabon,NA,town,-0.688,10.23,5,NA,NA
21432,85,Oenomys hypoxanthus,2019-05/2020-03,Lamberene,Gabon,NA,town,-0.688,10.23,6,NA,NA
21433,85,Stochomys longicaudatus,2019-05/2020-03,Lamberene,Gabon,NA,town,-0.688,10.23,6,NA,NA
21434,85,Rattus rattus,2019-05/2020-03,Lamberene,Gabon,NA,town,-0.688,10.23,16,NA,NA
21435,85,Crocidura goliath,2019-05/2020-03,Lamberene,Gabon,NA,town,-0.688,10.23,129,NA,NA
21436,85,Atherurus africanus,2019-05/2020-03,Lamberene,Gabon,NA,town,-0.688,10.23,18,NA,NA
21437,85,Cricetomys emini,2019-05/2020-03,Lamberene,Gabon,NA,town,-0.688,10.23,1,NA,NA
21438,86,Rattus rattus,2006-2007,La Reunion,France,NA,island,-21.114,55.532,193,NA,NA
21439,86,Rattus norvegicus,2006-2007,La Reunion,France,NA,island,-21.114,55.532,44,NA,NA
21440,86,Mus musculus,2006-2007,La Reunion,France,NA,island,-21.114,55.532,67,NA,NA
21441,86,Suncus murinus,2006-2007,La Reunion,France,NA,island,-21.114,55.532,133,NA,NA
21442,86,Tenrec ecaudatus,2006-2007,La Reunion,France,NA,island,-21.114,55.532,45,NA,NA
21443,86,Rattus rattus,2006-2007,Mayotte,France,Area 1,site,-12.984679999999997,45.18128,30,NA,NA
21444,86,Rattus rattus,2006-2007,Mayotte,France,Area 2,site,-12.970110000000005,45.16034,5,NA,NA
21445,86,Rattus rattus,2006-2007,Mayotte,France,Area 3,site,-12.843,45.138,1,NA,NA
21446,86,Rattus rattus,2006-2007,Mayotte,France,Area 4,site,-12.910930000000008,45.1904,10,NA,NA
21447,86,Rattus rattus,2006-2007,Mayotte,France,Area 5,site,-12.927269999999993,45.177,19,NA,NA
21448,86,Rattus rattus,2006-2007,Mayotte,France,Area 6,site,-12.831189999999992,45.13716,20,NA,NA
21449,86,Rattus rattus,2006-2007,Mayotte,France,Area 7,site,-12.871640000000014,45.11745,17,NA,NA
21450,86,Rattus rattus,2006-2007,Mayotte,France,Area 8,site,-12.700170000000014,45.12168,11,NA,NA
21451,86,Rattus rattus,2006-2007,Mayotte,France,Area 9,site,-12.764780000000002,45.10652,19,NA,NA
21452,86,Rattus rattus,2006-2007,Mayotte,France,Area 1,site,-12.984679999999997,45.18128,1,NA,NA
21453,86,Rattus rattus,2006-2007,Mayotte,France,Area 1,site,-12.984679999999997,45.18128,1,NA,NA
21454,86,Rattus rattus,2006-2007,Mayotte,France,Area 1,site,-12.984679999999997,45.18128,1,NA,NA
21455,86,Rattus rattus,2006-2007,Mayotte,France,Area 1,site,-12.984679999999997,45.18128,1,NA,NA
21456,86,Rattus rattus,2006-2007,Mayotte,France,Area 2,site,-12.970110000000005,45.16034,1,NA,NA
21457,86,Rattus rattus,2006-2007,Mayotte,France,Area 4,site,-12.910930000000008,45.1904,1,NA,NA
21458,86,Rattus rattus,2006-2007,Mayotte,France,Area 4,site,-12.910930000000008,45.1904,1,NA,NA
21459,86,Rattus rattus,2006-2007,Mayotte,France,Area 4,site,-12.910930000000008,45.1904,1,NA,NA
21460,86,Rattus rattus,2006-2007,Mayotte,France,Area 5,site,-12.927269999999993,45.177,1,NA,NA
21461,86,Rattus rattus,2006-2007,Mayotte,France,Area 5,site,-12.927269999999993,45.177,1,NA,NA
21462,86,Rattus rattus,2006-2007,Mayotte,France,Area 5,site,-12.927269999999993,45.177,1,NA,NA
21463,86,Rattus rattus,2006-2007,Mayotte,France,Area 5,site,-12.927269999999993,45.177,1,NA,NA
21464,86,Rattus rattus,2006-2007,Mayotte,France,Area 5,site,-12.927269999999993,45.177,1,NA,NA
21465,86,Rattus rattus,2006-2007,Mayotte,France,Area 5,site,-12.927269999999993,45.177,1,NA,NA
21466,86,Rattus rattus,2006-2007,Mayotte,France,Area 5,site,-12.927269999999993,45.177,1,NA,NA
21467,86,Rattus rattus,2006-2007,Mayotte,France,Area 6,site,-12.831189999999992,45.13716,1,NA,NA
21468,86,Rattus rattus,2006-2007,Mayotte,France,Area 6,site,-12.831189999999992,45.13716,1,NA,NA
21469,86,Rattus rattus,2006-2007,Mayotte,France,Area 6,site,-12.831189999999992,45.13716,1,NA,NA
21470,86,Rattus rattus,2006-2007,Mayotte,France,Area 7,site,-12.871640000000014,45.11745,1,NA,NA
21471,86,Rattus rattus,2006-2007,Mayotte,France,Area 8,site,-12.700170000000014,45.12168,1,NA,NA
