record_number,full_text_id,processed,decision,reason,Key,Publication Year,Author,Title,Publication Title,ISSN,DOI,Issue,Volume,Journal Abbreviation,Country,Language,Rights,Extra,Notes,File Attachments,Link Attachments
1,ft_1,y,Include - Full Text,NA,DJWV9XKZ,2018,"Wu, Zhiqiang; Lu, Liang; Du, Jiang; Yang, Li; Ren, Xianwen; Liu, Bo; Jiang, Jinyong; Yang, Jian; Dong, Jie; Sun, Lilian; Zhu, Yafang; Li, Yuhui; Zheng, Dandan; Zhang, Chi; Su, Haoxiang; Zheng, Yuting; Zhou, Hongning; Zhu, Guangjian; Li, Hongying; Chmura, Aleksei; Yang, Fan; Daszak, Peter; Wang, Jianwei; Liu, Qiyong; Jin, Qi",Comparative analysis of rodent and small mammal viromes to better understand the wildlife origin of emerging infectious diseases.,Microbiome,2049-2618,10.1186/s40168-018-0554-9,1,6,Microbiome,China,eng,NA,Place: England PMID: 30285857 PMCID: PMC6171170,NA,NA,NA
2,ft_2,y,Include - Full Text,NA,24SSNF5E,2021,"Madai, Mónika; Horváth, Győző; Herczeg, Róbert; Somogyi, Balázs; Zana, Brigitta; Földes, Fanni; Kemenesi, Gábor; Kurucz, Kornélia; Papp, Henrietta; Zeghbib, Safia; Jakab, Ferenc",Effectiveness Regarding Hantavirus Detection in Rodent Tissue Samples and Urine.,Viruses,1999-4915,10.3390/v13040570,4,13,Viruses,Hungary,eng,NA,Place: Switzerland PMID: 33805304 PMCID: PMC8066454,NA,NA,NA
3,ft_3,y,Include - Full Text,NA,PLWZFVD9,2021,"Kikuchi, Fuka; Senoo, Kae; Arai, Satoru; Tsuchiya, Kimiyuki; Sơn, Nguyễn Trường; Motokawa, Masaharu; Ranorosoa, Marie Claudine; Bawm, Saw; Lin, Kyaw San; Suzuki, Hitoshi; Unno, Akira; Nakata, Keisuke; Harada, Masashi; Tanaka-Taya, Keiko; Morikawa, Shigeru; Suzuki, Motoi; Mizutani, Tetsuya; Yanagihara, Richard","Rodent-Borne Orthohantaviruses in Vietnam, Madagascar and Japan.",Viruses,1999-4915,10.3390/v13071343,7,13,Viruses,"Vietnam, Madagascar, Japan",eng,NA,Place: Switzerland PMID: 34372549 PMCID: PMC8310111,NA,NA,NA
4,ft_4,y,Include - Full Text,NA,JRUJBVTN,2023,"Mull, Nathaniel; Schexnayder, Amy; Stolt, Abigail; Sironen, Tarja; Forbes, Kristian M.","Effects of habitat management on rodent diversity, abundance, and virus infection dynamics.",Ecology and evolution,2045-7758,10.1002/ece3.10039,4,13,Ecol Evol,USA,eng,© 2023 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.,Place: England PMID: 37113517 PMCID: PMC10126759,NA,NA,NA
5,ft_5,y,Exclude - Full Text,Duplicated data ft_436,4WWPDELC,2019,"Morand, Serge; Blasdell, Kim; Bordes, Frédéric; Buchy, Philippe; Carcy, Bernard; Chaisiri, Kittipong; Chaval, Yannick; Claude, Julien; Cosson, Jean-François; Desquesnes, Marc; Jittapalapong, Sathaporn; Jiyipong, Tawisa; Karnchanabanthoen, Anamika; Pornpan, Pumhom; Rolain, Jean-Marc; Tran, Annelise",Changing landscapes of Southeast Asia and rodent-borne diseases: decreased diversity but increased transmission risks.,Ecological applications : a publication of the Ecological Society of America,1051-0761,10.1002/eap.1886,4,29,Ecol Appl,"Thailand, Cambodia, Laos PDR",eng,© 2019 by the Ecological Society of America.,Place: United States PMID: 30986339,NA,NA,NA
6,ft_6,y,Exclude - Full Text,No data,2XHM7RSE,2017,"Kariwa, Hiroaki",[Rodent associated hantaviruses and hantavirus infections].,Uirusu,0042-6857,10.2222/jsv.67.25,1,67,Uirusu,NA,jpn,NA,Place: Japan PMID: 29593148,NA,NA,NA
7,ft_7,y,Include - Full Text,NA,K5T7J8ZU,2022,"Griffiths, Jane; Yeo, Hui Ling; Yap, Grace; Mailepessov, Diyar; Johansson, Patrik; Low, Hwee Teng; Siew, Chern-Chiang; Lam, Patrick; Ng, Lee Ching","Survey of rodent-borne pathogens in Singapore reveals the circulation of Leptospira spp., Seoul hantavirus, and Rickettsia typhi.",Scientific reports,2045-2322,10.1038/s41598-021-03954-w,1,12,Sci Rep,Singapore,eng,© 2022. The Author(s).,Place: England PMID: 35177639 PMCID: PMC8854382,NA,NA,NA
8,ft_8,y,Exclude - Full Text,No pathogen data,8HIFSSXJ,2018,"Mari Saez, Almudena; Cherif Haidara, Mory; Camara, Amara; Kourouma, Fodé; Sage, Mickaël; Magassouba, N'Faly; Fichet-Calvet, Elisabeth",Rodent control to fight Lassa fever: Evaluation and lessons learned from a 4-year study in Upper Guinea.,PLoS neglected tropical diseases,1935-2735 1935-2727,10.1371/journal.pntd.0006829,11,12,PLoS Negl Trop Dis,Guinea,eng,NA,Place: United States PMID: 30399142 PMCID: PMC6219765,NA,NA,NA
9,ft_9,y,Exclude - Full Text,No pathogen data,F22MWGRM,2019,"Muylaert, Renata L.; Bovendorp, Ricardo Siqueira; Sabino-Santos, Gilberto Jr; Prist, Paula R.; Melo, Geruza Leal; Priante, Camila de Fátima; Wilkinson, David A.; Ribeiro, Milton Cezar; Hayman, David T. S.",Hantavirus host assemblages and human disease in the Atlantic Forest.,PLoS neglected tropical diseases,1935-2735 1935-2727,10.1371/journal.pntd.0007655,8,13,PLoS Negl Trop Dis,NA,eng,NA,Place: United States PMID: 31404077 PMCID: PMC6748440,NA,NA,NA
10,ft_10,y,Include - Title/Abstract,NA,3JDKUD6A,2021,"Těšíková, Jana; Krásová, Jarmila; Goüy de Bellocq, Joëlle",Multiple Mammarenaviruses Circulating in Angolan Rodents.,Viruses,1999-4915,10.3390/v13060982,6,13,Viruses,Angola,eng,NA,Place: Switzerland PMID: 34070551 PMCID: PMC8227972,NA,NA,NA
11,ft_11,y,Include - Title/Abstract,NA,65IA8QF3,2018,"Maroli, Malena; Vadell, María Victoria; Padula, Paula; Villafañe, Isabel E. Gómez","Rodent Abundance and Hantavirus Infection in Protected Area, East-Central Argentina.",Emerging infectious diseases,1080-6059 1080-6040,10.3201/eid2401.171372,1,24,Emerg Infect Dis,Argentina,eng,NA,Place: United States PMID: 29260665 PMCID: PMC5749438,NA,NA,NA
12,ft_12,y,Include - Title/Abstract,NA,H39CQ82H,2022,"Jeske, Kathrin; Schulz, Jana; Tekemen, Duygu; Balčiauskas, Linas; Balčiauskienė, Laima; Hiltbrunner, Melanie; Drewes, Stephan; Mayer-Scholl, Anne; Heckel, Gerald; Ulrich, Rainer G.","Cocirculation of Leptospira spp. and multiple orthohantaviruses in rodents, Lithuania, Northern Europe.",Transboundary and emerging diseases,1865-1682 1865-1674,10.1111/tbed.14470,5,69,Transbound Emerg Dis,Lithuania,eng,© 2022 The Authors. Transboundary and Emerging Diseases published by Wiley-VCH GmbH.,Place: Germany PMID: 35119222,NA,NA,NA
13,ft_13,y,Exclude - Full Text,"No rodent data, linked 577",K6MUN7LR,2019,"Nimo-Paintsil, Shirley C.; Fichet-Calvet, Elisabeth; Borremans, Benny; Letizia, Andrew G.; Mohareb, Emad; Bonney, Joseph H. K.; Obiri-Danso, Kwasi; Ampofo, William K.; Schoepp, Randal J.; Kronmann, Karl C.",Rodent-borne infections in rural Ghanaian farming communities.,PloS one,1932-6203,10.1371/journal.pone.0215224,4,14,PLoS One,NA,eng,NA,Place: United States PMID: 31017931 PMCID: PMC6481813,NA,NA,NA
