pathogen_record_id,associated_rodent_record_id,study_id,host_genus,associatedTaxa,locality,country,coordinate_resolution,decimalLatitude,decimalLongitude,taxonRank,family,scientificName,identificationRemarks,occurrenceRemarks,number_negative,organismQuantity,number_inconclusive,note
1,1,1,Chaetodipus,Chaetodipus baileyi,Santa Rita Experimental Range and Wildlife Area,USA,study region,31.833135,-110.852966,species,Hantaviridae,Sin Nombre orthohantavirus,antibody,329,329,0,0,NA
2,2,1,Neotoma,Neotoma albigula,Santa Rita Experimental Range and Wildlife Area,USA,study region,31.833135,-110.852966,species,Hantaviridae,Sin Nombre orthohantavirus,antibody,51,51,0,0,NA
3,3,1,Peromyscus,Peromyscus eremicus,Santa Rita Experimental Range and Wildlife Area,USA,study region,31.833135,-110.852966,species,Hantaviridae,Sin Nombre orthohantavirus,antibody,118,117,1,0,NA
4,4,1,Peromyscus,Peromyscus boylii,Santa Rita Experimental Range and Wildlife Area,USA,study region,31.833135,-110.852966,species,Hantaviridae,Sin Nombre orthohantavirus,antibody,98,85,13,0,NA
5,5,1,Peromyscus,Peromyscus maniculatus,Santa Rita Experimental Range and Wildlife Area,USA,study region,31.833135,-110.852966,species,Hantaviridae,Sin Nombre orthohantavirus,antibody,2,2,0,0,NA
6,6,1,Peromyscus,Peromyscus leucopus,Santa Rita Experimental Range and Wildlife Area,USA,study region,31.833135,-110.852966,species,Hantaviridae,Sin Nombre orthohantavirus,antibody,21,18,3,0,NA
7,7,1,Reithrodontomys,Reithrodontomys fulvescens,Santa Rita Experimental Range and Wildlife Area,USA,study region,31.833135,-110.852966,species,Hantaviridae,Sin Nombre orthohantavirus,antibody,12,12,0,0,NA
8,8,1,Sigmodon,Sigmodon ochrognathus,Santa Rita Experimental Range and Wildlife Area,USA,study region,31.833135,-110.852966,species,Hantaviridae,Sin Nombre orthohantavirus,antibody,5,5,0,0,NA
9,9,1,Chaetodipus,Chaetodipus penicillatus,Santa Rita Experimental Range and Wildlife Area,USA,study region,31.833135,-110.852966,species,Hantaviridae,Sin Nombre orthohantavirus,antibody,7,7,0,0,NA
10,10,1,Dipodomys,Dipodomys merriami,Santa Rita Experimental Range and Wildlife Area,USA,study region,31.833135,-110.852966,species,Hantaviridae,Sin Nombre orthohantavirus,antibody,0,0,0,0,NA
11,11,1,Onychomys,Onychomys torridue,Santa Rita Experimental Range and Wildlife Area,USA,study region,31.833135,-110.852966,species,Hantaviridae,Sin Nombre orthohantavirus,antibody,7,7,0,0,NA
