pathogen_record_id,associated_rodent_record_id,study_id,associatedTaxa,family,scientificName,assay,tested,positive,negative,number_inconclusive,note
29581,21382,81,Bandicota indica,Arenaviridae,Wenzhou virus,RT-PCR,4,0,4,NA,NA
29582,21383,81,Rattus flavipectus,Arenaviridae,Wenzhou virus,RT-PCR,3,0,3,NA,NA
29583,21384,81,Rattus losea,Arenaviridae,Wenzhou virus,RT-PCR,1,0,1,NA,NA
29584,21385,81,Rattus norvegicus,Arenaviridae,Wenzhou virus,RT-PCR,20,2,18,NA,NA
29585,21386,81,Suncus murinus,Arenaviridae,Wenzhou virus,RT-PCR,22,0,22,NA,NA
29586,21387,81,Rattus norvegicus,Arenaviridae,Wenzhou virus,RT-PCR,50,0,50,NA,NA
29587,21388,82,Peromyscus maniculatus,Hantaviridae,Sin Nombre virus,ELISA,147,7,140,NA,NA
29588,21389,82,Peromyscus boylii,Hantaviridae,Sin Nombre virus,ELISA,67,0,67,NA,NA
29589,21388,82,Peromyscus maniculatus,Hantaviridae,Sin Nombre virus,RT-PCR,131,4,127,NA,NA
29590,21389,82,Peromyscus boylii,Hantaviridae,Sin Nombre virus,RT-PCR,34,0,34,NA,NA
29591,21394,82,Peromyscus maniculatus,Hantaviridae,Sin Nombre virus,ELISA,7,0,7,NA,NA
29592,21395,82,Peromyscus boylii,Hantaviridae,Sin Nombre virus,ELISA,13,0,13,NA,NA
29593,21394,82,Peromyscus maniculatus,Hantaviridae,Sin Nombre virus,RT-PCR,6,0,6,NA,NA
29594,21395,82,Peromyscus boylii,Hantaviridae,Sin Nombre virus,RT-PCR,13,0,13,NA,NA
29595,21397,82,Peromyscus maniculatus,Hantaviridae,Sin Nombre virus,ELISA,179,26,153,NA,NA
29596,21412,83,Myodes glareolus,Hantaviridae,NA,IFA,433,31,402,NA,NA
29597,21402,83,Apodemus agrarius,Hantaviridae,NA,IFA,404,9,395,NA,NA
29598,21403,83,Apodemus flavicollis,Hantaviridae,NA,IFA,23,0,23,NA,NA
29599,21412,83,Myodes glareolus,Hantaviridae,Puumala orthohantavirus,RT-PCR,26,2,24,NA,NA
29600,21420,84,Microtus agrestis,Hantaviridae,Kielder orthohantavirus,RT-PCR,18,4,14,NA,NA
29601,21421,84,Microtus agrestis,Hantaviridae,Kielder orthohantavirus,RT-PCR,2,0,2,NA,NA
29602,21422,84,Microtus agrestis,Hantaviridae,Kielder orthohantavirus,RT-PCR,12,3,9,NA,NA
29603,21423,84,Microtus agrestis,Hantaviridae,Kielder orthohantavirus,RT-PCR,4,0,4,NA,NA
29604,21424,84,Microtus agrestis,Hantaviridae,Kielder orthohantavirus,RT-PCR,12,1,11,NA,NA
29605,21425,85,Mus minutoides,Arenaviridae,Lymphocytic choriomeningitis virus,ELISA,41,3,38,NA,NA
29606,21426,85,Mus musculus,Arenaviridae,Lymphocytic choriomeningitis virus,ELISA,3,0,3,NA,NA
29607,21427,85,Praomys missonei,Arenaviridae,Lymphocytic choriomeningitis virus,ELISA,65,1,64,NA,NA
29608,21428,85,Lophuromys sikapusi,Arenaviridae,Lymphocytic choriomeningitis virus,ELISA,6,0,6,NA,NA
29609,21429,85,Lemniscomys striatus,Arenaviridae,Lymphocytic choriomeningitis virus,ELISA,3,0,3,NA,NA
