pathogen_record_id	rodent_record_id	species	accession
26946	19306	Microtus arvalis	MT272834
26946	19306	Microtus arvalis	MT272889
26946	19306	Microtus arvalis	MT272927
26946	19306	Microtus arvalis	MT272835
26946	19306	Microtus arvalis	MT272836
26946	19306	Microtus arvalis	MT272890
26946	19306	Microtus arvalis	MT272928
26946	19306	Microtus arvalis	MT272838
26946	19306	Microtus arvalis	MT272839
26946	19306	Microtus arvalis	MT272840
26946	19306	Microtus arvalis	MT272891
26946	19306	Microtus arvalis	MT272929
26946	19306	Microtus arvalis	MT272841
26946	19306	Microtus arvalis	MT272892
26946	19306	Microtus arvalis	MT272930
26946	19306	Microtus arvalis	MT272842
26946	19306	Microtus arvalis	MT272893
26946	19306	Microtus arvalis	MT272931
26946	19306	Microtus arvalis	MT272843
26946	19306	Microtus arvalis	MT272894
26946	19306	Microtus arvalis	MT272932
26946	19306	Microtus arvalis	MT272837
26946	19306	Microtus arvalis	MT272895
26946	19306	Microtus arvalis	MT272933
26946	19306	Microtus arvalis	MT272844
26946	19306	Microtus arvalis	MT272896
26946	19306	Microtus arvalis	MT272934
26946	19306	Microtus arvalis	MT272845
26946	19306	Microtus arvalis	MT272846
26946	19306	Microtus arvalis	MT272897
26946	19306	Microtus arvalis	MT272935
26946	19306	Microtus arvalis	MT272847
26946	19306	Microtus arvalis	MT272898
26946	19306	Microtus arvalis	MT272936
26946	19306	Microtus arvalis	MT272848
26946	19306	Microtus arvalis	MT272899
26946	19306	Microtus arvalis	MT272937
26966	19314	Microtus arvalis	MT272849
26966	19314	Microtus arvalis	MT272958
26966	19314	Microtus arvalis	MT272850
26942	19304	Microtus arvalis	MT272852
26942	19304	Microtus arvalis	MT272900
26942	19304	Microtus arvalis	MT272939
26962	19312	Microtus arvalis	MT272851
26962	19312	Microtus arvalis	MT272901
26962	19312	Microtus arvalis	MT272940
26962	19312	Microtus arvalis	MT272853
26962	19312	Microtus arvalis	MT272902
26924	19297	Microtus arvalis	MT272854
26924	19297	Microtus arvalis	MT272903
26924	19297	Microtus arvalis	MT272941
26964	19313	Microtus arvalis	MT272855
26964	19313	Microtus arvalis	MT272942
27004	19329	Microtus arvalis	MT272856
27004	19329	Microtus arvalis	MT272904
27004	19329	Microtus arvalis	MT272943
27004	19329	Microtus arvalis	MT272857
27004	19329	Microtus arvalis	MT272905
27004	19329	Microtus arvalis	MT272944
27024	19337	Microtus arvalis	MT272858
27024	19337	Microtus arvalis	MT272906
27024	19337	Microtus arvalis	MT272945
27024	19337	Microtus arvalis	MT272859
27024	19337	Microtus arvalis	MT272907
27024	19337	Microtus arvalis	MT272946
27024	19337	Microtus arvalis	MT272860
27024	19337	Microtus arvalis	MT272908
27024	19337	Microtus arvalis	MT272947
27064	19353	Microtus arvalis	MT272861
27064	19353	Microtus arvalis	MT272909
27064	19353	Microtus arvalis	MT272948
27106	19370	Microtus arvalis	MT272862
27106	19370	Microtus arvalis	MT272910
27106	19370	Microtus arvalis	MT272949
27106	19370	Microtus arvalis	MT272863
27106	19370	Microtus arvalis	MT272911
27106	19370	Microtus arvalis	MT272950
27106	19370	Microtus arvalis	MT272909
