sequence_record_id,associated_pathogen_record_id,associated_rodent_record_id,study_id,sequenceType,virus_clean,matched_virus,original_name,accession_number,country,eventDate,species,host_genus,gbif_id,coordinate_resolution,decimalLatitude,decimalLongitude,n_assayed,n_positive,n_negative,version
1,david_90,david_87,david_3,Pathogen,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Dobrava-Belgrade orthohantavirus,AJ269549,Slovakia,1997/1998,Apodemus agrarius,Apodemus,2437761,region,48.719,21.2611,42,8,34,v2
2,david_90,david_87,david_3,Pathogen,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Dobrava-Belgrade orthohantavirus,AJ269550,Slovakia,1997/1998,Apodemus agrarius,Apodemus,2437761,region,48.719,21.2611,42,8,34,v2
3,david_90,david_87,david_3,Pathogen,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Dobrava-Belgrade orthohantavirus,AJ269551,Slovakia,1997/1998,Apodemus agrarius,Apodemus,2437761,region,48.719,21.2611,42,8,34,v2
4,david_90,david_87,david_3,Pathogen,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Dobrava-Belgrade orthohantavirus,AJ269552,Slovakia,1997/1998,Apodemus agrarius,Apodemus,2437761,region,48.719,21.2611,42,8,34,v2
5,david_90,david_87,david_3,Pathogen,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Dobrava-Belgrade orthohantavirus,AJ269553,Slovakia,1997/1998,Apodemus agrarius,Apodemus,2437761,region,48.719,21.2611,42,8,34,v2
6,david_91,david_88,david_3,Pathogen,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Dobrava-Belgrade orthohantavirus,AJ269554,Slovakia,1997/1998,Apodemus flavicollis,Apodemus,2437756,region,48.719,21.2611,2,1,1,v2
7,david_133,david_113,david_6,Pathogen,Orthohantavirus asamaense,Orthohantavirus asamaense,Asama virus,EU929070,Japan,2006-10-01/2008-04-30,Urotrichus talpoides,Urotrichus,2436119,country,36.204,138.252,3,2,1,v2
8,david_132,david_113,david_6,Pathogen,Orthohantavirus asamaense,Orthohantavirus asamaense,Asama virus,EU929071,Japan,2006-10-01/2008-04-30,Urotrichus talpoides,Urotrichus,2436119,country,36.204,138.252,2,1,1,v2
9,david_132,david_113,david_6,Pathogen,Orthohantavirus asamaense,Orthohantavirus asamaense,Asama virus,EU929072,Japan,2006-10-01/2008-04-30,Urotrichus talpoides,Urotrichus,2436119,country,36.204,138.252,2,1,1,v2
10,david_133,david_113,david_6,Pathogen,Orthohantavirus asamaense,Orthohantavirus asamaense,Asama virus,EU929073,Japan,2006-10-01/2008-04-30,Urotrichus talpoides,Urotrichus,2436119,country,36.204,138.252,3,2,1,v2
