Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Length,Sequence_Type,Nuc_Completeness,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
NC_077666,Orthohantavirus puumalaense,"Giebel,L.B., Stohwasser,R., Zoller,L., Bautz,E.K., Darai,G.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Orthohantavirus puumalaense,Orthohantavirus,3682,RefSeq,complete,,1,,,,,,
NC_077667,Orthohantavirus puumalaense,"Stohwasser,R., Raab,K., Darai,G., Bautz,E.K.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Orthohantavirus puumalaense,Orthohantavirus,6550,RefSeq,complete,,1,,,,,,
NC_077668,Orthohantavirus puumalaense,"Stohwasser,R., Giebel,L.B., Zoller,L., Bautz,E.K., Darai,G.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Orthohantavirus puumalaense,Orthohantavirus,1784,RefSeq,complete,,1,,,,,,
NC_078483,Lena River virus,"Yashina,L.N., Kartashov,M.Y., Wang,W., Li,K., Zdanovskaya,N.I., Ivanov,L.I., Zhang,Y.Z.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Lena River virus,Orthohantavirus,1788,RefSeq,complete,S,1,Russia: Khabarovsk Krai,Russia,,Sorex caecutiens,lung,2008-02
NC_078484,Lena River virus,"Yashina,L.N., Kartashov,M.Y., Wang,W., Li,K., Zdanovskaya,N.I., Ivanov,L.I., Zhang,Y.Z.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Lena River virus,Orthohantavirus,3606,RefSeq,complete,M,1,Russia: Khabarovsk Krai,Russia,,Sorex caecutiens,lung,2008-02
NC_078485,Lena River virus,"Yashina,L.N., Kartashov,M.Y., Wang,W., Li,K., Zdanovskaya,N.I., Ivanov,L.I., Zhang,Y.Z.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Lena River virus,Orthohantavirus,6533,RefSeq,complete,L,1,Russia: Khabarovsk Krai,Russia,,Sorex caecutiens,lung,2008-02
NC_055147,Tigray virus,,"National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,ET2121,Orthohantavirus tigrayense,Orthohantavirus,6532,RefSeq,complete,L,,Ethiopia,Ethiopia,,Stenocephalemys albipes,"liver, abdominal cavity",2010-10-10
NC_055632,Orthohantavirus robinaense,"Smith,C.S., Gordon,A., Agnihotri,K., Underwood,D., Pyne,M., Jane,O.E.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,P17-14855,Orthohantavirus robinaense,Orthohantavirus,6447,RefSeq,complete,1,,Australia,Australia,,Pteropus alecto,brain,2017-07-03
NC_055633,Orthohantavirus robinaense,"Smith,C.S., Gordon,A., Agnihotri,K., Underwood,D., Pyne,M., Jane,O.E.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,P17-14855,Orthohantavirus robinaense,Orthohantavirus,1290,RefSeq,complete,2,,Australia,Australia,,Pteropus alecto,brain,2017-07-03
NC_055634,Orthohantavirus robinaense,"Smith,C.S., Gordon,A., Agnihotri,K., Underwood,D., Pyne,M., Jane,O.E.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,P17-14855,Orthohantavirus robinaense,Orthohantavirus,3402,RefSeq,complete,3,,Australia,Australia,,Pteropus alecto,brain,2017-07-03
NC_055635,Orthohantavirus tatenalense,"Chappell,J.G., Tsoleridis,T., Onianwa,O., Drake,G., Ashpole,I., Dobbs,P., Edema,W., Kumi-Ansah,F., Bennett,M., Tarlinton,R.E., Ball,J.K., McClure,C.P.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Orthohantavirus tatenalense,Orthohantavirus,1302,RefSeq,complete,S,1,United Kingdom,United Kingdom,,Microtus agrestis,lung,2014
NC_055636,Orthohantavirus tatenalense,"Chappell,J.G., Tsoleridis,T., Onianwa,O., Drake,G., Ashpole,I., Dobbs,P., Edema,W., Kumi-Ansah,F., Bennett,M., Tarlinton,R.E., Ball,J.K., McClure,C.P.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Orthohantavirus tatenalense,Orthohantavirus,6465,RefSeq,complete,L,1,United Kingdom,United Kingdom,,Microtus agrestis,lung,2014
NC_055637,Orthohantavirus tatenalense,"Chappell,J.G., Tsoleridis,T., Onianwa,O., Drake,G., Ashpole,I., Dobbs,P., Edema,W., Kumi-Ansah,F., Bennett,M., Tarlinton,R.E., Ball,J.K., McClure,C.P.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Orthohantavirus tatenalense,Orthohantavirus,3355,RefSeq,complete,M,1,United Kingdom,United Kingdom,,Microtus agrestis,lung,2014
NC_043068,Orthohantavirus asikkalaense,,"National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Orthohantavirus asikkalaense,Orthohantavirus,1458,RefSeq,complete,L,,Czech Republic,Czech Republic,,Sorex minutus,,2010
NC_043069,Orthohantavirus asikkalaense,,"National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Orthohantavirus asikkalaense,Orthohantavirus,3628,RefSeq,complete,M,,Czech Republic,Czech Republic,,Sorex minutus,,2010
NC_043070,Orthohantavirus asikkalaense,,"National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Orthohantavirus asikkalaense,Orthohantavirus,1526,RefSeq,complete,S,,Czech Republic,Czech Republic,,Sorex minutus,,2010
NC_043073,Orthohantavirus nigrorivense,"Ravkov,E.V., Rollin,P.E., Ksiazek,T.G., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Orthohantavirus nigrorivense,Orthohantavirus,3668,RefSeq,complete,M,1,,,,,,
NC_043074,Orthohantavirus nigrorivense,"Ravkov,E.V., Rollin,P.E., Ksiazek,T.G., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Orthohantavirus nigrorivense,Orthohantavirus,410,RefSeq,complete,,,,,,,,
NC_043075,Orthohantavirus nigrorivense,"Ravkov,E.V., Rollin,P.E., Ksiazek,T.G., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Orthohantavirus nigrorivense,Orthohantavirus,1989,RefSeq,complete,,,,,,,,
NC_043174,Oxbow virus,"Kang,H.J., Bennett,S.N., Dizney,L., Sumibcay,L., Arai,S., Ruedas,L.A., Song,J.W., Yanagihara,R., Song,J.-W.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Orthohantavirus oxbowense,Orthohantavirus,1705,RefSeq,complete,S,1,USA,USA,,Neurotrichus gibbsii,tissue,2003-09-11
