Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Length,Sequence_Type,Nuc_Completeness,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
NC_077806,Mammarenavirus choriomeningitidis,"Grande-Perez,A., Gomez-Mariano,G., Lowenstein,P.R., Domingo,E.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Mammarenavirus choriomeningitidis,Mammarenavirus,7228,RefSeq,complete,L,1,,,,,,
NC_077807,Mammarenavirus choriomeningitidis,"Grande-Perez,A., Gomez-Mariano,G., Lowenstein,P.R., Domingo,E.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Mammarenavirus choriomeningitidis,Mammarenavirus,3376,RefSeq,complete,S,1,,,,,,
NC_078101,Lijiang virus,"Li,K., Zhang,Y.-Z.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,KS4,Mammarenavirus lijiangense,Mammarenavirus,7269,RefSeq,complete,L,,China,China,,Apodemus chevrieri,,2015-07-01
NC_078102,Lijiang virus,"Li,K., Zhang,Y.-Z.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,KS4,Mammarenavirus lijiangense,Mammarenavirus,3260,RefSeq,complete,S,,China,China,,Apodemus chevrieri,,2015-07-01
NC_078105,Alxa virus,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,RtDs-AreV-IM2014,Mammarenavirus alashanense,Mammarenavirus,7251,RefSeq,complete,L,2,China,China,,Rodentia,,
NC_078106,Alxa virus,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,RtDs-AreV-IM2014,Mammarenavirus alashanense,Mammarenavirus,3341,RefSeq,complete,S,2,China,China,,Rodentia,,
NC_078292,Kitale virus,"Onyuok,S.O., Hu,B., Li,B., Fan,Y., Kering,K., Ochola,G.O., Zheng,X.S., Obanda,V., Ommeh,S., Yang,X.L., Agwanda,B., Shi,Z.L., Onyuok,S., Ochola,G., Zheng,X., Yang,X., Shi,Z.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Mammarenavirus kitaleense,Mammarenavirus,3369,RefSeq,complete,S,1,Kenya,Kenya,,Grammomys macmillani,,2016-08
NC_078293,Kitale virus,"Onyuok,S.O., Hu,B., Li,B., Fan,Y., Kering,K., Ochola,G.O., Zheng,X.S., Obanda,V., Ommeh,S., Yang,X.L., Agwanda,B., Shi,Z.L., Onyuok,S., Ochola,G., Zheng,X., Yang,X., Shi,Z.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,,Mammarenavirus kitaleense,Mammarenavirus,7284,RefSeq,complete,L,1,Kenya,Kenya,,Grammomys macmillani,,2016-08
NC_078695,Bitu mammarenavirus,"Tesikova,J., Krasova,J., Gouy de Bellocq,J.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,ANG0052,Bitu mammarenavirus,Mammarenavirus,7187,RefSeq,complete,L,1,Angola: Tundavala,Angola,,Micaelamys namaquensis,blood,2017-07
NC_078696,Bitu mammarenavirus,"Tesikova,J., Krasova,J., Gouy de Bellocq,J.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,ANG0052,Bitu mammarenavirus,Mammarenavirus,3374,RefSeq,complete,S,1,Angola: Tundavala,Angola,,Micaelamys namaquensis,blood,2017-07
