sequence_record_id,associated_pathogen_record_id,associated_rodent_record_id,study_id,host_genus,associatedTaxa,sequenceType,scientificName,accession_number,method,note,date_sampled,sample_location
1,NA,87,3,Apodemus,Apodemus agrarius,Pathogen,Dobrava-Belgrade orthohantavirus,AJ269549,NA,NA,NA,NA
2,NA,87,3,Apodemus,Apodemus agrarius,Pathogen,Dobrava-Belgrade orthohantavirus,AJ269550,NA,NA,NA,NA
3,NA,87,3,Apodemus,Apodemus agrarius,Pathogen,Dobrava-Belgrade orthohantavirus,AJ269551,NA,NA,NA,NA
4,NA,87,3,Apodemus,Apodemus agrarius,Pathogen,Dobrava-Belgrade orthohantavirus,AJ269552,NA,NA,NA,NA
5,NA,87,3,Apodemus,Apodemus agrarius,Pathogen,Dobrava-Belgrade orthohantavirus,AJ269553,NA,NA,NA,NA
6,NA,88,3,Apodemus,Apodemus flavicollis,Pathogen,Dobrava-Belgrade orthohantavirus,AJ269554,NA,NA,NA,NA
7,NA,113,6,Urotrichis,Urotrichis talpoides,Pathogen,Asama virus,EU929070,NA,NA,NA,NA
8,NA,113,6,Urotrichis,Urotrichis talpoides,Pathogen,Asama virus,EU929071,NA,NA,NA,NA
9,NA,113,6,Urotrichis,Urotrichis talpoides,Pathogen,Asama virus,EU929072,NA,NA,NA,NA
10,NA,113,6,Urotrichis,Urotrichis talpoides,Pathogen,Asama virus,EU929073,NA,NA,NA,NA
11,NA,113,6,Urotrichis,Urotrichis talpoides,Pathogen,Asama virus,EU929074,NA,NA,NA,NA
12,NA,113,6,Urotrichis,Urotrichis talpoides,Pathogen,Asama virus,EU929075,NA,NA,NA,NA
13,NA,113,6,Urotrichis,Urotrichis talpoides,Pathogen,Asama virus,EU929076,NA,NA,NA,NA
14,NA,113,6,Urotrichis,Urotrichis talpoides,Pathogen,Asama virus,EU929077,NA,NA,NA,NA
15,NA,113,6,Urotrichis,Urotrichis talpoides,Pathogen,Asama virus,EU929078,NA,NA,NA,NA
16,NA,114,7,Apodemus,Apodemus agrarius,Pathogen,Hantaan virus,HM172504,NA,NA,NA,NA
17,NA,114,7,Apodemus,Apodemus agrarius,Pathogen,Hantaan virus,HM172505,NA,NA,NA,NA
18,NA,114,7,Apodemus,Apodemus agrarius,Pathogen,Hantaan virus,HM172506,NA,NA,NA,NA
19,NA,114,7,Apodemus,Apodemus agrarius,Pathogen,Hantaan virus,HM172507,NA,NA,NA,NA
20,NA,123,7,Apodemus,Apodemus agrarius,Pathogen,Hantaan virus,HM172508,NA,NA,NA,NA
21,NA,123,7,Apodemus,Apodemus agrarius,Pathogen,Hantaan virus,HM172509,NA,NA,NA,NA
22,NA,123,7,Apodemus,Apodemus agrarius,Pathogen,Hantaan virus,HM172510,NA,NA,NA,NA
23,NA,123,7,Apodemus,Apodemus agrarius,Pathogen,Hantaan virus,HM172511,NA,NA,NA,NA
24,NA,123,7,Apodemus,Apodemus agrarius,Pathogen,Hantaan virus,HM172512,NA,NA,NA,NA
25,NA,123,7,Apodemus,Apodemus agrarius,Pathogen,Hantaan virus,HM172513,NA,NA,NA,NA
26,NA,123,7,Apodemus,Apodemus agrarius,Pathogen,Hantaan virus,HM172514,NA,NA,NA,NA
27,NA,192,9,Mastomys,Mastomys natalensis,Pathogen,Lassa mammarenavirus,MW039388,NA,NA,NA,NA
28,NA,224,9,Mastomys,Mastomys natalensis,Pathogen,Lassa mammarenavirus,MW039389,NA,NA,NA,NA
29,NA,224,9,Mastomys,Mastomys natalensis,Pathogen,Lassa mammarenavirus,MW039390,NA,NA,NA,NA
30,NA,224,9,Mastomys,Mastomys natalensis,Pathogen,Lassa mammarenavirus,MW039391,NA,NA,NA,NA
31,NA,192,9,Mastomys,Mastomys natalensis,Host,NA,MW030681,NA,NA,NA,NA
32,NA,224,9,Mastomys,Mastomys natalensis,Host,NA,MW030682,NA,NA,NA,NA
33,NA,224,9,Mastomys,Mastomys natalensis,Host,NA,MW030683,NA,NA,NA,NA
34,NA,224,9,Mastomys,Mastomys natalensis,Host,NA,MW030684,NA,NA,NA,NA
35,1555,1836,13,Niviventer,Niviventer confucianus,Pathogen,RtNn-HV/HuN2015,KY370078,NA,NA,NA,NA
36,1650,1566,13,Apodemus,Apodemus peninsulae,Pathogen,RtAp-HV/JL2014,KY370079,NA,NA,NA,NA
37,1834,1962,13,Caryomys,Caryomys eva,Pathogen,RtCe-HV/NX2015,KY370080,NA,NA,NA,NA
38,1965,1946,13,Niviventer,Niviventer confucianus,Pathogen,RtNn-HV/NX2015,KY370081,NA,NA,NA,NA
39,2054,1575,13,Myodes,Myodes rutilus,Pathogen,RtMrut-HV/JL2014,KY370082,NA,NA,NA,NA
40,2243,2056,13,Niviventer,Niviventer confucianus,Pathogen,RtNn-HV/SAX2015,KY370083,NA,NA,NA,NA
41,2307,1430,13,Dipus,Dipus sagitta,Pathogen,RtDs-HV/IM2014,KY370084,NA,NA,NA,NA
42,2529,2189,13,Microtus,Microtus gregalis,Pathogen,RtMg-HV/XJ2015,KY370085,NA,NA,NA,NA
43,2603,1659,13,Sorex,Sorex araneus,Pathogen,Shrew-HV/Tibet2014,KY370086,NA,NA,NA,NA
44,2747,1714,13,Sorex,Sorex araneus,Pathogen,Shrew-HV/SX2014,KY370087,NA,NA,NA,NA
45,2943,2239,13,Eothenomys,Eothenomys melanogaster,Pathogen,RtCl-HV/GZ2015,KY370088,NA,NA,NA,NA
46,3033,1881,13,Rattus,Rattus norvegicus,Pathogen,RtRn-HV/GD2015,KY370089,NA,NA,NA,NA
47,3228,2392,13,Apodemus,Apodemus agrarius,Pathogen,RtAa-HV/SD2016,KY370090,NA,NA,NA,NA
48,3234,1336,13,Mus,Mus caroli,Pathogen,RtMc-AreV/YN2014,KM020190,NA,NA,NA,NA
49,3234,1336,13,Mus,Mus caroli,Pathogen,RtMc-AreV/YN2014,KM020191,NA,NA,NA,NA
50,3366,1332,13,Rattus,Rattus tanezumi,Pathogen,RtRf-AreV/YN2014,KY432889,NA,NA,NA,NA
51,3366,1332,13,Rattus,Rattus tanezumi,Pathogen,RtRf-AreV/YN2014,KY432890,NA,NA,NA,NA
52,3499,1331,13,Rattus,Rattus norvegicus,Pathogen,RtRn-AreV/YN2014,KY432891,NA,NA,NA,NA
53,3647,1430,13,Dipus,Dipus sagitta,Pathogen,RtDs-AreV/IM2014,KY432892,NA,NA,NA,NA
54,3647,1430,13,Dipus,Dipus sagitta,Pathogen,RtDs-AreV/IM2014,KY432893,NA,NA,NA,NA
55,3831,1830,13,Rattus,Rattus losea,Pathogen,RtRl-AreV/HuN2015,KY432894,NA,NA,NA,NA
56,3831,1830,13,Rattus,Rattus losea,Pathogen,RtRl-AreV/HuN2015,KY432895,NA,NA,NA,NA
57,4023,2321,13,Rattus,Rattus norvegicus,Pathogen,RtRn-AreV/ZJ2016,KY432896,NA,NA,NA,NA
58,4023,2321,13,Rattus,Rattus norvegicus,Pathogen,RtRn-AreV/ZJ2016,KY432897,NA,NA,NA,NA
59,4183,NA,15,Niviventer,Niviventer cf. confucianus,Pathogen,Hantaan orthohantavirus (VN3973M589),MZ343363,NA,NA,NA,NA
60,4183,NA,15,Niviventer,Niviventer cf. confucianus,Pathogen,Hantaan orthohantavirus (VN3973M589),MZ343364,NA,NA,NA,NA
61,4183,NA,15,Niviventer,Niviventer cf. confucianus,Pathogen,Hantaan orthohantavirus (VN3973M589),MZ343365,NA,NA,NA,NA
62,4183,NA,15,Niviventer,Niviventer cf. confucianus,Host,NA,MZ356208,NA,NA,NA,NA
63,4183,NA,15,Niviventer,Niviventer cf. confucianus,Host,NA,MZ356220,NA,NA,NA,NA
64,4183,NA,15,Niviventer,Niviventer cf. confucianus,Pathogen,Hantaan orthohantavirus (VN4004M620),MZ343366,NA,NA,NA,NA
65,4183,NA,15,Niviventer,Niviventer cf. confucianus,Pathogen,Hantaan orthohantavirus (VN4004M620),MZ343367,NA,NA,NA,NA
66,4183,NA,15,Niviventer,Niviventer cf. confucianus,Pathogen,Hantaan orthohantavirus (VN4004M620),MZ343368,NA,NA,NA,NA
67,4183,NA,15,Niviventer,Niviventer cf. confucianus,Host,NA,MZ356209,NA,NA,NA,NA
68,4183,NA,15,Niviventer,Niviventer cf. confucianus,Host,NA,MZ356221,NA,NA,NA,NA
69,4272,NA,15,Rattus,Rattus rattus,Pathogen,Thailand orthohantavirus (MDG3887MG9),MZ343360,NA,NA,NA,NA
70,4272,NA,15,Rattus,Rattus rattus,Pathogen,Thailand orthohantavirus (MDG3887MG9),MZ343361,NA,NA,NA,NA
71,4272,NA,15,Rattus,Rattus rattus,Pathogen,Thailand orthohantavirus (MDG3887MG9),MZ343362,NA,NA,NA,NA
72,4272,NA,15,Rattus,Rattus rattus,Host,NA,LC147016,NA,NA,NA,NA
73,4272,NA,15,Rattus,Rattus rattus,Host,NA,MK410392,NA,NA,NA,NA
74,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA3011KTF49),MZ343341,NA,NA,NA,NA
75,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA3011KTF49),MZ505035,NA,NA,NA,NA
76,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA3011KTF49),MZ343342,NA,NA,NA,NA
77,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,LC406450,NA,NA,NA,NA
78,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356210,NA,NA,NA,NA
